projectId,projectAcronym,fundingScheme,organizationId,title,firstName,lastName
654731,ARD-West,MSCA-IF,99998629,DR,Maria-Jose,Estaran
654732,NICHE,MSCA-IF,99946734,PROF,Susi,Geiger
654732,NICHE,MSCA-IF,999974359,PROF,Susi,Geiger
654733,FOC4SIP,MSCA-IF,999896953,DR,Petro,Lutsyk
654734,SIW-SAT-ANTENNAS,MSCA-IF,999638739,DR,Christos,Kalialakis
654736,EPOCH GeoChem,MSCA-IF,999977172,DR,Argyroula,Nafplioti
654740,TRYP-QS,MSCA-IF,999974941,DR,Mathieu,Cayla
654761,BIOXYARN,MSCA-IF,999875031,DR,Pierre-Alexis,Mouthuy
654786,HOLOFRENPOSTMOD,MSCA-IF,999861451,DR,Agnieszka Helena,Duffy
654795,FAANon,MSCA-IF,999853012,DR,Matteo,Dalla Riva
654796,SAAB,MSCA-IF,992204077,DR,Fiona,Smyth
654796,SAAB,MSCA-IF,999845446,DR,Fiona,Smyth
654808,PSYCHOCONTEXT,MSCA-IF,996383904,DR,Francisco Jose,Eiroa-Orosa
654808,PSYCHOCONTEXT,MSCA-IF,999986387,DR,Francisco Jose,Eiroa-Orosa
654809,HSPACE,MSCA-IF,999896953,DR,Filipe,Ferreira
654812,HoogsCG,MSCA-IF,999977172,DR,Guillem,Portella
654818,ELECTRONANOMEGA,MSCA-IF,999990655,DR,Pedro Jesús,GARCÍA MORENO
654825,ICELANDIC SCRIBES,MSCA-IF,999991043,DR,Sheryl,Mcdonald werronen
654836,Bioelectroammonia,MSCA-IF,97531434,DR,Ross,Milton
654836,Bioelectroammonia,MSCA-IF,999978045,DR,Ross,Milton
654837,EACISD,MSCA-IF,992204077,DR,Ella,Striem Amit
654837,EACISD,MSCA-IF,999846222,DR,Ella,Striem Amit
654852,Chinese Labour,MSCA-IF,999849132,DR,Ivan,Franceschini
654852,Chinese Labour,MSCA-IF,999897341,DR,Ivan,Franceschini
654853,Egg-Juvenate,MSCA-IF,999975038,DR,Yonatan,Tzur
654857,VirtualPatients,MSCA-IF,996946019,DR,Inga,Hege
654857,VirtualPatients,MSCA-IF,999978433,DR,Inga,Hege
654860,TRANSLATIS,MSCA-IF,999991043,MS,Sabine,Walther
654861,DAM-NET,MSCA-IF,99990384,DR,Filippo,Menga
654862,WITHDRAWAL AFTERMATH,MSCA-IF,999839335,DR,Yuri,Peers
654882,TIPPDECRA,MSCA-IF,999985417,DR,Rachel,Spiering
654889,ITNUN,MSCA-IF,999897341,DR,Veronica,West-Harling
654895,E-SPACE,MSCA-IF,999892588,DR,Unai,Diaz Orueta
654906,ALHIS,MSCA-IF,999991722,DR,María Leticia,López-Mondéjar
654908,PFCCMS,MSCA-IF,999974941,DR,Benno,Liebchen
654909,T6SS-PSEUDO-LIP,MSCA-IF,999993468,DR,Laurent,Dortet
654911,THALAMODEL,MSCA-IF,996120064,DR,Juan Eugenio,Iglesias González
654912,Pharmcophore-DOS,MSCA-IF,999977172,DR,Qingzhong,Hu
654915,ALifeInSOFCs,MSCA-IF,999993468,DR,Antonio,Bertei
654916,HydroCat,MSCA-IF,999974941,DR,Joost,de Graaf
654917,BiBiCrossLang,MSCA-IF,996120064,DR,Marcel,Giezen
654921,Phonetic Processing,MSCA-IF,996120064,DR,Olessia,Jouravlev
654923,StrategicVillages,MSCA-IF,954347111,DR,Pamela,Colombo
654923,StrategicVillages,MSCA-IF,999510117,DR,Pamela,Colombo
654924,NANOLIPID,MSCA-IF,999991334,DR,Laura,Salvia Trujillo
654925,EUP,MSCA-IF,999850781,DR,Tania,Bazzani
654927,PALMOBI,MSCA-IF,999977172,DR,Luc,Moreau
654933,3Dconvert,MSCA-IF,999544455,MR,Ralph,Stadhouders
654936,AntWatFre,MSCA-IF,999624092,DR,Konrad,Meister
654942,COGNAC,MSCA-IF,99999793,DR,Paolo,Davini
654963,ENSUR4LIFE,MSCA-IF,996491962,DR,Stefania Carmen,Bobaru
654967,NMOSPEC,MSCA-IF,99984467,MR,Petr,Stepanek
654971,EXPMFSG,MSCA-IF,99999793,DR,Beatriz,Seoane Bartolomé
654981,GUIDES,MSCA-IF,998266092,MR,Stijn,Van de Velde
654981,GUIDES,MSCA-IF,999478883,MR,Stijn,Van de Velde
654985,Brain Metastases,MSCA-IF,99998435,DR,Vasiliki,Economopoulos
654987,PADWIC,MSCA-IF,999979694,DR,Roberto,Quaglia
654990,CLOPRESS,MSCA-IF,999997833,DR,Yusuke,KUMAI
654994,CAT-CAM,MSCA-IF,990867805,DR,Valentina,Ciciliot
654994,CAT-CAM,MSCA-IF,999897341,DR,Valentina,Ciciliot
655009,KOPAR,MSCA-IF,999974844,DR,Alexander,García-Castro
655016,EPINET,MSCA-IF,999896953,DR,Lucia,Quitadamo
655020,DTI4micro,MSCA-IF,99998435,DR,Ernesto,Zacur
655023,BREAKING THE MOULD,MSCA-IF,999974359,DR,Barry,Molloy
655026,MENTAL IMAGERY,MSCA-IF,999977172,DR,Fritz,Renner
655026,MENTAL IMAGERY,MSCA-IF,99999017,DR,Fritz,Renner
655027,AutophagosomeSealing,MSCA-IF,999914801,DR,Rubén,Gómez Sánchez
655033,JUNO,MSCA-IF,999993468,DR,Giacomo,Tarroni
655034,EXPRESSIONARRATION,MSCA-IF,999992013,DR,Marianne,Vergez-Couret
655035,RhomBioID,MSCA-IF,99998435,DR,Kyojiro,Ikeda
655039,NANOSOLAR,MSCA-IF,999619436,DR,Oscar,Vazquez Mena
655043,FeSensor,MSCA-IF,999985611,DR,Jorge,Rodriguez-Celma
655059,PHOEBUS,MSCA-IF,999515355,DR,Margherita,Maiuri
655059,PHOEBUS,MSCA-IF,999879881,DR,Margherita,Maiuri
655063,ELiQSIR,MSCA-IF,999974068,DR,Bruno,Peaudecerf
655067,SHARE,MSCA-IF,999991043,DR,Thomas,Szanto
655073,ClumpLab,MSCA-IF,999985805,DR,Martin,Ziegler
655075,FAST-RAP,MSCA-IF,999572294,DR,Maria,Górna
655092,DebtRisks,MSCA-IF,997927853,PROF,Stavros,Zenios
655092,DebtRisks,MSCA-IF,999835843,PROF,Stavros,Zenios
655100,AdaptClim,MSCA-IF,999979694,DR,Natalia,Sevane
655109,DaRe,MSCA-IF,99990772,DR,Antonia,Wachter-Zeh
655119,MycoTest,MSCA-IF,968362253,DR,Michalina,Oplatowska-Stachowiak
655134,SOS-Nano,MSCA-IF,999864555,DR,Seta,Noventa
655135,CircaDopamine,MSCA-IF,999990849,DR,karim,FIFEL
655137,AUDICON,MSCA-IF,999991334,DR,Bertrand,Fontaine
655138,FACADE FIRE,MSCA-IF,999976784,DR,Fei,Tang
655142,CONSORT,MSCA-IF,999845446,DR,Mikhail,Filatov
655143,EMOTIONS FIRST,MSCA-IF,999974941,DR,laura,Candiotto
655150,BARREN,MSCA-IF,999991043,DR,Ângela,Ribeiro
655153,IgEPath,MSCA-IF,999989976,DR,Philipp,Starkl
655157,ICaRO,MSCA-IF,999997833,DR,Arin,Marchesi
655159,MicroCity,MSCA-IF,999991334,MRS,Shinjini,Mukherjee
655161,Q-METAPP,MSCA-IF,999619436,MR,Jan,Kolodynski
655162,STROMINGER,MSCA-IF,999991722,DR,Mario,Garcia Fernandez
655170,IILSCFLP,MSCA-IF,999993468,DR,Cameron,Weber
655172,WOODSofCHANGE,MSCA-IF,99998435,DR,Ana,Milhinhos
655176,BlaC E-assay,MSCA-IF,999842924,DR,Sunil,Arya
655177,MUSAL,MSCA-IF,999862324,PROF,Vladyslav,Danishevs'kyy
655178,HerbivoreAssociatedOrganisms,MSCA-IF,999981634,DR,Antonino,Cusumano
655179,TeraClear,MSCA-IF,999861451,DR,Konstantin,Lekomtsev
655194,CANCER-TECH,MSCA-IF,999892588,DR,Komal,Bagga
655204,EasyEBC,MSCA-IF,999902579,DR,Paul,Kotyczka
655209,ILDS,MSCA-IF,955310127,PROF,Yonghui,Xia
655212,UBPDS,MSCA-IF,955310127,DR,Yilei,Tang
655222,Walgo,MSCA-IF,999991043,DR,Jean-Yves,Moyen
655226,BIHC,MSCA-IF,999580539,DR,Rui,Antunes
655226,BIHC,MSCA-IF,99997465,DR,Rui,Antunes
655227,InnoMarket,MSCA-IF,998706666,DR,Benedikte,Borgström
655232,ReprObesity,MSCA-IF,999872703,DR,Juan Manuel,Castellano-Rodriguez
655235,SmartMass,MSCA-IF,999851169,DR,Ramón,Escobedo
655238,Human Rpc5,MSCA-IF,999460841,DR,Guillermo,Abascal Palacios
655239,HAP4MARBLE,MSCA-IF,999515355,DR,Enrico,Sassoni
655239,HAP4MARBLE,MSCA-IF,999993953,DR,Enrico,Sassoni
655240,Terra-Micro-Carbo,MSCA-IF,906446474,DR,Ashish,Malik
655240,Terra-Micro-Carbo,MSCA-IF,9999892,DR,Ashish,Malik
655249,3DNCPM,MSCA-IF,999974747,DR,Ioanna,Sakellari
655262,CITISEX,MSCA-IF,954530344,DR,Wouter,Halfwerk
655265,PmSust,MSCA-IF,999985417,DR,Luca,Sabini
655271,EpiNKT,MSCA-IF,99945861,DR,Michail,Verykokakis
655272,HISTORIC,MSCA-IF,999984059,MR,romain,Cariou
655274,PEDIGREE,MSCA-IF,991657094,DR,Dennis,Badeen
655278,GenoSpec,MSCA-IF,999907235,DR,Noppol,Kobmoo
655279,ResolvedJetsHIC,MSCA-IF,999988133,DR,Konrad,Tywoniuk
655282,HiDDaProTImA,MSCA-IF,999977172,DR,Francesco,Renna
655283,3DWISE,MSCA-IF,999597417,DR,Milena,Marjanovic
655285,IMFDforHIC,MSCA-IF,999978724,DR,Harri,Niemi
655292,MOTOR SIMULATION,MSCA-IF,99946734,DR,Anat,Perry
655292,MOTOR SIMULATION,MSCA-IF,999975038,DR,Anat,Perry
655295,NLRs,MSCA-IF,999990267,MS,Rui,Wu
655297,STOPAPCG1IMP,MSCA-IF,999977172,DR,Torcato José,Martins
655310,LDMRD,MSCA-IF,999974262,DR,Tuomas,Sahlsten
655316,GLOBAL INHERITANCES,MSCA-IF,999510117,DR,Alessandro,Buono
655324,GOFAR,MSCA-IF,950038953,PROF,Ehud,Behar
655324,GOFAR,MSCA-IF,99990772,PROF,Ehud,Behar
655331,PALEO-AGRI,MSCA-IF,999978336,DR,charline,Giguet-covex
655334,HyLITE,MSCA-IF,999992013,DR,Leila,Moura
655339,DPETNA,MSCA-IF,99965552,DR,Javier,Garcia Serrano
655341,LARP4MOT,MSCA-IF,999981052,DR,Isabel,Cruz Gallardo
655350,NPCChr,MSCA-IF,999974941,MRS,Charlene,Lemaitre
655360,BHstabNL,MSCA-IF,999986387,DR,Helvi,Witek
655366,PLICO,MSCA-IF,999898311,DR,Noemi,Ruiz lopez
655367,TUNEMODE,MSCA-IF,999896953,DR,Mohd Zamani Bin,Zulkifli
655369,SEQOO,MSCA-IF,992204077,DR,Jan,Gieseler
655369,SEQOO,MSCA-IF,999619436,DR,Jan,Gieseler
655374,ACCESS2WM,MSCA-IF,99998435,DR,Frederik (Freek),van Ede
655379,Art and Brain,MSCA-IF,999866883,DR,Matthew,Pelowski
655392,SexDiff,MSCA-IF,99997562,DR,Rebecca,Dean
655394,ResMet,MSCA-IF,99995622,DR,Anna,Dudek
655396,COPAST,MSCA-IF,99998435,DR,Charlotte,Ribeyrol
655398,ARBUATEM,MSCA-IF,999907526,DR,Blaise-Pascal,Bougnom
655406,ROOT BARRIERS,MSCA-IF,999462587,DR,Concepcion,Manzano
655406,ROOT BARRIERS,MSCA-IF,99946734,DR,Concepcion,Manzano
655417,GATTACA,MSCA-IF,99999308,DR,Maxime,Rotival
655421,HYDIN,MSCA-IF,999994535,DR,Anselm,Loges
655423,NIBSAD,MSCA-IF,999615168,DR,Jesús,Cespón
655424,Inflammafish,MSCA-IF,999974553,MRS,Mónica,Varela
655429,PoetEleg,MSCA-IF,999847677,DR,Anna,Ananieva
655444,ATMCinsituNMR,MSCA-IF,999977172,DR,Oliver,Pecher
655457,Metabolic cost of walking,MSCA-IF,954530344,DR,Dinant,Kistemaker
655459,PleisTechnoVar,MSCA-IF,999977172,DR,Alice,Leplongeon
655474,FluoroCAT,MSCA-IF,999993468,DR,Olga,Ekkert
655475,JELLYPACTS,MSCA-IF,999991722,DR,Ana,Ruiz Frau
655478,NeoGenHeritage,MSCA-IF,999839626,DR,Gloria,Gonzalez Fortes
655480,MuMoSiSt,MSCA-IF,999850781,DR,alessandro,Spila
655487,GENOMIC FOOTPRINT,MSCA-IF,99946734,DR,Ben,Wielstra
655487,GENOMIC FOOTPRINT,MSCA-IF,999976881,DR,Ben,Wielstra
655489,Next-COMM,MSCA-IF,999705087,DR,Christos,Verzyrtzis
655492,Digiseal,MSCA-IF,999981052,DR,Alessio,Sopracasa
655497,NNL,MSCA-IF,999991043,DR,Joseph,Bull
655502,CARDI-ACHE,MSCA-IF,998079949,DR,Thijs,Eijsvogels
655508,COMMANDEER,MSCA-IF,999975717,DR,VYDYULA PAVAN,Kumar
655515,UFOX,MSCA-IF,9999795,DR,Wojciech,Brzezicki
655516,Bump-BET,MSCA-IF,999975523,DR,Kwok-Ho,Chan
655524,FDtoQG,MSCA-IF,999976978,DR,Antonin,Coutant
655527,Leucophyl,MSCA-IF,94973544,DR,Nitin,DANGE
655534,SmartCloudsODC,MSCA-IF,997848313,DR,Giorgio,Mingotti
655537,RAVE,MSCA-IF,9999795,DR,Ester,Eckert
655541,HISTHEOL,MSCA-IF,999978336,DR,Stefan,Bauer
655542,MeaSuRe,MSCA-IF,999981634,DR,Emilie,Wientjes
655545,FLAVODRINKS,MSCA-IF,999993274,DR,Maria del Carmen,Barba Gonzalez-Albo
655559,SSAR,MSCA-IF,999991043,DR,Qing,Liu
655560,CHENGEN,MSCA-IF,99999793,DR,Orly,Razgour
655565,SMARTLAW,MSCA-IF,998403929,PROF,Jonathan,Verschuuren
655565,SMARTLAW,MSCA-IF,999899475,PROF,Jonathan,Verschuuren
655577,LOVe,MSCA-IF,999841954,DR,Gemma,Boleda Torrent
655598,ESATM,MSCA-IF,999882209,DR,Tamas,Roszer
655601,Baltic Mikrorayon,MSCA-IF,999895013,DR,Daniel,Hess
655604,SYNPT,MSCA-IF,99992712,DR,Marijn,Kuijpers
655605,STOP-Beta,MSCA-IF,99998435,DR,Damian,Herz
655609,ADRIA,MSCA-IF,999902385,DR,Borut,Klabjan
655621,MUGNAIO,MSCA-IF,999847677,DR,Michele,Coscia
655623,RncRNAA,MSCA-IF,999990267,DR,Paul,Essers
655628,NanoLAPS,MSCA-IF,999984059,DR,Harry,Nizard
655645,SAPFLUXNET,MSCA-IF,999986096,DR,Rafael,Poyatos
655649,DendroBAP,MSCA-IF,999990946,DR,Sandra,García-Gallego
655653,KinCoop,MSCA-IF,999841469,DR,Rubén,Torices
655653,KinCoop,MSCA-IF,999991722,DR,Rubén,Torices
655656,DURETO,MSCA-IF,999985708,DR,Marc,Galland
655659,ULISSES,MSCA-IF,99999793,DR,Ana,Ejarque
655660,HYBRIPORE,MSCA-IF,99998435,DR,Evan,Spruijt
655661,DeepTrees,MSCA-IF,950110151,DR,Julia,Sigwart
655661,DeepTrees,MSCA-IF,999992013,DR,Julia,Sigwart
655662,ExplicitDarmonProg,MSCA-IF,999976784,DR,Marc,Masdeu
655667,ISOTRAPSS,MSCA-IF,999974941,DR,Jordi,Juárez
655676,BCorp,MSCA-IF,988410019,DR,Martina,Pasquini
655677,GutILC3,MSCA-IF,99997853,DR,Viktoria,Konya
655682,BBLOCK,MSCA-IF,999974262,DR,Alba,Millan delgado
655694,GETAGRIP,MSCA-IF,99966231,DR,Anne-Claire,Fabre
655698,BioMASCE,MSCA-IF,999993468,DR,Spencer,Crowder
655699,Dietary biomarkers,MSCA-IF,999991043,MR,Rastislav,Monosik
655701,LANTERN,MSCA-IF,99776402,MRS,Ana,Asenjo
655701,LANTERN,MSCA-IF,999619436,MRS,Ana,Asenjo
655703,Polyphemus,MSCA-IF,999992013,MR,Jaime,Galbarro
655710,CONRICONF,MSCA-IF,992204077,DR,Lorenza Belinda,Fontana
655710,CONRICONF,MSCA-IF,999923337,DR,Lorenza Belinda,Fontana
655710,CONRICONF,MSCA-IF,999985417,DR,Lorenza Belinda,Fontana
655723,OHPF,MSCA-IF,999974262,DR,Leonid,Ivonin
655726,SAT STABILIS,MSCA-IF,999987745,DR,George,Georgiou
655729,WetCarb,MSCA-IF,999842827,DR,Crystele,Leauthaud-harnett
655729,WetCarb,MSCA-IF,999992401,DR,Crystele,Leauthaud-harnett
655732,WhereWolf,MSCA-IF,999991043,MR,Shyam,Gopalakrishnan
655748,BIBLACE,MSCA-IF,999994826,DR,Gerda,Heydemann
655760,DIGIPHASE,MSCA-IF,999866883,DR,Timothy,Pennycook
655761,EXTREME,MSCA-IF,999981634,DR,Mariska,Te Beest
655764,HQSTS,MSCA-IF,999977172,DR,Gilles,Degottex
655770,CONSCRISIS,MSCA-IF,99997562,DR,Serena,Trucchi
655771,DiverseRoots,MSCA-IF,99999211,DR,Nyncke,Hoekstra
655777,miROMeS,MSCA-IF,999902579,DR,Casina,Kan
655801,EMCOP9CRL,MSCA-IF,999460841,DR,Hugo,Yebenes
655811,NANOBIOENER,MSCA-IF,998347572,DR,Susana,Velasco-Lozano
655814,CheliceLand,MSCA-IF,999974262,MR,Jesus,Lozano
655815,MultiFUNGtionality,MSCA-IF,999838559,DR,Sergio,de Miguel
655817,Cdc42Adhere,MSCA-IF,999981052,DR,Mª Sofía,Tirados Menéndez
655833,ImagiNE,MSCA-IF,924833212,DR,Jacques,Riviere
655833,ImagiNE,MSCA-IF,999907429,DR,Jacques,Riviere
655841,InterAcTEV,MSCA-IF,999991722,DR,Alberto Tomás,Carbonell Olivares
655844,DEMONH,MSCA-IF,990884004,DR,Guangjun,Nan
655852,Quokka Maturation,MSCA-IF,999984059,DR,Andreas,Fell
655854,Syncrip_2014,MSCA-IF,99998435,DR,Francesca,Robertson
655856,b-lactams C-H activation,MSCA-IF,999977172,DR,Jaime,Cabrera-Pardo
655857,FITINV,MSCA-IF,99999793,DR,Mathieu,Chouteau
655859,Voice Modulation,MSCA-IF,999852721,DR,Katarzyna,Pisanski
655864,SingMet,MSCA-IF,999975329,DR,Stefan,Glöggler
655866,Active implants,MSCA-IF,999977851,DR,Julia,Glaum
655881,LIB-Si anode,MSCA-IF,99998435,DR,Ya-Jun,Cheng
655888,SYNTOH,MSCA-IF,99947316,DR,Martin,Schnell
655888,SYNTOH,MSCA-IF,999598969,DR,Martin,Schnell
655889,MYCRONICHE,MSCA-IF,999991334,DR,Karl,Duffy
655890,TiFuN,MSCA-IF,99999793,DR,Shibu,Edakkattuparambil Sidharthan
655896,KOSNORTH,MSCA-IF,999873188,DR,Rok,Zupancic
655905,ActIng,MSCA-IF,999455021,DR,Vincenzo,Di ilio
655914,MICROCHANGE,MSCA-IF,999839529,DR,Peter,Deines
655921,BURIAL,MSCA-IF,999823912,DR,Mario,Gavranovic
655933,AnTraQuGa,MSCA-IF,99999793,DR,Valentin,Volchkov
655938,ZEPHYROS,MSCA-IF,909875521,DR,Noemi,Moncunill Marti
655938,ZEPHYROS,MSCA-IF,998096051,DR,Noemi,Moncunill Marti
655941,DFLOW,MSCA-IF,967270421,DR,Samuel,van Gool
655941,DFLOW,MSCA-IF,999985708,DR,Samuel,van Gool
655942,EnAct,MSCA-IF,999510117,MR,Lorenzo,Bartalesi
655950,EMPOWER,MSCA-IF,999900833,DR,Aleisha,Clarke
655954,SLUW,MSCA-IF,999838074,DR,Federico,Giusfredi
