projectRcn,projectID,participationId,projectAcronym,role,id,name,WikiOrganization,shortName,activityType,endOfParticipation,ecContribution,country,WikiCountry,street,WikiStreet,city,WikiCity,postCode
218672,813547,813547951097029,MIDA,partner,951097029,National Museum of World Cultures,http://www.wikidata.org/entity/Q17153751,SNMW,REC,false,,Netherlands,http://www.wikidata.org/entity/Q55,"Steenstraat 1, Hulst",https://www.wikidata.org/entity/Q17406297,Leiden,https://www.wikidata.org/entity/Q33456378,2312 BS
218672,813547,813547999986387,MIDA,partner,999986387,University of Barcelona,http://www.wikidata.org/entity/Q219615,UB,HES,false,,Spain,http://www.wikidata.org/entity/Q29,GRAN VIA DE LES CORTS CATALANES 585,,Barcelona,https://www.wikidata.org/entity/Q1492,08007
218672,813547,813547999565310,MIDA,participant,999565310,German Institute for Global and Area Studies,http://www.wikidata.org/entity/Q470412,LEIBNIZ INSTITUT FUR GLOBALE UND REGIONALE STUDIEN,REC,false,252788.4,Germany,http://www.wikidata.org/entity/Q183,NEUER JUNGFERNSTIEG 21,,Hamburg,https://www.wikidata.org/entity/Q1055,20354
218672,813547,813547915509475,MIDA,participant,915509475,FONDACIJA KULTURNO NASLIJEDE BEZ GRANICA,,CHwB,OTH,false,219826.8,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q225,UL. KRALJA TVRTKA BROJ 7,,Sarajevo,https://www.wikidata.org/entity/Q11194,71000
218672,813547,813547999510117,MIDA,partner,999510117,School for Advanced Studies in the Social Sciences,http://www.wikidata.org/entity/Q273518,EHESS,HES,false,,France,http://www.wikidata.org/entity/Q142,54 BD RASPAIL,,Paris,https://www.wikidata.org/entity/Q90,75270
218672,813547,813547999861354,MIDA,partner,999861354,Autonomous University of Madrid,http://www.wikidata.org/entity/Q788091,UAM,HES,false,,Spain,http://www.wikidata.org/entity/Q29,CALLE EINSTEIN 3 CIUDAD UNIV CANTOBLANCO RECTORADO,,Madrid,https://www.wikidata.org/entity/Q2807,28049
218672,813547,813547918141473,MIDA,partner,918141473,CENTRE NATIONAL D'ART ET DE CULTURE GEORGESPOMPIDOU,,Centre Pompidou,PUB,false,,France,http://www.wikidata.org/entity/Q142,"120 rue Saint-Martin - 59 rue Simon-le-Franc, Paris",https://www.wikidata.org/entity/Q22921404,PARIS CEDEX 04,,75191
218672,813547,813547999513803,MIDA,participant,999513803,Institut de recherche pour le développement,http://www.wikidata.org/entity/Q2910510,IRD,REC,false,274802.04,France,http://www.wikidata.org/entity/Q142,BOULEVARD DE DUNKERQUE 44 CS 90009,,Marseille,https://www.wikidata.org/entity/Q23482,13572
218672,813547,813547999997930,MIDA,coordinator,999997930,National Center for Scientific Research,http://www.wikidata.org/entity/Q280413,CNRS,REC,false,549604.08,France,http://www.wikidata.org/entity/Q142,RUE MICHEL ANGE 3,,Paris,https://www.wikidata.org/entity/Q90,75794
218672,813547,813547999991334,MIDA,participant,999991334,Katholieke Universiteit Leuven,http://www.wikidata.org/entity/Q833670,KU Leuven,HES,false,256320,Belgium,http://www.wikidata.org/entity/Q31,"Oude Raadhuis, Heenvliet",https://www.wikidata.org/entity/Q17615613,Leuven,https://www.wikidata.org/entity/Q118958,3000
218672,813547,813547999994826,MIDA,participant,999994826,Freie Universität Berlin,http://www.wikidata.org/entity/Q153006,Freie Universitaet Berlin,HES,false,252788.4,Germany,http://www.wikidata.org/entity/Q183,KAISERSWERTHER STRASSE 16-18,,Berlin,https://www.wikidata.org/entity/Q64,14195
218672,813547,813547914245177,MIDA,partner,914245177,Instituto Internacional de Estudios Árabes y del Mundo Musulmán,http://www.wikidata.org/entity/Q8341857,Casa Árabe,PUB,false,,Spain,http://www.wikidata.org/entity/Q29,ALCALA 62,,Madrid,https://www.wikidata.org/entity/Q2807,28009
218672,813547,813547999985708,MIDA,participant,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,265619.88,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
218672,813547,813547992560067,MIDA,partner,992560067,University of Erfurt,http://www.wikidata.org/entity/Q702524,UE,HES,false,,Germany,http://www.wikidata.org/entity/Q183,NORDHAUSER STRASSE 63,,Erfurt,https://www.wikidata.org/entity/Q1729,99089
224714,860665,860665998771171,PERFORCE3,participant,998771171,BUNDESINSTITUT FUER RISIKOBEWERTUNG,,BFR,REC,false,252788.4,Germany,http://www.wikidata.org/entity/Q183,MAX DOHRN STRASSE 8-10,,Berlin,https://www.wikidata.org/entity/Q64,10589
224714,860665,860665999874643,PERFORCE3,participant,999874643,UNIVERSITETET I TROMSOE NORGES ARKTISKE UNIVERSITET,,UiT,HES,false,292342.32,Norway,http://www.wikidata.org/entity/Q20,HANSINE HANSENS VEG 14,,Tromsø,https://www.wikidata.org/entity/Q42328401,9019
224714,860665,860665996219683,PERFORCE3,participant,996219683,HOCHSCHULE FRESENIUS GEMEINNUTZIGEGMBH,,HSF,HES,false,252788.4,Germany,http://www.wikidata.org/entity/Q183,LIMBURGER STRASSE 2,,Idstein,https://www.wikidata.org/entity/Q525659,65510
224714,860665,860665954530344,PERFORCE3,participant,954530344,Museum Boijmans Van Beuningen,http://www.wikidata.org/entity/Q679527,STICHTING VU,HES,false,265619.88,Netherlands,http://www.wikidata.org/entity/Q55,DE BOELELAAN 1105,,Amsterdam,https://www.wikidata.org/entity/Q727,1081 HV
224714,860665,860665999994632,PERFORCE3,participant,999994632,HELMHOLTZZENTRUM FUR UMWELTFORSCHUNG GMBH UFZ,,UFZ,OTH,false,252788.4,Germany,http://www.wikidata.org/entity/Q183,PERMOSERSTRASSE 15,,Leipzig,https://www.wikidata.org/entity/Q2079,04318
224714,860665,860665999907526,PERFORCE3,participant,999907526,University of Birmingham,http://www.wikidata.org/entity/Q223429,UoB,HES,false,303172.56,United Kingdom,http://www.wikidata.org/entity/Q145,ABC Edgbaston,https://www.wikidata.org/entity/Q38690552,Birmingham,https://www.wikidata.org/entity/Q2256,B15 2TT
224714,860665,860665999654162,PERFORCE3,participant,999654162,NORSK INSTITUTT FOR LUFTFORSKNING STIFTELSE,,NILU,REC,false,292342.32,Norway,http://www.wikidata.org/entity/Q20,INSTITUTTVEIEN 18,,basement,https://www.wikidata.org/entity/Q234852,2027
224714,860665,860665999887350,PERFORCE3,participant,999887350,SVERIGES LANTBRUKSUNIVERSITET,,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,HES,false,281982.96,Sweden,http://www.wikidata.org/entity/Q34,ALMAS ALLE 8,,Uppsala,https://www.wikidata.org/entity/Q25286,750 07
224714,860665,860665999979015,PERFORCE3,participant,999979015,EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,,ETH Zürich,HES,false,281276.64,Switzerland,http://www.wikidata.org/entity/Q39,Raemistrasse 101,,Zürich,https://www.wikidata.org/entity/Q72,8092
224714,860665,860665998866522,PERFORCE3,participant,998866522,STIFTELSEN NORGES GEOTEKNISKE INSTITUTT,,NGI,OTH,false,292342.32,Norway,http://www.wikidata.org/entity/Q20,Sognsveien 72,,Oslo,https://www.wikidata.org/entity/Q585,N-0855
224714,860665,860665998941406,PERFORCE3,participant,998941406,GE HEALTHCARE BIOSCIENCES AB,,GEHC,PRC,true,281982.96,Sweden,http://www.wikidata.org/entity/Q34,BJORKGATAN 30,,Uppsala,https://www.wikidata.org/entity/Q25286,751 84
224714,860665,860665999978530,PERFORCE3,participant,999978530,Karolinska Institute,http://www.wikidata.org/entity/Q219564,KI,HES,false,281982.96,Sweden,http://www.wikidata.org/entity/Q34,Nobels Vag 5,,Stockholm,https://www.wikidata.org/entity/Q1754,17177
224714,860665,860665999985708,PERFORCE3,participant,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,265619.88,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
224714,860665,860665999885022,PERFORCE3,coordinator,999885022,Stockholm University,http://www.wikidata.org/entity/Q221645,SU,HES,false,563965.92,Sweden,http://www.wikidata.org/entity/Q34,UNIVERSITETSVAGEN 10,,Stockholm,https://www.wikidata.org/entity/Q1754,10691
196589,659193,659193999985708,Evolutionary Neurogenomics,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,177598.8,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
228699,898537,898537999985708,Shaping the conflict,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,187572.48,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
209797,749510,749510999985708,NucLoc,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,165598.8,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
220288,811285,811285999985708,Atlas,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,150000,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
222922,845119,845119999985708,MeNDD,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,175572.48,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
204712,679399,679399954530344,PERCEPT,coordinator,954530344,Museum Boijmans Van Beuningen,http://www.wikidata.org/entity/Q679527,STICHTING VU,HES,false,924938,Netherlands,http://www.wikidata.org/entity/Q55,DE BOELELAAN 1105,,Amsterdam,https://www.wikidata.org/entity/Q727,1081 HV
204712,679399,679399999985708,PERCEPT,participant,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,true,575000,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
197940,671653,671653999977172,EXTRA,participant,999977172,THE CHANCELLOR MASTERS AND SCHOLARSOF THE UNIVERSITY OF CAMBRIDGE,,UCAM,HES,false,298406,United Kingdom,http://www.wikidata.org/entity/Q145,TRINITY LANE THE OLD SCHOOLS,,Cambridge,https://www.wikidata.org/entity/Q350,CB2 1TN
197940,671653,671653999993468,EXTRA,participant,999993468,Imperial College London,http://www.wikidata.org/entity/Q189022,Imperial,HES,false,559080,United Kingdom,http://www.wikidata.org/entity/Q145,SOUTH KENSINGTON CAMPUS EXHIBITION ROAD,,London,https://www.wikidata.org/entity/Q84,SW7 2AZ
197940,671653,671653999986096,EXTRA,coordinator,999986096,Ghent University,http://www.wikidata.org/entity/Q1137665,UGent,HES,false,530296,Belgium,http://www.wikidata.org/entity/Q31,SINT PIETERSNIEUWSTRAAT 25,,Ghent,https://www.wikidata.org/entity/Q1296,9000
197940,671653,671653999611094,EXTRA,participant,999611094,EREVNITIKO PANEPISTIMIAKO INSTITOUTO TILEPIKONONIAKON SYSTIMATON,,TELECOMMUNICATION SYSTEMS INSTITUTE,REC,false,420000,Greece,http://www.wikidata.org/entity/Q41,KOUNOUPIDIANA AKROTIRIO TUC CAMPUS,,Chania,https://www.wikidata.org/entity/Q182299,73100
197940,671653,671653999668227,EXTRA,participant,999668227,SYNELIXIS LYSEIS PLIROFORIKIS AUTOMATISMOU & TILEPIKOINONION ANONIMI ETAIRIA,,SYNELIXIS,PRC,false,305812.5,Greece,http://www.wikidata.org/entity/Q41,FARMAKIDOU 10,,Chalkida,https://www.wikidata.org/entity/Q200133,34100
197940,671653,671653999988812,EXTRA,participant,999988812,RUHRUNIVERSITAET BOCHUM,,RUHR-UNIVERSITAET BOCHUM,HES,false,476250,Germany,http://www.wikidata.org/entity/Q183,UNIVERSITAETSSTRASSE 150,,Bochum,https://www.wikidata.org/entity/Q2103,44801
197940,671653,671653999879881,EXTRA,participant,999879881,Politecnico di Milano,http://www.wikidata.org/entity/Q392904,POLIMI,HES,false,451250,Italy,http://www.wikidata.org/entity/Q38,PIAZZA LEONARDO DA VINCI 32,,Milan,https://www.wikidata.org/entity/Q490,20133
197940,671653,671653968922816,EXTRA,participant,968922816,MAXELER TECHNOLOGIES LIMITED,,Maxeler Technologies Limited,PRC,false,415000,United Kingdom,http://www.wikidata.org/entity/Q145,"3 And 4, Albion Place",https://www.wikidata.org/entity/Q26502225,London,https://www.wikidata.org/entity/Q84,W6 0QT
197940,671653,671653999985708,EXTRA,participant,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,533836,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
228666,894547,894547992204077,MARMIGSEX,partner,992204077,President and Fellows of Harvard College,http://www.wikidata.org/entity/Q7241254,OFFICE FOR SPONSORED PROGRAMS,HES,false,,United States of America,http://www.wikidata.org/entity/Q30,MASSACHUSETTS AVENUE 1350,,Cambridge,https://www.wikidata.org/entity/Q350,02138
228666,894547,894547999985708,MARMIGSEX,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,271052.16,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
224977,857897,857897999985611,e-LADDA,participant,999985611,University of East Anglia,http://www.wikidata.org/entity/Q1045828,UEA,HES,false,303172.56,United Kingdom,http://www.wikidata.org/entity/Q145,"4, Earlham Road",https://www.wikidata.org/entity/Q26653849,Norwich,https://www.wikidata.org/entity/Q130191,NR4 7TJ
224977,857897,857897930638759,e-LADDA,participant,930638759,FURHAT ROBOTICS AB,,FURHAT ROBOTICS,PRC,false,281982.96,Sweden,http://www.wikidata.org/entity/Q34,LINDSTEDTSVAGEN 24 TR 5,,Stockholm,https://www.wikidata.org/entity/Q1754,114 28
224977,857897,857897942705268,e-LADDA,participant,942705268,SIA DATORZINIBU CENTRS,,DZC,PRC,false,230068.44,Latvia,http://www.wikidata.org/entity/Q211,LACPLESA IELA 41,,Riga,https://www.wikidata.org/entity/Q1773,1011
224977,857897,857897999903840,e-LADDA,participant,999903840,University of Manchester,http://www.wikidata.org/entity/Q230899,UNIVERSITY OF MANCHESTER,HES,false,303172.56,United Kingdom,http://www.wikidata.org/entity/Q145,"5, Oxford Road",https://www.wikidata.org/entity/Q26488918,Manchester,https://www.wikidata.org/entity/Q18125,M13 9PL
224977,857897,857897999845640,e-LADDA,participant,999845640,GEORGAUGUSTUNIVERSITAT GOTTINGENSTIFTUNG OFFENTLICHEN RECHTS,,UGOE,HES,false,505576.8,Germany,http://www.wikidata.org/entity/Q183,Wohnhaus in geschlossener Bebauung Wilhelmsplatz 1a,https://www.wikidata.org/entity/Q49610093,Göttingen,https://www.wikidata.org/entity/Q3033,37073
224977,857897,857897916111166,e-LADDA,participant,916111166,SPONGE UK LIMITED,,SpongeUK,PRC,false,303172.56,United Kingdom,http://www.wikidata.org/entity/Q145,9 RESEARCH WAY DERRIFORD,,Plymouth,https://www.wikidata.org/entity/Q30990,PL6 8BT
224977,857897,857897999840984,e-LADDA,participant,999840984,University of Lancaster,http://www.wikidata.org/entity/Q262854,Lancaster University,HES,false,303172.56,United Kingdom,http://www.wikidata.org/entity/Q145,Bailrigg House,https://www.wikidata.org/entity/Q26670743,Lancaster,https://www.wikidata.org/entity/Q205905,LA1 4YW
224977,857897,857897999894916,e-LADDA,participant,999894916,University of Porto,http://www.wikidata.org/entity/Q1422903,UPORTO,HES,false,237720.24,Portugal,http://www.wikidata.org/entity/Q45,Cine-Teatro,https://www.wikidata.org/entity/Q37813302,Porto,https://www.wikidata.org/entity/Q36433,4099 002
224977,857897,857897999977851,e-LADDA,coordinator,999977851,NORGES TEKNISKNATURVITENSKAPELIGE UNIVERSITET NTNU,,NTNU,HES,false,584684.64,Norway,http://www.wikidata.org/entity/Q20,HOGSKOLERINGEN 1,,Trondheim,https://www.wikidata.org/entity/Q25804,7491
224977,857897,857897999985708,e-LADDA,participant,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,265619.88,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
224977,857897,857897999862518,e-LADDA,participant,999862518,University of Seville,http://www.wikidata.org/entity/Q1229996,USE,HES,false,501809.76,Spain,http://www.wikidata.org/entity/Q29,CALLE S. FERNANDO 4,,Seville,https://www.wikidata.org/entity/Q8717,41004
208712,751924,751924999985708,ConscriptedVolunteer,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,165598.8,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
228741,898538,898538992204077,Social Housing,partner,992204077,President and Fellows of Harvard College,http://www.wikidata.org/entity/Q7241254,OFFICE FOR SPONSORED PROGRAMS,HES,false,,United States of America,http://www.wikidata.org/entity/Q30,MASSACHUSETTS AVENUE 1350,,Cambridge,https://www.wikidata.org/entity/Q350,02138
228741,898538,898538999985708,Social Housing,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,253052.16,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
227004,853133,853133999985708,Worlds of Lithium,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,1500000,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
199996,693289,693289938832931,CoHERE,participant,938832931,Museum of the History of Polish Jews,http://www.wikidata.org/entity/Q429069,POLIN,PUB,false,79617.5,Poland,http://www.wikidata.org/entity/Q36,UL. MORDECHAJA ANIELEWICZA 6,,Warsaw,https://www.wikidata.org/entity/Q270,00 157
199996,693289,693289999997736,CoHERE,participant,999997736,Aarhus University,http://www.wikidata.org/entity/Q924265,AU,HES,false,192927.5,Denmark,http://www.wikidata.org/entity/Q35,NORDRE RINGGADE 1,,Aarhus,https://www.wikidata.org/entity/Q25319,8000
199996,693289,693289997830077,CoHERE,participant,997830077,Istanbul Bilgi University,http://www.wikidata.org/entity/Q344262,BILGI,HES,false,180931.25,Turkey,http://www.wikidata.org/entity/Q43,KAZIM KARABEKIR CAD 213 ISTANBUL ESKI SILAHTARAGA ELEKTRIK SANTRALI SANTRAISTANBUL KAMPUSU,,Eyüp,https://www.wikidata.org/entity/Q97204948,34060
199996,693289,693289999643007,CoHERE,participant,999643007,ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON,,NKUA,HES,false,184211.25,Greece,http://www.wikidata.org/entity/Q41,6 CHRISTOU LADA STR,,Athens,https://www.wikidata.org/entity/Q1524,10561
