"Producto","Tipo","NIF","Adjudicatario","Fecha","Cantidad Pedido","Cantidad Recibido","Cantidad Pendiente","Importe del Pedido","Importe Pagado","Importe Pendiente"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","90","90","0","71","71","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","30","30","0","24","24","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","30","30","0","657","657","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","10","10","0","41","41","0","0%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","600","600","0","726","726","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","20","20","0","165","165","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","450","450","0","1579","1579","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","100","100","0","129","129","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","225","225","0","291","291","0","21%"
"HISOPOS","SUMINISTRO","A28664589","BIOMERIEUX ESPAÑA, S.A.","16/03/2020","850","850","0","1831","1831","0","21%"
"HISOPOS","SUMINISTRO","A28664589","BIOMERIEUX ESPAÑA, S.A.","16/03/2020","150","150","0","267","267","0","0%"
"SOLUCION HIDROALCOHOLICA (biocida y cosmetica)","SUMINISTRO","A30014047","AROM, S.A.","16/03/2020","11760","11760","0","32301","32301","0","21%"
"GUANTE VINILO","SUMINISTRO","A58001686","BARNA IMPORT MEDICA, S.A.","16/03/2020","27000","27000","0","673","673","0","21%"
"GUANTE VINILO","SUMINISTRO","A58001686","BARNA IMPORT MEDICA, S.A.","16/03/2020","60000","60000","0","1496","1496","0","21%"
"GUANTE VINILO","SUMINISTRO","A58001686","BARNA IMPORT MEDICA, S.A.","16/03/2020","29000","29000","0","723","723","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A58001686","BARNA IMPORT MEDICA, S.A.","16/03/2020","2400","2400","0","409","409","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A58001686","BARNA IMPORT MEDICA, S.A.","16/03/2020","1200","1200","0","205","205","0","21%"
"Sonda endodigestiva","SUMINISTRO","A58426008","GRIFOLS MOVACO, S.A.","16/03/2020","200","200","0","1595","1595","0","0%"
"KITS PCR DIAGNOSTICO COVID-19","SUMINISTRO","A58710740","PALEX MEDICAL, S.A.","16/03/2020","20","20","0","47190","47190","0","21%"
"TERMOCICLADOR (1854095)","SUMINISTRO","A79389920","BIO-RAD LABORATORIES, S.A.","16/03/2020","1","1","0","26620","26620","0","21%"
"CONTENEDORES","SUMINISTRO","B03362621","AKRALAB, S.L.","16/03/2020","800","67","733","22128","1853","20275","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","B08438731","IZASA HOSPITAL, S.L.U","16/03/2020","12000","12000","0","407","407","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","B08438731","IZASA HOSPITAL, S.L.U","16/03/2020","12000","12000","0","407","407","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","B08438731","IZASA HOSPITAL, S.L.U","16/03/2020","12000","12000","0","407","407","0","21%"
"RESPIRADOR","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","7","4","3","63000","36000","27000","21%"
"RESPIRADOR","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","1","1","0","9000","9000","0","21%"
"RESPIRADOR","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","1","1","0","9000","9000","0","0%"
"RESPIRADOR","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","3","3","0","27000","27000","0","0%"
"RESPIRADOR","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","4","4","0","36000","36000","0","0%"
"RESPIRADOR","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","4","4","0","36000","36000","0","0%"
"RESPIRADOR","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","3","3","0","27000","27000","0","0%"
"RESPIRADOR VOLUMETRICO","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","1","1","0","16944","16944","0","21%"
"RESPIRADOR VOLUMETRICO","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","1","1","0","16944","16944","0","0%"
"RESPIRADOR VOLUMETRICO","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","2","2","0","33889","33889","0","21%"
"RESPIRADOR VOLUMETRICO","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","16/03/2020","1","1","0","14004","14004","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B61053922","KEYLAB MEDICAL, S.L.","16/03/2020","30","30","0","544","544","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B61053922","KEYLAB MEDICAL, S.L.","16/03/2020","1000","1000","0","3630","3630","0","0%"
"Fund/prot.desechable","SUMINISTRO","B61526414","MOLNLYCKE HEALTH CARE S.L.","16/03/2020","200","200","0","302","302","0","21%"
"Fund/prot.desechable","SUMINISTRO","B61526414","MOLNLYCKE HEALTH CARE S.L.","16/03/2020","1000","1000","0","1512","1512","0","21%"
"RESPIRADOR","SUMINISTRO","B73182586","MARCOM MEDICA, S.L.","16/03/2020","4","3","1","42000","31500","10500","0%"
"RESPIRADOR","SUMINISTRO","B73182586","MARCOM MEDICA, S.L.","16/03/2020","1","1","0","12705","12705","0","21%"
"RESPIRADOR ALTA FRECUENCIA","SUMINISTRO","B73182586","MARCOM MEDICA, S.L.","16/03/2020","1","1","0","37675","37675","0","21%"
"RESPIRADOR DE VENTILACIÓN NO INVASIVA","SUMINISTRO","B73182586","MARCOM MEDICA, S.L.","16/03/2020","1","1","0","15901","15901","0","21%"
"OTROS","SUMINISTRO","B73319436","FERRETERIA SURESTE, S.L.","16/03/2020","6","6","0","29","29","0","21%"
"BATAS DESECHABLES E IMPERMEABLES","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","920","920","0","76254","76254","0","21%"
"GAFAS DE PROTECCION","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","108","108","0","5933","5933","0","21%"
"GAFAS DE PROTECCION","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","30","30","0","1581","1581","0","21%"
"GAFAS DE PROTECCION","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","6000","6000","0","266805","266805","0","21%"
"MASCARILLA PROTECCION FFP3","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","10000","10000","0","144595","144595","0","21%"
"MASCARILLA PROTECCION FFP3","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","200","200","0","2299","2299","0","21%"
"MONO INTEGRAL","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","10000","10000","0","768350","768350","0","21%"
"MONO INTEGRAL","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","50000","50000","0","3175000","3175000","0","0%"
"MONO INTEGRAL","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","2200","2200","0","102487","102487","0","21%"
"MONO INTEGRAL","SUMINISTRO","B73612046","GLOBAL PROTECCION Y SEGURIDAD, S. L","16/03/2020","2200","2200","0","190333","190333","0","21%"
"MASCARILLAS QUIRURGICAS I, de tipo II y IIR","SUMINISTRO","B80196934","GARRIC MEDICA, S.L.","16/03/2020","100000","100000","0","80000","80000","0","21%"
"Cánulas Guedel-Mayo","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","100","100","0","30","30","0","0%"
"Cánulas Guedel-Mayo","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","180","180","0","53","53","0","21%"
"Cánulas Guedel-Mayo","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","90","90","0","27","27","0","0%"
"Conector/adaptador","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","75","75","0","182","182","0","21%"
"Conector/adaptador","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","25","25","0","60","60","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","36","36","0","427","427","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","1760","1760","0","1440","1440","0","21%"
"Nebuliz./humidific.","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","3300","3300","0","1278","1278","0","21%"
"Nebuliz./humidific.","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","135","135","0","103","103","0","21%"
"Nebuliz./humidific.","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","2160","2160","0","1759","1759","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","120","120","0","4341","4341","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","B80957889","INTERSURGICAL ESPAÑA, S.L.","16/03/2020","45","45","0","223","223","0","0%"
"TERMOMETROS","SUMINISTRO","B97527477","MATCLINIC, S.L.","16/03/2020","36","36","0","2396","2396","0","21%"
"Termó/sensor reg.dat","SUMINISTRO","W0068620D","MASIMO EUROPE LTD SUCURSAL EN ESPAÑ","16/03/2020","220","220","0","2649","2649","0","21%"
"MASCARILLAS QUIRURGICAS I, de tipo II y IIR","SUMINISTRO","***7110**","JIMENEZ ESPÍN, PABLO FELIPE","17/03/2020","10000","10000","0","18150","18150","0","21%"
"MASCARILLAS QUIRURGICAS I, de tipo II y IIR","SUMINISTRO","***7110**","JIMENEZ ESPÍN, PABLO FELIPE","17/03/2020","500000","500000","0","726000","726000","0","21%"
"Fiad/acc. intubación","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","3","3","0","12","12","0","10%"
"Fiad/acc. intubación","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","42","42","0","170","170","0","10%"
"Nebuliz./humidific.","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","200","200","0","133","133","0","21%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","170","170","0","290","290","0","10%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","180","180","0","307","307","0","0%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","30","30","0","51","51","0","10%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","5","5","0","9","9","0","0%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","60","60","0","102","102","0","10%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","710","710","0","1211","1211","0","10%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","1140","1140","0","1944","1944","0","0%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","305","305","0","520","520","0","10%"
"Sondas urológicas","SUMINISTRO","A03142114","TELEFLEX MEDICAL, S.A.","17/03/2020","70","70","0","119","119","0","0%"
"Fiad/acc. intubación","SUMINISTRO","A03802451","MEDILEVEL, S.A.","17/03/2020","60","60","0","79","79","0","21%"
"Eq/acc. perfusión","SUMINISTRO","A08130502","FRESENIUS KABI ESPAÑA, S.A.","17/03/2020","1320","1320","0","1626","1626","0","0%"
"Sistemas nutrición","SUMINISTRO","A08130502","FRESENIUS KABI ESPAÑA, S.A.","17/03/2020","1050","1050","0","2137","2137","0","0%"
"Sonda endodigestiva","SUMINISTRO","A08130502","FRESENIUS KABI ESPAÑA, S.A.","17/03/2020","25","25","0","2228","2228","0","0%"
"Sonda endodigestiva","SUMINISTRO","A08130502","FRESENIUS KABI ESPAÑA, S.A.","17/03/2020","50","50","0","248","248","0","0%"
"Fiad/acc. intubación","SUMINISTRO","A08525073","COOK ESPAÑA, S.A.","17/03/2020","2","2","0","141","141","0","0%"
"Tubos alargadores","SUMINISTRO","A08630063","IBERHOSPITEX, S.A.","17/03/2020","7140","7140","0","5174","5174","0","21%"
"SONDA ECOGRAFICA","SUMINISTRO","A28017143","PHILIPS IBERICA, S.A.","17/03/2020","1","1","0","8095","8095","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28063485","DRAGER MEDICAL HISPANIA, S.A.","17/03/2020","100","100","0","4187","4187","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28063485","DRAGER MEDICAL HISPANIA, S.A.","17/03/2020","10","10","0","411","411","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28063485","DRAGER MEDICAL HISPANIA, S.A.","17/03/2020","10","10","0","411","411","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28063485","DRAGER MEDICAL HISPANIA, S.A.","17/03/2020","5","5","0","248","248","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","2900","2900","0","3474","3474","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","396","396","0","679","679","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","110","110","0","1597","1597","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","130","130","0","976","976","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","110","110","0","627","627","0","21%"
"Inst.des.general","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","190","190","0","5700","5700","0","0%"
"Inst.des.general","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","150","150","0","908","908","0","21%"
"Nebuliz./humidific.","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","6480","6480","0","11369","11369","0","21%"
"Sondas de aspiración","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","145","145","0","21%"
"Sondas de aspiración","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","50","50","0","600","600","0","0%"
"Termó/sensor reg.dat","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","2088","2088","0","17559","17559","0","21%"
"Tubos admón.O2","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","850","850","0","3043","3043","0","21%"
"Tubos admón.O2","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","50","50","0","517","517","0","21%"
"Tubos admón.O2","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","75","75","0","635","635","0","21%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","20","20","0","82","82","0","21%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","490","490","0","386","386","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","40","40","0","32","32","0","21%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","240","240","0","189","189","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","8","8","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","41","41","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","40","40","0","32","32","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","240","240","0","189","189","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","100","100","0","79","79","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","100","100","0","2189","2189","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","219","219","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","219","219","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","219","219","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","20","20","0","16","16","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","50","50","0","206","206","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","60","60","0","248","248","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","181","181","0","0%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","10","10","0","181","181","0","0%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","1500","1500","0","1815","1815","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","150","150","0","1240","1240","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","1260","1260","0","4421","4421","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","20","20","0","302","302","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","300","300","0","388","388","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","350","350","0","452","452","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","17/03/2020","1150","1150","0","1486","1486","0","21%"
"SOLUCION HIDROALCOHOLICA (biocida y cosmetica)","SUMINISTRO","A30014047","AROM, S.A.","17/03/2020","11760","11760","0","32301","32301","0","21%"
"Inst.des.general","SUMINISTRO","A48464788","A.J.L. OPHTHALMIC  S.A.","17/03/2020","18","18","0","1002","1002","0","0%"
"Jab/complementos HP","SUMINISTRO","A59077941","IHT MEDICAL, S.A.","17/03/2020","2250","2250","0","238","238","0","21%"
"CALZAS","SUMINISTRO","A78198017","CRAMBO, S.A.","17/03/2020","50000","50000","0","58500","58500","0","0%"
"MASCARILLA PROTECCION FFP2","SUMINISTRO","A78198017","CRAMBO, S.A.","17/03/2020","20000","20000","0","111078","111078","0","21%"
"MASCARILLAS QUIRURGICAS I, de tipo II y IIR","SUMINISTRO","A78198017","CRAMBO, S.A.","17/03/2020","500000","500000","0","393250","393250","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A79348009","CONFECCIONES ANADE, S.A.","17/03/2020","4000","4000","0","1156","1156","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A79348009","CONFECCIONES ANADE, S.A.","17/03/2020","4000","4000","0","1156","1156","0","21%"
"GUANTES DE NITRILO, CON Y SIN POLVO","SUMINISTRO","A79348009","CONFECCIONES ANADE, S.A.","17/03/2020","2000","2000","0","578","578","0","21%"
"HISOPOS","SUMINISTRO","B03362621","AKRALAB, S.L.","17/03/2020","5000","5000","0","5150","5150","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","B06232094","INSANEX, S. L.","17/03/2020","20","20","0","322","322","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","B06232094","INSANEX, S. L.","17/03/2020","20","20","0","651","651","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","B06232094","INSANEX, S. L.","17/03/2020","40","40","0","543","543","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B08438731","IZASA HOSPITAL, S.L.U","17/03/2020","1300","1300","0","1258","1258","0","21%"
"Mascarilla O2/otras","SUMINISTRO","B08438731","IZASA HOSPITAL, S.L.U","17/03/2020","100","100","0","133","133","0","21%"
"OTROS","SUMINISTRO","B11270097","BENITEZ PAUBLETE S.L.","17/03/2020","2500","2500","0","1150","1150","0","21%"
"DESINFECTANTE TOALLITAS","SUMINISTRO","B12985057","THE NONWOVENS PROJECT, S.L.","17/03/2020","64800","64800","0","9001","9001","0","21%"
"DESINFECTANTE TOALLITAS","SUMINISTRO","B12985057","THE NONWOVENS PROJECT, S.L.","17/03/2020","185200","185200","0","25726","25726","0","0%"
"TERMOMETROS","SUMINISTRO","B15031545","COMEDIC, S.L.","17/03/2020","90","90","0","5205","5205","0","21%"
"TERMOMETROS","SUMINISTRO","B15031545","COMEDIC, S.L.","17/03/2020","110","110","0","5257","5257","0","0%"
"ALCOHOL","SUMINISTRO","B30389282","BENITO PARRAGA, S.L.","17/03/2020","108","108","0","160","160","0","0%"
"Conector/adaptador","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","20","20","0","42","42","0","0%"
"Conector/adaptador","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","20","20","0","714","714","0","0%"
"Fij/suj/acc.ventiltp","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","20","20","0","823","823","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","30","30","0","1369","1369","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","100","100","0","4562","4562","0","0%"
"Tubul/filt/circ. Y","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","200","200","0","370","370","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","400","400","0","741","741","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","B46149555","DEXTRO MEDICA, S.L.","17/03/2020","60","60","0","2810","2810","0","0%"
"DESINFECTANTE TOALLITAS","SUMINISTRO","B48910756","VESISMIN, S.L.","17/03/2020","80000","80000","0","8131","8131","0","0%"
"Toall/esp.desechable","SUMINISTRO","B48910756","VESISMIN, S.L.","17/03/2020","60000","60000","0","3303","3303","0","0%"
"Toall/esp.desechable","SUMINISTRO","B48910756","VESISMIN, S.L.","17/03/2020","162000","162000","0","8919","8919","0","0%"
"CAMAS ARTICULADAS ELECTRICAS","SUMINISTRO","B50057322","INDUSTRIAS HIDRAULICAS PARDO, S.L.","17/03/2020","40","40","0","81699","81699","0","21%"
"COLCHONES CAMA","SUMINISTRO","B50057322","INDUSTRIAS HIDRAULICAS PARDO, S.L.","17/03/2020","40","40","0","5034","5034","0","21%"
"HISOPOS","SUMINISTRO","B58786096","NIRCO,S L","17/03/2020","10000","10000","0","22022","22022","0","21%"
"Tubul/filt/circ. Y","SUMINISTRO","B59078071","HOSPITAL HISPANIA, SL.","17/03/2020","50","50","0","2046","2046","0","21%"
"MESITA","SUMINISTRO","B60805769","SIEMENS HEALTHCARE,  S.L.U.","17/03/2020","40","40","0","13721","13721","0","21%"
"SILLON GIRATORIO CON RUEDAS","SUMINISTRO","B60805769","SIEMENS HEALTHCARE,  S.L.U.","17/03/2020","40","40","0","37861","37861","0","21%"
"Nebuliz./humidific.","SUMINISTRO","B61053922","KEYLAB MEDICAL, S.L.","17/03/2020","70","70","0","1270","1270","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B61053922","KEYLAB MEDICAL, S.L.","17/03/2020","500","500","0","9075","9075","0","0%"
"Nebuliz./humidific.","SUMINISTRO","B61053922","KEYLAB MEDICAL, S.L.","17/03/2020","500","500","0","7500","7500","0","0%"
