Contract Number,Contractor                       Name,Short                                  Description,Full                                                       Description,Contract Status,Contract Type,Contract Entered,Contract                Expiration,Contract Amendments,Last                             Amendment,Original                                 Amount,Contract                                           Total,Managing                                                    Division
000553,"PII, INC.","Public Interest Investigations, Inc. (PI",Citys Ombudman Program,A,profsvcs,03/01/1999,01/01/3000,2,09/18/2007,0.00,"20,000.00",Human Resources
000575,RICHARDS WATSON & GERSHON,ATTORNEY SERVICES/HOUSING,"Attorney services provided since 1984, primarily for inclusionary housing issues and affordable housing agreements.  No end date; contract to be reviewed every 10 years.",A,profsvcs,11/29/1984,06/30/2022,1,09/18/2018,0.00,"25,000.00",Assistant City Manager
000668,CITY OF WEST HOLLYWOOD,West Hollywood Parking Authority,Joint Powers Agreement,A,zgovpurag,05/17/1994,01/01/3000,0,,0.00,0.00,Public Works Administration
000688,CITY OF WEST HOLLYWOOD,West Hollywood Community Development Com,Demand for Repayment of Funds Advances,A,zgovpurag,06/03/1996,01/01/3000,0,,"100,000.00","100,000.00",Finance Administration
000727,CITY OF WEST HOLLYWOOD,Southern California Association of Gover,Various MOUS,A,zgovpurag,01/01/1900,01/01/3000,0,,0.00,0.00,Long Range Planning
000728,CCCA - CALIF CONTRACT CITIES,Southern California Cities Joint Powers,Improve Quality of Service at a reduced cost,A,zgovpurag,07/05/1995,01/01/3000,0,,0.00,0.00,Current & Historic Preservation Planning
000732,SO CALIFORNIA EDISON-PROJECTS,Southern California Edision,Franchise Agreement,A,franch,04/18/1985,01/01/3000,0,,0.00,0.00,Engineering
000733,CALIFORNIA JPIA,Southern California Joint Powers Insuran,Joint Powers Agreement,A,zgovpurag,05/17/1994,01/01/3000,0,,0.00,0.00,Finance Administration
000736,CA STATEWIDE COMM DEVELOPMENT,California Statewide Communities Develop,Joint Exercise of powers agreement,A,zgovpurag,06/01/1988,01/01/3000,0,,0.00,0.00,Planning & Development Services Administration
001123,AFSCME/WEHOME,AFSCME  WEHOME Local 3999West Hollywood,"Memorandum of Understanding
Vol. 1 - 1986 thru 1996 
Vol II - 1998 to present",A,zgovpurag,07/01/2001,01/01/2056,0,,0.00,0.00,Administrative Services Administration
001131,"SHERMAN, JUDY",Sherman & LeVine,"Hearing examiner services re required by Vehicle Code State of Calif. Section 22852, by City's Administrative Penalties Program Chapter II of Municipal Code and by the Rent Stabilization Ordinance . Amendment #4 increases hourly rate to $55./hour and increases the per fiscal year not-to-exceed-amount to $35,000.",A,profsvcs,04/17/2000,01/01/3000,4,06/22/2009,"5,000.00","50,000.00",Legal Services
001259,"AMERINATIONL COMMUNITY SVC,INC",AmeriNational Community Services,Ongoing:  escrow services for residential and commercial rehabs.,A,profsvcs,04/12/2002,01/01/3000,0,,0.00,0.00,Rent Stabilization & Housing
001372,DAPEER & ROSENBLIT &LITVAK LLP,"Dapeer, Rosenblit & Litvak, LLP",City Prosecutor.  See contract for hourly rates.  Amendment #1  in August 1999 expanded scope of services to include prosecution services pertaining to City's  photo enforcement program. Subsequent amendments as shown in Eden revised the hourly rates.,A,profsvcs,07/09/2002,01/01/3000,6,11/27/2018,0.00,"145,501.00",Legal Services
001392,CONSOLIDATED FIRE PROTECT DIST,Los Angeles County Consolidated Fire Pro,Special events fire protection agreement.,A,profsvcs,06/05/2002,01/01/3000,0,,0.00,0.00,Public Safety Administration
001416,LA CO/MTA (PROP A INCENTIVE),Los Angeles Metropolitan Transportation,MOU re Santa Monica Blvd. Bicycle and Pedestrian Facilities Project,A,zgovpurag,07/15/2002,01/01/3000,0,,0.00,0.00,Social Services
003151,TYLER TECHNOLOGIES INC,TYLER TECHNOLOGIES: EDEN SMA,"Agreement with Eden Systems Division for software maintenance and support of Inforum Gold integrated finance and human resources system.  Amendment 1 adds $4,950. for the annual maintenance of modules for Code Enforcement, Business Licensing and parcel manager per Quote 39115 .Amendment 2: To continue to limit increases in maintenance fees to no more than 5% per year.",A,web/tech,04/19/2005,01/01/3000,4,07/25/2016,"337,452.00","347,302.00",Finance Administration
003153,TYLER TECHNOLOGIES INC,TYLER TECHNOLOGIES: EDEN SLA,Software license agreement for Eden Citywide information system.,A,web/tech,04/20/2005,01/01/3000,19,08/22/2018,"129,800.00","262,980.00",Finance Administration
003502,LA CO/MTA (PROP A INCENTIVE),LA CO/MTA (PROP A INCENTIVE),MOU with City of Beverly Hills to reimburse Prop A Incentive Funds for coordinated subregional Dial A Ride.,A,zgovpurag,04/05/2006,01/01/3000,0,,"114,480.00","114,480.00",Social Services
003536,GOVERNMENTJOBS.COM INC,GOVERNMENTJOBS.COM INC,Human resources software (Insight) and advertising re personnel hiring.,A,profsvcs,05/25/2006,01/01/3000,6,08/07/2019,"19,400.00","137,633.00",Human Resources
003547,SERCO INC,PARKING ENFORCEMENT SERVICES,Parking enforcement services Citywide. See terms for annual compensation.  See exhibits in agreement for detailed scope of service. See supplementals for fiscal year compensation amounts.  Contract was assigned to vendor #327667 on 7/20/18 with supplemental 2074.,A,profsvcs,06/20/2006,06/30/2020,7,07/20/2018,"9,208,540.00","24,953,182.00",Parking
003623,STANDARD INSURANCE CO,DISABILITY INSURANCE FOR CITY,"Disability insurance for regular status employees actively at work at least 60 hours per pay period. This replaces previous agreement #3142 with Unum.
Agreement is for approximately $23,000. per month, $276,000. annually.  Cost is tied to number of employees and salary levels.  
Amendment #1 Oct. 21, 2009 changes anniversary dates of all line (Life, STD & LTD) to January 1.  Contract amount is revised to zero.
Agreement renews automatically at the end of each calendar year unless terminated.
Agreement is Standard's form, not City template.",A,profsvcs,06/14/2006,01/01/3000,1,10/21/2009,0.00,0.00,Human Resources
003925,KIESEL  BOUCHER & LARSON LLP,SPECIAL COUNSEL LITIGATION SERVICES,"Mike Jenkins handled this special agreement with Kiesel, Boucher & Larson and Baron & Budd for litigation services for lawsuit from City re online hotel booking services to recover transient occupancy tax (TOT) for hotel reservations.  Class action is possible with other government entities.  Compensation will be on contingency fee basis.",A,profsvcs,05/14/2007,01/01/3000,0,,0.00,0.00,Revenue Management
004134,TOTAL ADMINISTRATIVE SVCS CORP,FLEX SPENDING ACCOUNT ADMINISTRATION,"Administration of Section 125 and Flexible Spending Accounts for City.  This is Benesyt agreement, approved by City Attorney for signature. 
Amendment #1 clarifies that agreement is ongoing and renews annually, that vendor will provide Benny Card Service (RX only) as part of flexible spending,  it includes a $500. one time implementation fee for adding the card and .85 per participant each month.  The not to exceed amount for the agreement is $6,000. per year. Amend. #2 revises vendor to TASC as the contract is assigned to this entity.  Benesyst merged with/was acquired by TASC.  Benesyst will be shown as subcontrator.",A,profsvcs,12/31/2007,01/01/3000,2,03/04/2014,"6,000.00","6,000.00",Human Resources
004696,LA CO/GENERAL SVCS AGREEMENT,GENERAL SERVICES AGREEMENT COUNTY OF LA,"General services agreement per resolution 09-3771.  Sent to County March 2, 2009 for County signatures.",A,zgovpurag,03/24/2009,01/01/3000,0,,0.00,0.00,Engineering
004946,T2 SYSTEMS CANADA INC,MAINTENANCE FOR PARKING MACHINES,"Enterprise management system customer agreement for maintenance of 13 on-street pay by space stations.  Cost will be $20. per unit per month beginning June 1, 2010.  Agreement was reviewed and revised by City Attorney.  This will be an ongoing agreement, with additional units added over time. Amendment #1 Feb. 3, 2011 adds two more units. Per unit charge is unchanged.",A,profsvcs,09/29/2009,01/01/3000,3,08/08/2017,0.00,"91,673.00",Parking
005017,LACMTA,MEASURE R RETURN FUNDS,"Approved by Council Nov. 16, 2009.  Measure R Local Return funds based on county sales tax revenues and apportionments.",A,zgovpurag,11/19/2009,01/01/3000,0,,0.00,0.00,Social Services
005037,PRIORITY MAILING SYSTEMS LLC,MAINTENANCE/ CITY CLERK POSTAGE MACHINE,MAINTENANCE/ CITY CLERK POSTAGE MACHINE - ANNUAL MAINTENANCE AGREEMENT - COPY OF AGREEMENT IS ATTACHED TO INVOICE AND BECOMES EXECUTED UPON PAYMENT OF INVOICE - AGREEMENT WILL BE RENEWED ANNUALLY,A,profsvcs,12/16/2009,01/01/3000,0,,0.00,0.00,City Clerk
005119,"SHIRE, PETER",GIFT OF DEED ARTWORK,Two scuptures by artist Peter Shire are transferred and assigned to the City.  Agreement written by Mike Jenkins.,A,grants,03/01/2010,01/01/3000,0,,0.00,0.00,Arts
005238,CONDUENT STATE &LOCAL SOLUTNS,PARKING CITATION PROCESSING,"Parking citation processing, payment, delinquent account collection and hearing scheduling services. First year 2010-11 not to exceed $854,000. Second year 2011-2012 - $854,000.  Third year 2012 -2013 $879,684.  Fourth year 2013 - 2014  $905,557. Fifth year 2014-15 $931,805.   Amendment #1 approved by Council 8/15/11 adds $6,765. per year for processing and mailing permit parking renewal notices. Vendor name was changed from ACS State and Local Solutions to Xerox State and Local Solutions.  Amendment #2 approved by Council 5/21/12 removes the not to exceed amt from the Eden entry, compensation shall be based on volume per unit price.  Increases the budgeted expenditures and revenues in parking fines during fiscal 11/12 by $30,000. Amend. #3 revises the agreement to accomodate payment by credit card, including VISA, Master Card and American Express.  Consent to assignment was completed May 2017, name was changed from Xerox State and Local Solutions to Conduent State and Local Solutions.  Vendor number stays the same.  For Amend. #7 estimate for FY 19/20 is $1,100,000. estimate for 20/21 is $1,100,000.",A,profsvcs,06/21/2010,06/30/2021,10,07/22/2019,"4,425,046.00","6,525,285.00",Parking
005333,CITY OF LA /SANITATION,BALLONA CREEK MEMORANDA OF AGREEMENT,"Cost sharing memoranda of agreement for three coordinated projects to address polluted storm water runoff impacting Ballone Creek, Ballona Estuary and Sepulveda Channel.  For Ballona Creek watershed to identification evaluation and study of the Ballona Creek Metals and Ballona Creek Estuary toxic pollutants monitoring plan.  1. Metals and Toxicx monitoring MOA $31,276.97. 2. Bacteria monitoring MOA - $4,059.51.  3. Implementation Plan MOA - $15,801.89",A,zgovpurag,10/06/2010,01/01/3000,0,,"51,138.00","51,138.00",Engineering
005404,GOV PARTNER.COM,CRM SYSTEMS SOFTWARE,"Customer Relation Management systems software, including on site training, support and implementation as well as data migration and consultant's services.",A,web/tech,11/18/2010,01/01/3000,2,08/30/2012,"95,000.00","137,750.00",Public Works Administration
005519,"SAVAGE, TRACIE L",BROADCAST SERVICES ON CITYCHANNEL 10,"Provide ongoing broadcast services on City Channel 10 as needed.
Compensation is not to exceed $7,200 per fiscal year, $300. per program.
(Vendor was previously under Tracie Savage, vendor #309800).  Amendment #1 increases per episode compensation to $600. for Trending, and $200. per hour for general reporting and news anchor broadcast services on Weho TV.  Amend. #2 changes vendor name from Laminy Group back to Tracie Savage.",A,profsvcs,04/05/2011,01/01/3000,3,09/29/2015,"7,200.00","29,300.00",Communications Administration
005602,UNITRONICS INC,AUTOMATED PARKING SYSTEM/STRUCTURE,"Design, engineer, fabricate, install and maintain for a 10-year period an approximate 200 space automated vehicle retrieval and storage system within a new parking structure behind City Hall",A,pworks,06/14/2011,07/01/2023,0,,"2,640,000.00","2,640,000.00",Public Works Administration
005903,JOHNSON FAVARO LLP,PHOTOGRAPHIC RIGHTS TO LIBRARY PROJECT,"Photographic rights:  Full and unlimited usage right of digital files of photo project of new West Hollywood Library. 
June 14, 2012.Second  letter authorizing full and unlimited usage right of final 9 digital files was received.  Usage rights include printing, copying, displaying and publishing the images.",A,profsvcs,04/13/2012,01/01/3000,0,,"4,500.00","4,500.00",Economic Development Administration
006043,DMS FACILITY SERVICES INC,CITYWIDE JANITORIAL SERVICES,Janitorial services at all City facilities.,A,profsvcs,06/22/2012,06/30/2020,3,06/06/2018,"2,490,990.00","8,331,856.00",Facilities & Field Services
006139,"JENKINS & HOGIN, LLP",SA-LEGAL SERVICES,Legal services to Successor Agency to West Hollywood Community Development Commission.  Legal services to be provided by Robert M. Smith.  Expenses and hourly rates are included in the agreement.,A,profsvcs,09/11/2012,01/01/3000,0,,0.00,0.00,Legal Services
006179,"CARROLL, LARRY",BROADCAST SERVICES FOR WEHO TV,"Broadcast services for Weho TV as required.  Not to exceed $5,000. in one fiscal year.  Amend. #1 increases the annual not-to-exceed amount from $5,000. to $6,200. per fiscal year.",A,profsvcs,10/16/2012,01/01/3000,1,06/10/2016,"5,000.00","6,200.00",Communications Administration
006230,"SHELTON, AMBER JAYE",ON CAMERA REPORTER FOR WEHO TV NEWS,On camera reporter/correspondant for #trending WehoTV News and other shows on an as needed basis.  Not to exceed $40. per hour.,A,profsvcs,12/14/2012,01/01/3000,0,,0.00,0.00,Communications Administration
006250,"CASSIE, GLENN D",ON CAMERA REPORTER/CORRESPONDENT,On camera reporter/correspondent for Weho TV News and other shows as needed. Hourly rate is $40.,A,profsvcs,01/10/2013,01/01/3000,0,,0.00,0.00,Communications Administration
006453,WGJ ENTERPRISES INC,INSTALL PARKING AND REGULATORY SIGNS,"Install regulatory and traffic signs as approved by Council.  (Vendor number updated 2/24/16, OK'd per D. Wilson.)",A,profsvcs,06/10/2013,11/30/2019,5,09/11/2019,"164,650.00","329,300.00",Facilities & Field Services
006468,"GOMEZ, RAMIRO",GRANT FOR RIGHTS TO ORIGINAL ARTWORK,"Grant of rights for original artwork the promotion of Free Theater in the Parks program including posters, postcards and bookmarks.",A,grants,07/15/2013,12/31/2020,0,,800.00,800.00,Arts
006517,ABBA TERMITE & PEST CONTROL,PEST CONTROL SERVICES,"Pest control services, including monthly maintenance at City facilities.",A,profsvcs,07/24/2013,11/30/2019,5,09/25/2019,"70,773.00","133,673.00",Facilities & Field Services
006534,SUPERION LLC,TRAKIT SOFTWARE MAINTENANCE AND SUPPORT,"System maintenance and support for TRAKit permitting software, 10 year agreement.  Council approval includes additional user agreements for an amount not to exceed 15%. Exhibit B includes fee schedule by year. 
Vendor number changed from 323018 CRW Systems, Inc. to 325105 SunGard on 8/8/15. OK'd by C. Safriet.  Amend. #1 involves deprecation of eMarkup plan and replacemtn with Bluebeam markup software licenses.",A,web/tech,08/06/2013,05/16/2024,1,08/26/2016,"403,370.00","403,370.00",Information Technology
006615,COSTAR REALTY INFORMATION INC,SUBSCRIPTION FOR REALTY DATABASE,Subscription for web based database for West Hollywood properties.  Agreement OK'd by City Attorney.,A,profsvcs,10/07/2013,09/30/2019,5,12/13/2018,"9,960.00","62,531.00",Economic Development Administration
006682,CBRE HEERY INC,WH PARK PHASE II PRECONSTRUCTION SERV,"Preconstruction services for West Hollywood Park Phase II including cost estimating, constructability review, scheduling, mitigation measures and LEED management, general consultation services. Amend. #1, approved by Council on 12/15/14, expands scope of services to Phase II implementation, project management and construction administration services.",A,profsvcs,11/20/2013,06/30/2022,6,12/13/2018,"580,000.00","4,952,453.00",Assistant City Manager
006703,3C PAYMENT USA CORP,WH PARKING STRUCTURE SKIDATA PAYMENT,"Credit card payment system for West Hollywood Park parking structure, SKIDATA equipment and service.  Fee is per transaction, see agreement for specific terms. Amendment #1 extends the service to Kings Road Parking Structure.  Both original agreement and amendment are ongoing.  Company name was changed from Six Card Solutions USA Corp to Six Payment Services., and then to 3C Payment USA Corp.",A,profsvcs,12/11/2013,01/01/3000,3,02/09/2016,0.00,0.00,Parking
006709,ITENNIS INC,TENNIS INSTRUCTION AND PROGRAMMING,"Provide tennis instruction and programming at Plummer Park and West Hollywood Park, operate court reservations, operate and manage pro shop including rental and retail, collect fees.  See agreement for special payment terms.",A,recreation,12/18/2013,12/31/2020,3,06/20/2019,0.00,0.00,Recreation Services
006713,LUTRON SERVICES CO INC,LIBRARY LIGHTING MAINTENANCE AND REPAIRS,Lighting maintenance and repairs at Library systems.,A,profsvcs,12/23/2013,06/30/2020,1,08/30/2018,"25,000.00","25,000.00",Facilities & Field Services
006750,LACMTA,EMPLOYEE TAP CARD,"To provide transit passes to City employees.  This is Metro's agreement, and is part of Alternate Mode Incentive Program during the automated parking garage construction.  Approved by City Attorney.  Amend #1 is for calendar year 2015.  Dept was changed from 83 to 27. Tap cards are included in the MOUs as first approved by City Council Nov. 2, 2015, see subsequent amendments.",A,profsvcs,02/04/2014,12/31/2019,7,12/20/2018,"32,743.00","247,960.00",Human Resources
006757,HARDY & HARPER INC,STREET AND ALLEY REPAIR,Annual maintenance of City street and alleys and crosswalks.,A,pworks,02/07/2014,09/30/2019,5,05/07/2019,"630,900.00","792,654.00",Facilities & Field Services
006759,LPA INC,WEST HOLLYWOOD PARK PHASE II DESIGN,Design services for next phases of West Hollywood Park project.,A,profsvcs,02/11/2014,06/30/2022,5,11/21/2018,"4,818,887.00","6,686,303.00",Assistant City Manager
006782,FIRST CLASS VENDING INC,VENDING MACHINES AT 3 CITY LOCATIONS,"Commercial vending machine license agreement for supply, maintenance and stocking of 6 vending machines at 3 different City locations.  See agreement for specific terms.",A,profsvcs,03/07/2014,03/31/2021,1,05/28/2019,0.00,0.00,Finance Administration
006831,GEOGRAPHIC TECHNOLOGIES GROUP,GIS CONSULTING SERVICES,"For second phase of GIS Implementation plan.  Council approved contract amount of $70,000. PLUS 15 % contingency. ($10,500.)  Amend. #1 extends the agreement 24 months.",A,web/tech,04/09/2014,04/07/2020,2,04/05/2017,"70,000.00","120,000.00",Information Technology
006832,HEARTLAND PAYMENT SYSTEMS INC,MERCHANT PROCESSING SERVICES,"Provide merchant processing services (VISA and Mastercard) and equipment needed.  Five year agreement and option to extend for additional three years.  Merchant fees include authorization fee, pass-through interchange fees and other misc fees.  Cost is per transaction.",A,profsvcs,04/10/2014,03/04/2022,4,06/11/2019,0.00,"2,754.00",General Accounting
006872,ACCELA INC,CRM AND MOBILE APP SUBSCRIPTION,"CRM and Mobile app subscription along with services for the initial setup of the application.
Vendor number changed from Public Stuff #323638 to Accela #325124 on 8/8/15 OK'd by C. Safriet.",A,web/tech,05/07/2014,04/21/2020,1,03/30/2017,"60,000.00","110,913.00",Information Technology
006895,AMERICAN EXPRESS,MERCHANT SERVICES TO ACCEPT AMEX CARDS,"Provide Merchant Services related to accepting American Express Credit Cards.  Agreement includes option to renew agreement for 3 years.  Agreement extended in Amend.#1.
2.15%  per transaction plus fees.",A,profsvcs,05/14/2014,06/30/2021,1,03/04/2019,0.00,0.00,General Accounting
006937,PARSAC,PARSAC JOINT POWERS AGREEMENT,Public Agency Risk Sharing Authority of California.  Reviewed and approved by Mike Jenkins and David Wilson.,A,profsvcs,06/18/2014,01/01/3000,1,07/19/2017,0.00,0.00,Finance Administration
006940,WAVEGUIDE LLC,TECHNOLOGY ASSESSMENT WH PARK PHASE II,Technology needs assessment for Phase II West Hollywood Park Master Plan.,A,web/tech,06/19/2014,06/30/2020,5,08/08/2018,"25,000.00","117,330.00",Planning & Development Services Administration
006959,CLEANSTREET,CITYWIDE STREET SWEEPING,Citywide street sweeping services.,A,profsvcs,06/24/2014,06/30/2020,2,06/25/2018,"603,046.00","1,909,371.00",Facilities & Field Services
006969,WELLS FARGO BANK,PROVIDE BANKING SERVICES,"Provide banking services.  Five year agreement with option to extend 3 additional years.  Contract amount will be based on transactions.
Amend #1 extends the agreement.",A,profsvcs,06/27/2014,03/04/2021,1,03/05/2019,0.00,0.00,General Accounting
006976,RYDIN DECAL,FABRICATE PARKING PERMIT DECALS,Fabricate parking permit decals at agreed upon rates.,A,profsvcs,07/03/2014,07/01/2019,0,,0.00,0.00,Parking
006987,PRIORITY LANDSCAPE SERVICES,STREETSCAPE AND MEDIAN LANDSCAPING,"Landscape maintenance for streetscape, medians and parking lots.  Two year agreement, $154,585.44 per year. Council approved additional related maintenance and urgency/emergency services at costs established in the agreement, not to exceed 25% of the contract amount. ($38,636.36 per year).  Amend. #1 extends agmt 2 additional years, with annual limit for each year of $204,190.88.  Amend. #2 increases contract amount for water conservation measures.",A,profsvcs,07/15/2014,06/30/2020,5,09/13/2018,"309,171.00","1,393,025.00",Facilities & Field Services
007000,BRIGHTVIEW LANDSCAPE SERVICES,LANDSCAPE MAINTENANCE SERVICES IN PARKS,"Original agmt was two year agmt to provide landscape maintenance in City parks.  Council also approved related maintenance services and urgency/emergency maintenance at unit costs in the agreement not to exceed 25% of the annual contract amount per year.  ($94,110. per year.) Amend #1 - see supplementals and contract file.  (Vendor formerly knows an Valleycrest Landscape Maintenance)",A,profsvcs,07/22/2014,06/30/2020,4,10/02/2019,"752,888.00","3,875,841.00",Facilities & Field Services
007001,CALIFORNIA WATERS LLC,MAINTENANCE CITY FOUNTAINS,"Maintenance to all City fountains and water features, including electrical components.",A,profsvcs,07/22/2014,06/30/2020,3,10/17/2018,"142,580.00","142,580.00",Facilities & Field Services
007048,THE ART OFFICE,ARTIST FOR WEST HOLLYWOOD PARK PROJECT,"Artist to design, fabricate and install civic art work for West Hollywood Park master plan for Phase II implementation project.
Contract amount is 1% of estimated project construction cost and includes fees and reimbursables.",A,profsvcs,09/02/2014,06/30/2022,1,05/16/2019,"500,000.00","500,000.00",Arts
007064,CAINE & WEINER COMPANY INC,COMPREHENSIVE COLLECTION SERVICE,"For comprehensive collection services for delinquent City receivables.  Three year agreement, contingency fee basis, no direct City expenditure.",A,profsvcs,09/23/2014,10/01/2019,1,06/22/2018,0.00,0.00,Revenue Management
007066,WEST HOLLYWOOD RETAIL OWNER,LEASE OF PARKING SPACES AT PAVILIONS,"Lease of no more than 75 parking spaces as part of mitigation for Automated Garage project.  Five year agreement, $2,500 per month up to 40 spaces, $5,000. for 41 or more spaces, parking to be valet only, with possible installation of motorized gate.   Annual cost would not exceed $60,000. per year.  See Resolution 07-3566 Section 10.15 from 6/18/07.",A,lease,09/24/2014,09/30/2022,1,09/25/2019,"300,000.00","408,000.00",Parking
007099,SELBERT PERKINS DESIGN INC,SUNSET STRIP SIGNAGE STUDY,"For Sunset Strip signage study, including inventory and development of standards and recommendation, community outreach.",A,profsvcs,10/13/2014,12/31/2019,4,09/11/2018,"164,820.00","212,720.00",Long Range Planning
007117,SELBERT PERKINS DESIGN INC,STREET MEDIA ASSESSSMENT REPORT,"Street media assessment report to include strategy for improving streetscape, increasing potential revenue sources.",A,profsvcs,10/21/2014,06/30/2020,4,05/28/2019,"204,900.00","464,900.00",Assistant City Manager
007138,PROS CONSULTING INC,REVIEW AND UPDATE CITY PARK ORDINANCE,Review and update City Park ordinance governing use and operation of City parks.,A,profsvcs,10/27/2014,06/30/2020,4,08/22/2018,"34,000.00","70,785.00",Recreation Services
007174,ATHENS SERVICES,INTEGRATED SOLID WASTE MANAGEMENT SERVICES,"Integrated solid waste management services. Council approved this five and a half year agreement with two possible 5-year extensions. Rates are set by City Council at Public Hearings each year in the spring.  See agreement for rate terms and conditions.   Amend #1 approved by Council 3/2/15 use of CNG collection vehicles, modifies weight maximum.",A,franch,11/24/2014,06/30/2020,1,03/13/2015,0.00,0.00,Engineering
007177,Q PRESS,"DESIGN, PRINTING AND MAILING RECREATION BROCHURES","Design, printing and mailing of recreation brochures for Spring, Summer, Winter/Fall in 2015, 2016 and 2017.  Council approved the contract total for the three year agreement PLUS 5% contingency for anticipated increases in mailing costs.  Council also approved an option for two one year extensions.",A,profsvcs,11/24/2014,12/31/2019,2,11/20/2018,"121,343.00","229,838.00",Recreation Services
007187,WESTERN AV,MAINTENANCE TO CITY AV EQUIPMENT,Three year maintenance agreement for City audio visual equipment.,A,profsvcs,12/11/2014,06/30/2021,2,11/07/2018,"24,040.00","98,080.00",Information Technology
007192,"EMERSON, NORMAN",CONSULTANT FOR SHERIFF AND MTA SITES TRANSPORATION POLICY,Consultant for transportation policy regarding the MTA and Sheriff's sites.,A,profsvcs,12/15/2014,12/31/2020,6,07/19/2019,"25,000.00","895,000.00",Current & Historic Preservation Planning
007194,AT&T,TELECOMMUNICATIONS SERVICES,Telecommunications services as part of Calnet 3 program.,A,zgovpurag,12/16/2014,06/30/2020,2,04/03/2019,0.00,0.00,Information Technology
007316,"CA DEPARTMENT OF CONSERVATION, DIV OF LAND RESOURCE",SUSTAINABLE COMMUNITIES PLANNING GRANT #3014-632,"Grant #3014-632 California Department of Conservation - Division of Land Resource Protection 2014 Sustainable Communities Planning Grants.  Application approved by City Council Feb. 18, 2014, Resolution #14-4527.  
Project:  WeHo ACTS  (Active and Community-oriented Transportation Solutions)",A,grants,03/25/2015,01/01/3000,1,06/23/2017,"245,885.00","245,885.00",Long Range Planning
