Code,Description,GovernmentRequester,AwardProcedure,TypeOfContract,BiddingPrice,AwardPrice,Company
CONMY20171100000012,arrendamiento vehículo representación departamento ciudadanía,CIUDADANÍA Y DERECHOS SOCIALES,Negociado,Suministros,33084.3,23604.49,BANCO SANTANDER S.A.
CONLT20175300000030,material limpieza,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,15731.36,10120.42,LIDERA HIGIENE SL
CONLT20175300000031,productos de limpieza,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,1622.02,1111.06,CELQUISA S.L.LABORAL
CONLT20175300000032,productos de aseo personal,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,1531.13,713.8,CELQUISA S.L.LABORAL
CONLT20175300000033,productos tren lavado,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,3656.2,2259.68,DISTRIBUCIONES NAVARRO-MIR S.L.
CONLT20175300000034,productos desechables,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,23667.16,14842.73,CELQUISA S.L.LABORAL
CONAD20171400000043,145 tb73470 mto y control visit teruel,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,89434.47,89434.47,SDAD ARAGONESA DE GESTION
CONAD20171000000071,seguridad en edificios institucionales gobierno de aragón,PRESIDENCIA,Derivado de acuerdo marco,Servicios,2057562.26,2044840.96,CIA VIGILANCIA ARAGONESA S.L.
CONAD20171600000142,equipos multifuncion 03-17,SANIDAD,Derivado de acuerdo marco,Suministros,17075.55,9765.0,SOLITIUM S.L.
CONEX20175200000758,"mantenimiento preventivo, correctivo y técnico legal del tac",SERVICIO ARAGONÉS DE SALUD,Abierto,Servicios,38016.52,36115.7,"SIEMENS HEALTHCARE, S.L."
CONEX20175200000791,servicio de vigilancia y seguridad en el hospital de alcañiz,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,100036.26,99613.5,EULEN SEGURIDAD S.A.
CONEX20175200000792,p.c. 1ha/2017 realización de tacs en instalaciones móviles,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,118687.55,105295.0,QDIAGNOSTICA
CONEX20175200000800,resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,2440.0,2440.0,"CLINICA MONTPELLIER GRUPO HLA, SAU"
CONEX20175200000801,resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,1170.52,1170.52,DRA ROCA DIAGNOSTICO MEDICO S.L.
CONEX20175200000802,resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,1110.0,1110.0,PARACELSO DIAGNOSTICO MEDICO S.L.
CONEX20175200000803,procedimientos diagnósticos de neurofisiología,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,3924.0,3924.0,"NFC Y SUEÑO, SL"
CONEX20175200000804,resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,1200.0,1200.0,"CLINICA MONTPELLIER GRUPO HLA, SAU"
CONEX20175200000805,resonancias magnéticas en instalaciones fijas,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,738.5,738.5,DRA ROCA DIAGNOSTICO MEDICO S.L.
CONEX20175200000937,gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,873.44,873.44,REPSOL COMERCIAL DE PRODUCTOS
CONEX20175200000938,gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,474.57,474.57,REPSOL COMERCIAL DE PRODUCTOS
CONEX20175200000806,procedimientos diagnósticos de neurofisiología,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,3411.0,3411.0,"NFC Y SUEÑO, SL"
CONEX20175200000812,material de neuroestimulacion de raices sacras para urologia,SERVICIO ARAGONÉS DE SALUD,Negociado,Suministros,172079.4,168139.52,MEDTRONIC IBERICA S.A.
CONMY20175400000081,1704 atencion psicologica teruel a mujeres en especial situacion de necesid,INSTITUTO ARAGONÉS DE LA MUJER,Abierto,Servicios,48750.0,32600.0,FUNDACION ADCARA
CONMY20177200000028,"c19/2016 edar's de plaza, la muela y epila. mantenimiento",INSTITUTO ARAGONÉS DEL AGUA,Abierto,Servicios,2053671.38,1594545.24,SA AGRICULTORES VEGA DE VALENCIA-
CONMY20175200001041,obras actuaciones previas acondicionamiento parcela hosp. alcañiz,SERVICIO ARAGONÉS DE SALUD,Abierto,Obras,173316.91,91153.0,ARAGONESA OBRAS CIVILES SL
CONMY20171200000135,servicios colaboración con interv.general cert.feaga-feader 2018-2019,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Servicios,170000.0,168000.0,GRANT THORNTON SL PROFESIONAL
CONAD20175300000645,servicio de vigilancia residencia cesaraugusta y centro juslibol,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,2232463.38,1661261.93,UTE-CIS COMPAÑIA INTEGRAL DE
CONMY20171400000452,2017-tratamientos aereos contra langosta,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Servicios,71145.0,64134.0,TRATAMIENTOS AGRICOLAS AEREOS
CONMY20171300000159,serv. arrend. de maq. y prov. de mater. en crtra. a-1702.-ejulve-organos de,"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA",Abierto,Servicios,314049.59,274300.41,EZAGUE S.L.
CONMY20171400000550,plan de evaluacio de indicadores pdr 2014-2020 a160005,DESARROLLO RURAL Y SOSTENIBILIDAD,Abierto,Servicios,71000.0,63525.0,REGIO PLUS CONSULTING SL
CONMY20175300000722,sistema información dependencia,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Servicios,402200.0,290000.0,UTE-VIRTUAL-ANEUM
CONLT20171800000628,ruta 101/epes/h/2013,"EDUCACIÓN, CULTURA Y DEPORTE",Abierto,Servicios,147526.4,138384.33,ALOSA AUTOCARES Y AUTOBUSES S.L.
CONMY20171700000074,conmy 22/2016: tant tdt - transporte zonas remotas (pliego neutro),"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD",Abierto,Servicios,2216335.49,1730684.0,RETEVISION I S.A.
CONMY20171300000163,construcc. refuerzo y regular. a-1503 tramo:i llueca-cruce cv-698,"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA",Abierto,Obras,1339506.34,696945.15,UTE ILLUECA - CONST.M.LOPEZ NAVARRO
CONMY20175400000083,iam1705 asesoram.lab. perspect. genero pª favorecer inserc.mujers mundo lab,INSTITUTO ARAGONÉS DE LA MUJER,Abierto,Servicios,130200.0,90000.0,INTELECTO CONSULTORIA DE PROYECTOS
CONMY20175400000080,1703 atencion psicologica huesca a mujeres especial situacion necesidad,INSTITUTO ARAGONÉS DE LA MUJER,Abierto,Servicios,48750.0,37200.0,FUNDACION ADCARA
CONAD20175300000583,seguridad dir provincial iass huesca 2017,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,23215.82,23215.82,ILUNION SEGURIDAD S.A.
CONMY20171200000110,mantenimiento conducción-gestión y asistencia edificios interdep. zaragoza,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Servicios,341889.69,277424.36,VEOLIA SERVICIOS NORTE S.A.U.
CONMY20171700000052,conmy 11/2016: desarrollo e implementación aplicación archivo,"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD",Abierto,Servicios,102403.16,67000.0,DELOITTE CONSULTING S.L.
CONMY20171200000109,mantenimiento-conducción de gestión y asistencia de teruel y calamocha,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Servicios,97037.56,86278.12,VEOLIA SERVICIOS NORTE S.A.U.
CONMY20171700000056,conmy 13/2016: firma electrónica y validación datos,"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD",Abierto,Servicios,164985.34,108835.0,IA SOFT ARAGON SL
CONMY20171000000020,transporte sanitario y de emergencias mediante helicóptero,PRESIDENCIA,Negociado,Servicios,759181.36,759181.36,BABCOCK MISSION CRITICAL SERVICES
CONAD20175300000066,servicio de seguridad sección de protección del menor,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,54614.56,54059.04,GARDA SERVICIOS DE SEGURIDAD S.A.
CONLT20175300000799,productos limpieza 2017,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Suministros,14143.74,11030.08,DISTRIBUCIONES NAVARRO-MIR S.L.
CONLT20175300000800,productos lavanderia y lavavajillas 2017,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Suministros,8658.71,5692.75,DISTRIBUCIONES NAVARRO-MIR S.L.
CONAD20171400000163,146 zb71600 at.veterin.y conservacion centro recup.fauna silvestre alfranca,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,726239.42,726239.42,SDAD ARAGONESA DE GESTION
CONAD20171800000240,seguridad en el edificio rosa arjó,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,43163.12,42724.08,GARDA SERVICIOS DE SEGURIDAD S.A.
CONAD20171800000309,compra prendas trabajo gi santo angel custodio,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,39.39,39.39,INSERCION Y TRABAJO SL
CONAD20171400000042,145 hb72008.conservación valles occ y sj peña,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,342796.72,342796.72,SDAD ARAGONESA DE GESTION
CONAD20171400000237,145 zb71614 caracteriz vegetación arbórea rnd galachos ebro,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,7435.39,7435.39,CENTRO INVESTIGACION Y TECNOLOGIA
CONAD20175100000115,suministro mobiliario diverso de oficina,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,4027.66,2558.49,OFITECNICA OFICINA TECNICA S.L.
CONAD20175100000116,suministro de 8 sillas oficina de empleo de binéfar,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,2280.0,1311.2,BALLAROL OFICINAS S.L.L.
CONAD20175100000117,suministro de mobiliario oficina de empleo de monzón,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,2074.04,1281.4,OFITECNICA OFICINA TECNICA S.L.
CONAD20171200000080,adquisición fotocopiadora para gabinete (anexo 680/2017),HACIENDA Y ADMINISTRACIÓN PÚBLICA,Derivado de acuerdo marco,Suministros,3953.0,3195.0,SOLITIUM S.L.
CONAD20171800000392,compra prendas de trabajo gi san lorenzo,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,31.85,31.85,CONFECCIONES OROEL S.A.
CONAD20171800000397,compra prendas de trabajo virgen de la oliva,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,933.32,933.32,EL CORTE INGLES S.A.
CONAD20171400000172,145 rb74042 mejora aplicaciones s información pn ordesa,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,19867.18,19867.18,TECNOLOGIAS Y SERVICIOS AGRARIOS SA
CONAD20171800000391,compra prendas de trabajo gi san lorenzo,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,501.81,501.81,EL CORTE INGLES S.A.
CONAD20171800000393,compra de prendas de trabajo gi san lorenzo,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,296.1,296.1,ANATOMICOS MADRID S.L.
CONAD20171800000399,compra prendas de trabajo virgen de la oliva,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,144.32,144.32,INSERCION Y TRABAJO SL
CONAD20171800000296,compra prendas trabajo guardería infantil santa maria del pilar,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,594.01,594.01,EL CORTE INGLES S.A.
CONAD20171800000297,compra prendas trabajo guardería infantil santa maria del pilar,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,1.72,1.72,CONFECCIONES OROEL S.A.
CONAD20171600000173,"reposición ropa trabajo personal sanitario ryc, 68-05/17",SANIDAD,Derivado de acuerdo marco,Suministros,127.0,127.0,EL CORTE INGLES S.A.
CONAD20171800000261,prendas de trabajo guardería infantil inmaculada concepción,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,22.16,22.16,CONFECCIONES OROEL S.A.
CONAD20171000000147,desarrollo de una aplicación móvil para el portal aragonhoy,PRESIDENCIA,Por administración,Servicios,24922.8,24922.8,ARAGONESA DE SERVICIOS TELEMATICOS
CONMY20171000000054,"soporte, mant. y desarrollo aplic. iboa",PRESIDENCIA,Negociado,Servicios,29000.0,25200.0,EUROHELP CONSULTING S.L.
CONAD20171400000025,hf 72006 cartografía mups y vias pecuarias huesca,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,36730.52,36730.52,SDAD ARAGONESA DE GESTION
CONAD20171400000060,vigilancia ambiental planes coordinados 2017 a170001,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,142461.95,142461.95,SDAD ARAGONESA DE GESTION
CONLT20171200000118,suministro artículos higiénicos de papel,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Suministros,30287.0,30287.0,CELQUISA S.L.LABORAL
CONLT20171200000119,suministro productos y útiles de limpieza,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Suministros,26512.6,26512.6,CELQUISA S.L.LABORAL
CONAD20171800000266,prendas de trabajo guardería infantil n.s carmen,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,1189.23,1189.23,EL CORTE INGLES S.A.
CONAD20171800000267,prendas de trabajo guardería infantil n.s. carmen,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,11.36,11.36,CONFECCIONES OROEL S.A.
CONAD20171800000291,compra prendas de trabajo guardería infantil la paz,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,129.2,129.2,INSERCION Y TRABAJO SL
CONAD20171500000013,bolsa de horas proyecto data warehouse para i.a.estadística,"ECONOMÍA, INDUSTRIA Y EMPLEO",Por administración,Servicios,12319.01,12319.01,ARAGONESA DE SERVICIOS TELEMATICOS
CONAD20171000000091,servicio de vigilancia y seguridad órganos judiciales de aragón,PRESIDENCIA,Derivado de acuerdo marco,Servicios,2501860.64,2483761.36,CIA VIGILANCIA ARAGONESA S.L.
CONAD20171800000292,compra prendas de trabajo guardería infantil la paz,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,370.9,370.9,ANATOMICOS MADRID S.L.
CONAD20171400000053,d.o. proy. obras c.p. torres de barbues h170001,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,14991.48,14991.48,SDAD ARAGONESA DE GESTION
CONAD20171800000096,seguridad archivo hº provincial huesca 2017 (2),"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,15091.04,15091.04,CIA VIGILANCIA ARAGONESA S.L.
CONAD20171800000097,seguridad museo huesca 2017 (2),"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,22630.96,22630.96,CIA VIGILANCIA ARAGONESA S.L.
CONAD20171400000021,tf 73369 sanidad forestal en teruel,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,41897.32,41897.32,SDAD ARAGONESA DE GESTION
CONAD20171400000058,encargo seguridad y salud obras 2017 a170003,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,62720.89,62720.89,SDAD ARAGONESA DE GESTION
CONAD20171400000067,146 rb74011 catálogo especies amenazadas,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,293974.06,293974.06,SDAD ARAGONESA DE GESTION
CONAD20175100000061,suministro silla de trabajo o.e. huesca,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,452.1,300.0,EL CORTE INGLES S.A.
CONAD20171400000033,145 rb74019. educ ambiental en c interpretación naturaleza aragón,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,569635.16,569635.16,SDAD ARAGONESA DE GESTION
CONAD20171400000034,145 rb74006. planes de gestión enp aragón,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,259822.35,259822.35,SDAD ARAGONESA DE GESTION
CONAD20175100000135,suministro tablón anuncios corcho para cpfip movera,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,230.2,49.32,TORRES EQUIPAMIENTOS DE OFICINAS
CONEX20175200000949,"s.a.;2017;conex20175200000906;""
servicio vigilancia hospital ""obispo polanco""",SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,97528.52,95879.2,ILUNION SEGURIDAD S.A.
CONEX20175200000794,mantenimiento jardineria centros sector huesca,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,56000.0,54172.19,SERVICIOS INTEGRALES FINCAS ARAGON
CONAD20171800000269,prendas de trabajo guardería infantil n.s. carmen,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,81.44,81.44,INSERCION Y TRABAJO SL
CONAD20171000000052,evaluación y seguimiento técnico en materia de protección civil,PRESIDENCIA,Por administración,Servicios,227502.61,227502.61,SDAD ARAGONESA DE GESTION
CONAD20171400000038,145 hb72004. mto red senderos posets maladeta,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,280587.5,280587.5,SDAD ARAGONESA DE GESTION
CONAD20171300000026,obra emerg. estab. y consolid. talud en a-2609- salinas de sin,"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA",Negociado,Obras,268595.04,268595.04,SANTIAGO ANGULO ALTEMIR SL
CONAD20175300000060,servicio de limpieza del centro de dia residencia sagrada familia,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,17205.84,17205.84,ONET-SERALIA SA
CONAD20171400000016,145 rb74031 desarrollo y seguimiento técnico del cpn 2017,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,49794.91,49794.91,SDAD ARAGONESA DE GESTION
CONAD20171300000029,obras de emerg. estab. y consol. talud en a-226- cantavieja,"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA",Negociado,Obras,74380.16,74380.16,SEANTO S.L.
CONAD20171800000396,compra de prendas de trabajo gi san lorenzo,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,103.76,103.76,INSERCION Y TRABAJO SL
CONAD20171800000398,compra prendas de trabajo virgen de la oliva,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,2.6,2.6,CONFECCIONES OROEL S.A.
CONAD20175300000067,servicio de vigilancia,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,25359.97,25312.68,CIA VIGILANCIA ARAGONESA S.L.
CONAD20177200000001,s1./2017 coord. tca. actuaciones plan especial depuracion.,INSTITUTO ARAGONÉS DEL AGUA,Por administración,Servicios,282457.0,282457.0,SDAD ARAGONESA DE GESTION
CONLT20175300000760,frutas y verduras,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,29493.7,22966.9,FRUTAS CALVO S.L.
CONLT20175300000761,"carnes frescas, embutidos y huevos",INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,25861.39,24654.2,COMERCIAL PINAMAS S.L.
CONLT20175300000763,pan y repostería sin azúcar,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,13194.0,8619.0,OLIVAN BISTUER SL
CONLT20175300000764,aceite,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,9911.26,7871.26,COMERCIAL PINAMAS S.L.
CONLT20175300000765,bebidas,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,3893.6,3190.4,AGUSTIN DOMINGUEZ RODRIGUEZ SL
CONLT20175300000766,conservas,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,9443.1,8996.0,CONGELADOS ARIZA SL
CONLT20175300000767,"legumbres, pastas y otros alimentos",INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,20782.73,17002.78,CONGELADOS ARIZA SL
CONLT20175300000768,lehe,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,16405.0,12877.5,AGUSTIN DOMINGUEZ RODRIGUEZ SL
CONLT20175300000769,yogures y derivados lácteos,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,4295.0,3430.0,CORPORACION ALIMENTARIA GUISSONA SA
CONLT20175300000770,productos congelados,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,25615.26,22984.8,DISTRIBUCIONES RODRIGO S.A.
CONAD20171800000263,prendas de trabajo guardería infantil inmaculada concepción,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,168.88,168.88,INSERCION Y TRABAJO SL
CONAD20171800000268,prendas de trabajo guardería infantil n.s. carmen,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,376.85,376.85,ANATOMICOS MADRID S.L.
CONAD20171400000054,146 hb72007. especies red natura 2000 biorregión alpina,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,287878.75,287878.75,SDAD ARAGONESA DE GESTION
CONAD20171800000299,compra prendas trabajo guardería infantil santa maria del pilar,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,120.95,120.95,INSERCION Y TRABAJO SL
CONAD20171800000301,vigilancia iaacc del 9 mayo al 31 de diciembre de 2017,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,130436.2,130436.2,EULEN SEGURIDAD S.A.
CONAD20175100000119,suministro taquilla para personal de limpieza de la o.e. ranillas,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,555.13,128.85,TORRES EQUIPAMIENTOS DE OFICINAS
CONMY20171000000021,serv. de noticias prestado por europa press,PRESIDENCIA,Negociado,Servicios,157024.79,157024.79,EUROPA PRESS DELEGACIONES S.A.
CONMY20171000000061,asistencia psicológica especializada a las víctimas de delito,PRESIDENCIA,Abierto,Servicios,54000.0,45000.0,ASOC ARAGONESA PRO SALUD MENTAL
CONAD20175300000093,agua y cánones saneamiento 2017,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Suministros,35220.91,35220.91,UTE AGUA Y ALCANTARILLADO TERUEL
CONAD20171400000028,tf 73471 cartografia mups y vias pecuarias teruel,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,36749.54,36749.54,SDAD ARAGONESA DE GESTION
CONAD20171600000063,"pintura ramón y cajal, 68",SANIDAD,Derivado de acuerdo marco,Servicios,3739.47,3739.47,EOMSA 6 S.L.
CONMY20171600000066,suministro de vacunas antineumocócicas conjugadas,SANIDAD,Negociado,Suministros,1714000.0,1714000.0,"PFIZER, S.L.U."
CONAD20171800000289,compra prendas de trabajo guardería infantil la paz,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,609.61,609.61,EL CORTE INGLES S.A.
CONAD20171800000290,compra prendas de trabajo guardería infantil la paz,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,34.45,34.45,CONFECCIONES OROEL S.A.
CONMY20171000000022,serv. de noticias prestado por agencia efe,PRESIDENCIA,Negociado,Servicios,157024.79,157024.79,AGENCIA EFE S.A.
CONLT20177500000048,montes publicos y privados y otros dom. pub. aragon,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Negociado,Servicios,13000.0,10500.0,NÁJERA CHIVA ANALÍA
CONLT20177500000049,montes publicos y privados y otros dom. pub. aragon,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Negociado,Servicios,13000.0,10850.0,QILEX SDAD COOP
CONLT20177500000050,montes publicos y privados y otros dom. pub. aragon,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Negociado,Servicios,13000.0,11000.0,NATURALEZA TECNOLOGIA APLICADA SLP
CONLT20177500000052,dominio publico pecuario,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Negociado,Servicios,13000.0,10920.0,GRUPO UNICA UNION CARTOGRAFICA ARAG
CONLT20177500000053,dominio publico pecuario,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Negociado,Servicios,13000.0,11440.0,TECNICA Y PROYECTOS S.A.
CONEX20175200000939,gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,860.09,860.09,REPSOL COMERCIAL DE PRODUCTOS
CONEX20175200000940,gasoleo calefaccion,SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Suministros,732.82,732.81,REPSOL COMERCIAL DE PRODUCTOS
