"Obj";"Organo";"Procedimiento de adjudicación";"Tipo de contrato";"Importe de licitación";"Importe de adjudicación";"Instrumento de publicación";"Número de licitadores";"Identidad del adjudicatario";"Ejercicio";"Código Expediente";"M"
"COMPRA PRENDAS TRABAJO SANTO ANGEL CUSTODIO";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"286,45";"286,45";"https://servicios.aragon.es/pcon/pcon-public/";"";"ANATOMICOS MADRID S.L.";"2017";"CONAD20171800000308";""
"Suministro Pesacartas para Espacio Empresas";"INSTITUTO ARAGONÉS DE EMPLEO";"Derivado de acuerdo marco";"Suministros";"57,00";"29,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM S.L.";"2017";"CONAD20175100000121";""
"ARRENDAMIENTO VEHÍCULO REPRESENTACIÓN DEPARTAMENTO CIUDADANÍA";"CIUDADANÍA Y DERECHOS SOCIALES";"Negociado";"Suministros";"33.084,30";"23.604,49";"https://servicios.aragon.es/pcon/pcon-public/";"";"BANCO SANTANDER
S.A.";"2017";"CONMY20171100000012";""
"MATERIAL LIMPIEZA";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Suministros";"15.731,36";"10.120,42";"https://servicios.aragon.es/pcon/pcon-public/";"";"LIDERA HIGIENE SL";"2017";"CONLT20175300000030";""
"PRODUCTOS DE LIMPIEZA";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Suministros";"1.622,02";"1.111,06";"https://servicios.aragon.es/pcon/pcon-public/";"";"CELQUISA S.L.LABORAL";"2017";"CONLT20175300000031";""
"PRODUCTOS DE ASEO PERSONAL";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Suministros";"1.531,13";"713,80";"https://servicios.aragon.es/pcon/pcon-public/";"";"CELQUISA S.L.LABORAL";"2017";"CONLT20175300000032";""
"PRODUCTOS TREN LAVADO";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Suministros";"3.656,20";"2.259,68";"https://servicios.aragon.es/pcon/pcon-public/";"";"DISTRIBUCIONES NAVARRO-MIR S.L.";"2017";"CONLT20175300000033";""
"PRODUCTOS DESECHABLES";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Suministros";"23.667,16";"14.842,73";"https://servicios.aragon.es/pcon/pcon-public/";"";"CELQUISA S.L.LABORAL";"2017";"CONLT20175300000034";""
"145 TB73470 MTO Y CONTROL VISIT TERUEL";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"89.434,47";"89.434,47";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE GESTION";"2017";"CONAD20171400000043";""
"SEGURIDAD EN EDIFICIOS INSTITUCIONALES GOBIERNO DE ARAGÓN";"PRESIDENCIA";"Derivado de acuerdo marco";"Servicios";"2.057.562,26";"2.044.840,96";"https://servicios.aragon.es/pcon/pcon-public/";"";"CIA VIGILANCIA ARAGONESA
S.L.";"2017";"CONAD20171000000071";""
"EQUIPOS MULTIFUNCION 03-17";"SANIDAD";"Derivado de acuerdo marco";"Suministros";"17.075,55";"9.765,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM S.L.";"2017";"CONAD20171600000142";""
"IMPLANTES, MALLAS, AGUJAS Y DIVERSO MAT. QUIRURGICO";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Suministros";"1.787,50";"1.787,50";"https://servicios.aragon.es/pcon/pcon-public/";"";"INTERSURGICAL ESPAÑA S.L.";"2017";"CONEX20175200000751";""
"MANTENIMIENTO PREVENTIVO, CORRECTIVO Y TÉCNICO LEGAL DEL TAC";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Servicios";"38.016,52";"36.115,70";"https://servicios.aragon.es/pcon/pcon-public/";"";"SIEMENS HEALTHCARE, S.L.";"2017";"CONEX20175200000758";""
"SERVICIO DE VIGILANCIA Y SEGURIDAD EN EL HOSPITAL DE ALCAÑIZ";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"100.036,26";"99.613,50";"https://servicios.aragon.es/pcon/pcon-public/";"";"EULEN SEGURIDAD
S.A.";"2017";"CONEX20175200000791";""
"P.C. 1HA/2017 REALIZACIÓN DE TACS EN INSTALACIONES MÓVILES";"SERVICIO ARAGONÉS DE SALUD";"Contratación
centralizada";"Servicios";"118.687,55";"105.295,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"QDIAGNOSTICA";"2017";"CONEX20175200000792";""
"RESONANCIAS MAGNÉTICAS EN INSTALACIONES FIJAS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"2.440,00";"2.440,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA,
SAU";"2017";"CONEX20175200000800";""
"RESONANCIAS MAGNÉTICAS EN INSTALACIONES FIJAS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"1.170,52";"1.170,52";"https://servicios.aragon.es/pcon/pcon-public/";"";"DRA ROCA DIAGNOSTICO MEDICO
S.L.";"2017";"CONEX20175200000801";""
"RESONANCIAS MAGNÉTICAS EN INSTALACIONES FIJAS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"1.110,00";"1.110,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"PARACELSO DIAGNOSTICO MEDICO
S.L.";"2017";"CONEX20175200000802";""
"PROCEDIMIENTOS DIAGNÓSTICOS DE NEUROFISIOLOGÍA";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"3.924,00";"3.924,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"NFC Y SUEÑO, SL";"2017";"CONEX20175200000803";""
"RESONANCIAS MAGNÉTICAS EN INSTALACIONES FIJAS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"1.200,00";"1.200,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CLINICA MONTPELLIER GRUPO HLA,
SAU";"2017";"CONEX20175200000804";""
"RESONANCIAS MAGNÉTICAS EN INSTALACIONES FIJAS";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"738,50";"738,50";"https://servicios.aragon.es/pcon/pcon-public/";"";"DRA ROCA DIAGNOSTICO MEDICO
S.L.";"2017";"CONEX20175200000805";""
"GASOLEO CALEFACCION";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Suministros";"873,44";"873,44";"https://servicios.aragon.es/pcon/pcon-public/";"";"REPSOL COMERCIAL DE PRODUCTOS";"2017";"CONEX20175200000937";""
"GASOLEO CALEFACCION";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Suministros";"474,57";"474,57";"https://servicios.aragon.es/pcon/pcon-public/";"";"REPSOL COMERCIAL DE PRODUCTOS";"2017";"CONEX20175200000938";""
"PROCEDIMIENTOS DIAGNÓSTICOS DE NEUROFISIOLOGÍA";"SERVICIO ARAGONÉS DE SALUD";"Contratación centralizada";"Servicios";"3.411,00";"3.411,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"NFC Y SUEÑO, SL";"2017";"CONEX20175200000806";""
"MATERIAL DE NEUROESTIMULACION DE RAICES SACRAS PARA UROLOGIA";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"172.079,40";"168.139,52";"https://servicios.aragon.es/pcon/pcon-public/";"";"MEDTRONIC IBERICA
S.A.";"2017";"CONEX20175200000812";""
"DIVERSO MATERIAL QUIRURGICO, CURAS Y ASISTENCIAL";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"2.747,25";"2.497,50";"https://servicios.aragon.es/pcon/pcon-public/";"";"TELEFLEX MEDICAL S.A.";"2017";"CONEX20175200000814";""
"DIVERSO MATERIAL QUIRURGICO, CURAS Y ASISTENCIAL";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"5.426,00";"5.426,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"IBERHOSPITEX S.A.";"2017";"CONEX20175200000814";""
"DIVERSO MATERIAL QUIRURGICO, CURAS Y ASISTENCIAL";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"1.168,80";"1.159,60";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES S.A.";"2017";"CONEX20175200000814";""
"DIVERSO MATERIAL QUIRURGICO, CURAS Y ASISTENCIAL";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"5.829,00";"5.829,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"BEORTEK S.A.";"2017";"CONEX20175200000814";""
"DIVERSO MATERIAL QUIRURGICO, CURAS Y ASISTENCIAL";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"1.975,00";"1.975,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"GRUPO TAPER S.A.";"2017";"CONEX20175200000814";""
"DIVERSO MATERIAL QUIRURGICO, CURAS Y ASISTENCIAL";"SERVICIO ARAGONÉS DE SALUD";"Negociado";"Suministros";"5.653,90";"5.653,90";"https://servicios.aragon.es/pcon/pcon-public/";"";"SUMINISTROS CLINICOS LANAU SL";"2017";"CONEX20175200000814";""
"1704 ATENCION PSICOLOGICA TERUEL A MUJERES EN ESPECIAL SITUACION DE NECESID";"INSTITUTO ARAGONÉS DE LA MUJER";"Abierto";"Servicios";"48.750,00";"32.600,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"FUNDACION
ADCARA";"2017";"CONMY20175400000081";""
"C19/2016 EDAR'S DE PLAZA, LA MUELA Y EPILA. MANTENIMIENTO";"INSTITUTO ARAGONÉS DEL AGUA";"Abierto";"Servicios";"2.053.671,38";"1.594.545,24";"https://servicios.aragon.es/pcon/pcon-public/";"";"SA AGRICULTORES VEGA DE
VALENCIA-";"2017";"CONMY20177200000028";""
"OBRAS ACTUACIONES PREVIAS ACONDICIONAMIENTO PARCELA HOSP. ALCAÑIZ";"SERVICIO ARAGONÉS DE SALUD";"Abierto";"Obras";"173.316,91";"91.153,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"ARAGONESA OBRAS CIVILES
SL";"2017";"CONMY20175200001041";""
"SERVICIOS COLABORACIÓN CON INTERV.GENERAL CERT.FEAGA-FEADER 2018-2019";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Abierto";"Servicios";"170.000,00";"168.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"GRANT THORNTON SL
PROFESIONAL";"2017";"CONMY20171200000135";""
"SERVICIO DE VIGILANCIA RESIDENCIA CESARAUGUSTA Y CENTRO JUSLIBOL";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Derivado de acuerdo marco";"Servicios";"2.232.463,38";"1.661.261,93";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE-CIS COMPAÑIA
INTEGRAL DE";"2017";"CONAD20175300000645";""
"2017-TRATAMIENTOS AEREOS CONTRA LANGOSTA";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Abierto";"Servicios";"71.145,00";"64.134,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"TRATAMIENTOS AGRICOLAS AEREOS";"2017";"CONMY20171400000452";""
"SERV. ARREND. DE MAQ. Y PROV. DE MATER. EN CRTRA. A-1702.-EJULVE-ORGANOS DE";"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA";"Abierto";"Servicios";"314.049,59";"274.300,41";"https://servicios.aragon.es/pcon/pcon-public/";"";"EZAGUE
S.L.";"2017";"CONMY20171300000159";""
"PLAN DE EVALUACIO DE INDICADORES PDR 2014-2020 A160005";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Abierto";"Servicios";"71.000,00";"63.525,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"REGIO PLUS CONSULTING SL";"2017";"CONMY20171400000550";""
"SISTEMA INFORMACIÓN DEPENDENCIA";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Abierto";"Servicios";"402.200,00";"290.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE-VIRTUAL-ANEUM";"2017";"CONMY20175300000722";""
"RUTA 101/EPES/H/2013";"EDUCACIÓN, CULTURA Y DEPORTE";"Abierto";"Servicios";"147.526,40";"138.384,33";"https://servicios.aragon.es/pcon/pcon-public/";"";"ALOSA AUTOCARES Y AUTOBUSES S.L.";"2017";"CONLT20171800000628";""
"CONMY 22/2016: TANT TDT - TRANSPORTE ZONAS REMOTAS (PLIEGO NEUTRO)";"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD";"Abierto";"Servicios";"2.216.335,49";"1.730.684,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"RETEVISION I
S.A.";"2017";"CONMY20171700000074";""
"CONSTRUCC. REFUERZO Y REGULAR. A-1503 TRAMO:I LLUECA-CRUCE CV-698";"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA";"Abierto";"Obras";"1.339.506,34";"696.945,15";"https://servicios.aragon.es/pcon/pcon-public/";"";"UTE ILLUECA - CONST.M.LOPEZ
NAVARRO";"2017";"CONMY20171300000163";""
"IAM1705 ASESORAM.LAB. PERSPECT. GENERO Pª FAVORECER INSERC.MUJERS MUNDO LAB";"INSTITUTO ARAGONÉS DE LA MUJER";"Abierto";"Servicios";"130.200,00";"90.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"INTELECTO CONSULTORIA DE
PROYECTOS";"2017";"CONMY20175400000083";""
"1703 ATENCION PSICOLOGICA HUESCA A MUJERES ESPECIAL SITUACION NECESIDAD";"INSTITUTO ARAGONÉS DE LA MUJER";"Abierto";"Servicios";"48.750,00";"37.200,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"FUNDACION
ADCARA";"2017";"CONMY20175400000080";""
"Seguridad Dir Provincial IASS Huesca 2017";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Derivado de acuerdo marco";"Servicios";"23.215,82";"23.215,82";"https://servicios.aragon.es/pcon/pcon-public/";"";"ILUNION SEGURIDAD
S.A.";"2017";"CONAD20175300000583";""
"MANTENIMIENTO CONDUCCIÓN-GESTIÓN Y ASISTENCIA EDIFICIOS INTERDEP. ZARAGOZA";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Abierto";"Servicios";"341.889,69";"277.424,36";"https://servicios.aragon.es/pcon/pcon-public/";"";"VEOLIA SERVICIOS NORTE
S.A.U.";"2017";"CONMY20171200000110";""
"CONMY 11/2016: DESARROLLO E IMPLEMENTACIÓN APLICACIÓN ARCHIVO";"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD";"Abierto";"Servicios";"102.403,16";"67.000,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"DELOITTE CONSULTING
S.L.";"2017";"CONMY20171700000052";""
"MANTENIMIENTO-CONDUCCIÓN DE GESTIÓN Y ASISTENCIA DE TERUEL Y CALAMOCHA";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Abierto";"Servicios";"97.037,56";"86.278,12";"https://servicios.aragon.es/pcon/pcon-public/";"";"VEOLIA SERVICIOS NORTE
S.A.U.";"2017";"CONMY20171200000109";""
"CONMY 13/2016: Firma electrónica y validación datos";"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD";"Abierto";"Servicios";"164.985,34";"108.835,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"IA SOFT ARAGON SL";"2017";"CONMY20171700000056";""
"TRANSPORTE SANITARIO Y DE EMERGENCIAS MEDIANTE HELICÓPTERO";"PRESIDENCIA";"Negociado";"Servicios";"759.181,36";"759.181,36";"https://servicios.aragon.es/pcon/pcon-public/";"";"BABCOCK MISSION CRITICAL SERVICES";"2017";"CONMY20171000000020";""
"SERVICIO DE SEGURIDAD SECCIÓN DE PROTECCIÓN DEL MENOR";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Derivado de acuerdo marco";"Servicios";"54.614,56";"54.059,04";"https://servicios.aragon.es/pcon/pcon-public/";"";"GARDA SERVICIOS DE SEGURIDAD
S.A.";"2017";"CONAD20175300000066";""
"PRODUCTOS LIMPIEZA 2017";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Derivado de acuerdo marco";"Suministros";"14.143,74";"11.030,08";"https://servicios.aragon.es/pcon/pcon-public/";"";"DISTRIBUCIONES NAVARRO-MIR
S.L.";"2017";"CONLT20175300000799";""
"PRODUCTOS LAVANDERIA Y LAVAVAJILLAS 2017";"INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES";"Derivado de acuerdo marco";"Suministros";"8.658,71";"5.692,75";"https://servicios.aragon.es/pcon/pcon-public/";"";"DISTRIBUCIONES NAVARRO-MIR
S.L.";"2017";"CONLT20175300000800";""
"146 ZB71600 AT.VETERIN.Y CONSERVACION CENTRO RECUP.FAUNA SILVESTRE ALFRANCA";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"726.239,42";"726.239,42";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE
GESTION";"2017";"CONAD20171400000163";""
"Seguridad en el edificio Rosa Arjó";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Servicios";"43.163,12";"42.724,08";"https://servicios.aragon.es/pcon/pcon-public/";"";"GARDA SERVICIOS DE SEGURIDAD
S.A.";"2017";"CONAD20171800000240";""
"COMPRA PRENDAS TRABAJO GI SANTO ANGEL CUSTODIO";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"39,39";"39,39";"https://servicios.aragon.es/pcon/pcon-public/";"";"INSERCION Y TRABAJO SL";"2017";"CONAD20171800000309";""
"145 HB72008.CONSERVACIÓN VALLES OCC Y SJ PEÑA";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"342.796,72";"342.796,72";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE
GESTION";"2017";"CONAD20171400000042";""
"145 ZB71614 CARACTERIZ VEGETACIÓN ARBÓREA RND GALACHOS EBRO";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"7.435,39";"7.435,39";"https://servicios.aragon.es/pcon/pcon-public/";"";"CENTRO INVESTIGACION Y
TECNOLOGIA";"2017";"CONAD20171400000237";""
"SUMINISTRO MOBILIARIO DIVERSO DE OFICINA";"INSTITUTO ARAGONÉS DE EMPLEO";"Derivado de acuerdo marco";"Suministros";"4.027,66";"2.558,49";"https://servicios.aragon.es/pcon/pcon-public/";"";"OFITECNICA OFICINA TECNICA
S.L.";"2017";"CONAD20175100000115";""
"SUMINISTRO DE 8 SILLAS OFICINA DE EMPLEO DE BINÉFAR";"INSTITUTO ARAGONÉS DE EMPLEO";"Derivado de acuerdo marco";"Suministros";"2.280,00";"1.311,20";"https://servicios.aragon.es/pcon/pcon-public/";"";"BALLAROL OFICINAS
S.L.L.";"2017";"CONAD20175100000116";""
"SUMINISTRO DE MOBILIARIO OFICINA DE EMPLEO DE MONZÓN";"INSTITUTO ARAGONÉS DE EMPLEO";"Derivado de acuerdo marco";"Suministros";"2.074,04";"1.281,40";"https://servicios.aragon.es/pcon/pcon-public/";"";"OFITECNICA OFICINA TECNICA
S.L.";"2017";"CONAD20175100000117";""
"ADQUISICIÓN FOTOCOPIADORA PARA GABINETE (ANEXO 680/2017)";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Derivado de acuerdo marco";"Suministros";"3.953,00";"3.195,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOLITIUM
S.L.";"2017";"CONAD20171200000080";""
"COMPRA PRENDAS DE TRABAJO GI SAN LORENZO";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"31,85";"31,85";"https://servicios.aragon.es/pcon/pcon-public/";"";"CONFECCIONES OROEL S.A.";"2017";"CONAD20171800000392";""
"COMPRA PRENDAS DE TRABAJO VIRGEN DE LA OLIVA";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"933,32";"933,32";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES S.A.";"2017";"CONAD20171800000397";""
"145 RB74042 MEJORA APLICACIONES S INFORMACIÓN PN ORDESA";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"19.867,18";"19.867,18";"https://servicios.aragon.es/pcon/pcon-public/";"";"TECNOLOGIAS Y SERVICIOS AGRARIOS
SA";"2017";"CONAD20171400000172";""
"COMPRA PRENDAS DE TRABAJO GI SAN LORENZO";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"501,81";"501,81";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES S.A.";"2017";"CONAD20171800000391";""
"COMPRA DE PRENDAS DE TRABAJO GI SAN LORENZO";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"296,10";"296,10";"https://servicios.aragon.es/pcon/pcon-public/";"";"ANATOMICOS MADRID S.L.";"2017";"CONAD20171800000393";""
"COMPRA PRENDAS DE TRABAJO VIRGEN DE LA OLIVA";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"144,32";"144,32";"https://servicios.aragon.es/pcon/pcon-public/";"";"INSERCION Y TRABAJO SL";"2017";"CONAD20171800000399";""
"COMPRA PRENDAS TRABAJO GUARDERÍA INFANTIL SANTA MARIA DEL PILAR";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"594,01";"594,01";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES
S.A.";"2017";"CONAD20171800000296";""
"COMPRA PRENDAS TRABAJO GUARDERÍA INFANTIL SANTA MARIA DEL PILAR";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"1,72";"1,72";"https://servicios.aragon.es/pcon/pcon-public/";"";"CONFECCIONES OROEL
S.A.";"2017";"CONAD20171800000297";""
"REPOSICIÓN ROPA TRABAJO PERSONAL SANITARIO RyC, 68-05/17";"SANIDAD";"Derivado de acuerdo marco";"Suministros";"127,00";"127,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES S.A.";"2017";"CONAD20171600000173";""
"PRENDAS DE TRABAJO GUARDERÍA INFANTIL INMACULADA CONCEPCIÓN";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"22,16";"22,16";"https://servicios.aragon.es/pcon/pcon-public/";"";"CONFECCIONES OROEL
S.A.";"2017";"CONAD20171800000261";""
"DESARROLLO DE UNA APLICACIÓN MÓVIL PARA EL PORTAL ARAGONHOY";"PRESIDENCIA";"Por administración";"Servicios";"24.922,80";"24.922,80";"https://servicios.aragon.es/pcon/pcon-public/";"";"ARAGONESA DE SERVICIOS
TELEMATICOS";"2017";"CONAD20171000000147";""
"SOPORTE, MANT. Y DESARROLLO APLIC. IBOA";"PRESIDENCIA";"Negociado";"Servicios";"29.000,00";"25.200,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"EUROHELP CONSULTING S.L.";"2017";"CONMY20171000000054";""
"HF 72006 CARTOGRAFÍA MUPS Y VIAS PECUARIAS HUESCA";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"36.730,52";"36.730,52";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE
GESTION";"2017";"CONAD20171400000025";""
"VIGILANCIA AMBIENTAL PLANES COORDINADOS 2017 A170001";"DESARROLLO RURAL Y SOSTENIBILIDAD";"Por administración";"Servicios";"142.461,95";"142.461,95";"https://servicios.aragon.es/pcon/pcon-public/";"";"SDAD ARAGONESA DE
GESTION";"2017";"CONAD20171400000060";""
"SUMINISTRO ARTÍCULOS HIGIÉNICOS DE PAPEL";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Abierto";"Suministros";"30.287,00";"30.287,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"CELQUISA S.L.LABORAL";"2017";"CONLT20171200000118";""
"SUMINISTRO PRODUCTOS Y ÚTILES DE LIMPIEZA";"HACIENDA Y ADMINISTRACIÓN PÚBLICA";"Abierto";"Suministros";"26.512,60";"26.512,60";"https://servicios.aragon.es/pcon/pcon-public/";"";"CELQUISA S.L.LABORAL";"2017";"CONLT20171200000119";""
