Producto,ProductURI,Tipo,NIF,Adjudicatario,OrganizationURI,Fecha,Cantidad Pedido,Cantidad Recibido,Cantidad Pendiente,Importe del Pedido,Importe Pagado,Importe Pendiente,VAT
Tubos admón.O2,Tubos_admón_O2,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,25,25,0,258,258,0,21
Tubos traqueales,Tubos_traqueales,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,150,150,0,118,118,0,0
Tubos traqueales,Tubos_traqueales,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,90,90,0,71,71,0,0
Tubos traqueales,Tubos_traqueales,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,30,30,0,24,24,0,0
Tubos traqueales,Tubos_traqueales,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,30,30,0,657,657,0,0
Tubos traqueales,Tubos_traqueales,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,10,10,0,41,41,0,0
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,600,600,0,726,726,0,21
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,20,20,0,165,165,0,21
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,450,450,0,1579,1579,0,21
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,100,100,0,129,129,0,21
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,225,225,0,291,291,0,21
HISOPOS,HISOPOS,SUMINISTRO,A28664589,"BIOMERIEUX ESPAÑA, S.A.",BIOMERIEUX_ESPAÑA_SA,2020-03-16T00:00:00Z,850,850,0,1831,1831,0,21
HISOPOS,HISOPOS,SUMINISTRO,A28664589,"BIOMERIEUX ESPAÑA, S.A.",BIOMERIEUX_ESPAÑA_SA,2020-03-16T00:00:00Z,150,150,0,267,267,0,0
SOLUCION HIDROALCOHOLICA (biocida y cosmetica),SOLUCION_HIDROALCOHOLICA_(biocida_y_cosmetica),SUMINISTRO,A30014047,"AROM, S.A.",AROM_SA,2020-03-16T00:00:00Z,11760,11760,0,32301,32301,0,21
GUANTE VINILO,GUANTE_VINILO,SUMINISTRO,A58001686,"BARNA IMPORT MEDICA, S.A.",BARNA_IMPORT_MEDICA_SA,2020-03-16T00:00:00Z,27000,27000,0,673,673,0,21
GUANTE VINILO,GUANTE_VINILO,SUMINISTRO,A58001686,"BARNA IMPORT MEDICA, S.A.",BARNA_IMPORT_MEDICA_SA,2020-03-16T00:00:00Z,60000,60000,0,1496,1496,0,21
GUANTE VINILO,GUANTE_VINILO,SUMINISTRO,A58001686,"BARNA IMPORT MEDICA, S.A.",BARNA_IMPORT_MEDICA_SA,2020-03-16T00:00:00Z,29000,29000,0,723,723,0,21
"GUANTES DE NITRILO, CON Y SIN POLVO",GUANTES_DE_NITRILO__CON_Y_SIN_POLVO,SUMINISTRO,A58001686,"BARNA IMPORT MEDICA, S.A.",BARNA_IMPORT_MEDICA_SA,2020-03-16T00:00:00Z,2400,2400,0,409,409,0,21
"GUANTES DE NITRILO, CON Y SIN POLVO",GUANTES_DE_NITRILO__CON_Y_SIN_POLVO,SUMINISTRO,A58001686,"BARNA IMPORT MEDICA, S.A.",BARNA_IMPORT_MEDICA_SA,2020-03-16T00:00:00Z,1200,1200,0,205,205,0,21
Sonda endodigestiva,Sonda_endodigestiva,SUMINISTRO,A58426008,"GRIFOLS MOVACO, S.A.",GRIFOLS_MOVACO_SA,2020-03-16T00:00:00Z,200,200,0,1595,1595,0,0
KITS PCR DIAGNOSTICO COVID-19,KITS_PCR_DIAGNOSTICO_COVID-19,SUMINISTRO,A58710740,"PALEX MEDICAL, S.A.",PALEX_MEDICAL_SA,2020-03-16T00:00:00Z,20,20,0,47190,47190,0,21
TERMOCICLADOR (1854095),TERMOCICLADOR_(1854095),SUMINISTRO,A79389920,"BIO-RAD LABORATORIES, S.A.",BIO-RAD_LABORATORIES_SA,2020-03-16T00:00:00Z,1,1,0,26620,26620,0,21
CONTENEDORES,CONTENEDORES,SUMINISTRO,B03362621,"AKRALAB, S.L.",AKRALAB_SL,2020-03-16T00:00:00Z,800,67,733,22128,1853,20275,21
"GUANTES DE NITRILO, CON Y SIN POLVO",GUANTES_DE_NITRILO__CON_Y_SIN_POLVO,SUMINISTRO,B08438731,"IZASA HOSPITAL, S.L.U",IZASA_HOSPITAL_SLU,2020-03-16T00:00:00Z,12000,12000,0,407,407,0,21
"GUANTES DE NITRILO, CON Y SIN POLVO",GUANTES_DE_NITRILO__CON_Y_SIN_POLVO,SUMINISTRO,B08438731,"IZASA HOSPITAL, S.L.U",IZASA_HOSPITAL_SLU,2020-03-16T00:00:00Z,12000,12000,0,407,407,0,21
"GUANTES DE NITRILO, CON Y SIN POLVO",GUANTES_DE_NITRILO__CON_Y_SIN_POLVO,SUMINISTRO,B08438731,"IZASA HOSPITAL, S.L.U",IZASA_HOSPITAL_SLU,2020-03-16T00:00:00Z,12000,12000,0,407,407,0,21
RESPIRADOR,RESPIRADOR,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,7,4,3,63000,36000,27000,21
RESPIRADOR,RESPIRADOR,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,9000,9000,0,21
RESPIRADOR,RESPIRADOR,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,9000,9000,0,0
RESPIRADOR,RESPIRADOR,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,3,3,0,27000,27000,0,0
RESPIRADOR,RESPIRADOR,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,4,4,0,36000,36000,0,0
RESPIRADOR,RESPIRADOR,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,4,4,0,36000,36000,0,0
RESPIRADOR,RESPIRADOR,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,3,3,0,27000,27000,0,0
RESPIRADOR VOLUMETRICO,RESPIRADOR_VOLUMETRICO,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,16944,16944,0,21
RESPIRADOR VOLUMETRICO,RESPIRADOR_VOLUMETRICO,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,16944,16944,0,0
RESPIRADOR VOLUMETRICO,RESPIRADOR_VOLUMETRICO,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,2,2,0,33889,33889,0,21
RESPIRADOR VOLUMETRICO,RESPIRADOR_VOLUMETRICO,SUMINISTRO,B46149555,"DEXTRO MEDICA, S.L.",DEXTRO_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,14004,14004,0,0
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,B61053922,"KEYLAB MEDICAL, S.L.",KEYLAB_MEDICAL_SL,2020-03-16T00:00:00Z,30,30,0,544,544,0,0
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,B61053922,"KEYLAB MEDICAL, S.L.",KEYLAB_MEDICAL_SL,2020-03-16T00:00:00Z,1000,1000,0,3630,3630,0,0
Fund/prot.desechable,Fund/prot_desechable,SUMINISTRO,B61526414,MOLNLYCKE HEALTH CARE S.L.,MOLNLYCKE_HEALTH_CARE_SL,2020-03-16T00:00:00Z,200,200,0,302,302,0,21
Fund/prot.desechable,Fund/prot_desechable,SUMINISTRO,B61526414,MOLNLYCKE HEALTH CARE S.L.,MOLNLYCKE_HEALTH_CARE_SL,2020-03-16T00:00:00Z,1000,1000,0,1512,1512,0,21
RESPIRADOR,RESPIRADOR,SUMINISTRO,B73182586,"MARCOM MEDICA, S.L.",MARCOM_MEDICA_SL,2020-03-16T00:00:00Z,4,3,1,42000,31500,10500,0
RESPIRADOR,RESPIRADOR,SUMINISTRO,B73182586,"MARCOM MEDICA, S.L.",MARCOM_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,12705,12705,0,21
RESPIRADOR ALTA FRECUENCIA,RESPIRADOR_ALTA_FRECUENCIA,SUMINISTRO,B73182586,"MARCOM MEDICA, S.L.",MARCOM_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,37675,37675,0,21
RESPIRADOR DE VENTILACIÓN NO INVASIVA,RESPIRADOR_DE_VENTILACIÓN_NO_INVASIVA,SUMINISTRO,B73182586,"MARCOM MEDICA, S.L.",MARCOM_MEDICA_SL,2020-03-16T00:00:00Z,1,1,0,15901,15901,0,21
OTROS,OTROS,SUMINISTRO,B73319436,"FERRETERIA SURESTE, S.L.",FERRETERIA_SURESTE_SL,2020-03-16T00:00:00Z,6,6,0,29,29,0,21
BATAS DESECHABLES E IMPERMEABLES,BATAS_DESECHABLES_E_IMPERMEABLES,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,920,920,0,76254,76254,0,21
GAFAS DE PROTECCION,GAFAS_DE_PROTECCION,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,108,108,0,5933,5933,0,21
GAFAS DE PROTECCION,GAFAS_DE_PROTECCION,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,30,30,0,1581,1581,0,21
GAFAS DE PROTECCION,GAFAS_DE_PROTECCION,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,6000,6000,0,266805,266805,0,21
MASCARILLA PROTECCION FFP3,MASCARILLA_PROTECCION_FFP3,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,10000,10000,0,144595,144595,0,21
MASCARILLA PROTECCION FFP3,MASCARILLA_PROTECCION_FFP3,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,200,200,0,2299,2299,0,21
MONO INTEGRAL,MONO_INTEGRAL,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,10000,10000,0,768350,768350,0,21
MONO INTEGRAL,MONO_INTEGRAL,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,50000,50000,0,3175000,3175000,0,0
MONO INTEGRAL,MONO_INTEGRAL,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,2200,2200,0,102487,102487,0,21
MONO INTEGRAL,MONO_INTEGRAL,SUMINISTRO,B73612046,"GLOBAL PROTECCION Y SEGURIDAD, S. L",GLOBAL_PROTECCION_Y_SEGURIDAD_S_L,2020-03-16T00:00:00Z,2200,2200,0,190333,190333,0,21
"MASCARILLAS QUIRURGICAS I, de tipo II y IIR",MASCARILLAS_QUIRURGICAS_I__de_tipo_II_y_IIR,SUMINISTRO,B80196934,"GARRIC MEDICA, S.L.",GARRIC_MEDICA_SL,2020-03-16T00:00:00Z,100000,100000,0,80000,80000,0,21
Cánulas Guedel-Mayo,Cánulas_Guedel-Mayo,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,100,100,0,30,30,0,0
Cánulas Guedel-Mayo,Cánulas_Guedel-Mayo,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,180,180,0,53,53,0,21
Cánulas Guedel-Mayo,Cánulas_Guedel-Mayo,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,90,90,0,27,27,0,0
Conector/adaptador,Conector/adaptador,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,75,75,0,182,182,0,21
Conector/adaptador,Conector/adaptador,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,25,25,0,60,60,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,36,36,0,427,427,0,21
Mascarilla O2/otras,Mascarilla_O2/otras,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,1760,1760,0,1440,1440,0,21
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,3300,3300,0,1278,1278,0,21
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,135,135,0,103,103,0,21
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,2160,2160,0,1759,1759,0,21
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,120,120,0,4341,4341,0,21
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,B80957889,"INTERSURGICAL ESPAÑA, S.L.",INTERSURGICAL_ESPAÑA_SL,2020-03-16T00:00:00Z,45,45,0,223,223,0,0
TERMOMETROS,TERMOMETROS,SUMINISTRO,B97527477,"MATCLINIC, S.L.",MATCLINIC_SL,2020-03-16T00:00:00Z,36,36,0,2396,2396,0,21
Termó/sensor reg.dat,Termó/sensor_reg_dat,SUMINISTRO,W0068620D,MASIMO EUROPE LTD SUCURSAL EN ESPAÑ,MASIMO_EUROPE_LTD_SUCURSAL_EN_ESPAÑ,2020-03-16T00:00:00Z,220,220,0,2649,2649,0,21
"MASCARILLAS QUIRURGICAS I, de tipo II y IIR",MASCARILLAS_QUIRURGICAS_I__de_tipo_II_y_IIR,SUMINISTRO,***7110**,"JIMENEZ ESPÍN, PABLO FELIPE",JIMENEZ_ESPÍN_PABLO_FELIPE,2020-03-17T00:00:00Z,10000,10000,0,18150,18150,0,21
"MASCARILLAS QUIRURGICAS I, de tipo II y IIR",MASCARILLAS_QUIRURGICAS_I__de_tipo_II_y_IIR,SUMINISTRO,***7110**,"JIMENEZ ESPÍN, PABLO FELIPE",JIMENEZ_ESPÍN_PABLO_FELIPE,2020-03-17T00:00:00Z,500000,500000,0,726000,726000,0,21
Fiad/acc. intubación,Fiad/acc__intubación,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,3,3,0,12,12,0,10
Fiad/acc. intubación,Fiad/acc__intubación,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,42,42,0,170,170,0,10
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,200,200,0,133,133,0,21
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,170,170,0,290,290,0,10
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,180,180,0,307,307,0,0
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,30,30,0,51,51,0,10
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,5,5,0,9,9,0,0
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,60,60,0,102,102,0,10
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,710,710,0,1211,1211,0,10
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,1140,1140,0,1944,1944,0,0
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,305,305,0,520,520,0,10
Sondas urológicas,Sondas_urológicas,SUMINISTRO,A03142114,"TELEFLEX MEDICAL, S.A.",TELEFLEX_MEDICAL_SA,2020-03-17T00:00:00Z,70,70,0,119,119,0,0
Fiad/acc. intubación,Fiad/acc__intubación,SUMINISTRO,A03802451,"MEDILEVEL, S.A.",MEDILEVEL_SA,2020-03-17T00:00:00Z,60,60,0,79,79,0,21
Eq/acc. perfusión,Eq/acc__perfusión,SUMINISTRO,A08130502,"FRESENIUS KABI ESPAÑA, S.A.",FRESENIUS_KABI_ESPAÑA_SA,2020-03-17T00:00:00Z,1320,1320,0,1626,1626,0,0
Sistemas nutrición,Sistemas_nutrición,SUMINISTRO,A08130502,"FRESENIUS KABI ESPAÑA, S.A.",FRESENIUS_KABI_ESPAÑA_SA,2020-03-17T00:00:00Z,1050,1050,0,2137,2137,0,0
Sonda endodigestiva,Sonda_endodigestiva,SUMINISTRO,A08130502,"FRESENIUS KABI ESPAÑA, S.A.",FRESENIUS_KABI_ESPAÑA_SA,2020-03-17T00:00:00Z,25,25,0,2228,2228,0,0
Sonda endodigestiva,Sonda_endodigestiva,SUMINISTRO,A08130502,"FRESENIUS KABI ESPAÑA, S.A.",FRESENIUS_KABI_ESPAÑA_SA,2020-03-17T00:00:00Z,50,50,0,248,248,0,0
Fiad/acc. intubación,Fiad/acc__intubación,SUMINISTRO,A08525073,"COOK ESPAÑA, S.A.",COOK_ESPAÑA_SA,2020-03-17T00:00:00Z,2,2,0,141,141,0,0
Tubos alargadores,Tubos_alargadores,SUMINISTRO,A08630063,"IBERHOSPITEX, S.A.",IBERHOSPITEX_SA,2020-03-17T00:00:00Z,7140,7140,0,5174,5174,0,21
SONDA ECOGRAFICA,SONDA_ECOGRAFICA,SUMINISTRO,A28017143,"PHILIPS IBERICA, S.A.",PHILIPS_IBERICA_SA,2020-03-17T00:00:00Z,1,1,0,8095,8095,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28063485,"DRAGER MEDICAL HISPANIA, S.A.",DRAGER_MEDICAL_HISPANIA_SA,2020-03-17T00:00:00Z,100,100,0,4187,4187,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28063485,"DRAGER MEDICAL HISPANIA, S.A.",DRAGER_MEDICAL_HISPANIA_SA,2020-03-17T00:00:00Z,10,10,0,411,411,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28063485,"DRAGER MEDICAL HISPANIA, S.A.",DRAGER_MEDICAL_HISPANIA_SA,2020-03-17T00:00:00Z,10,10,0,411,411,0,21
Tubul/filt/circ. Y,Tubul/filt/circ__Y,SUMINISTRO,A28063485,"DRAGER MEDICAL HISPANIA, S.A.",DRAGER_MEDICAL_HISPANIA_SA,2020-03-17T00:00:00Z,5,5,0,248,248,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,2900,2900,0,3474,3474,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,396,396,0,679,679,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,110,110,0,1597,1597,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,130,130,0,976,976,0,21
Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,110,110,0,627,627,0,21
Inst.des.general,Inst_des_general,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,190,190,0,5700,5700,0,0
Inst.des.general,Inst_des_general,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,150,150,0,908,908,0,21
Nebuliz./humidific.,Nebuliz_/humidific_,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,6480,6480,0,11369,11369,0,21
Sondas de aspiración,Sondas_de_aspiración,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,10,10,0,145,145,0,21
Sondas de aspiración,Sondas_de_aspiración,SUMINISTRO,A28389484,"MEDTRONIC IBERICA, S.A.",MEDTRONIC_IBERICA_SA,2020-03-17T00:00:00Z,50,50,0,600,600,0,0
