NOMBRE,wikiJUNTA,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,PÁGINA WEB,NOMBRE-VÍA,TIPO-VIA,NÚMERO,LOCALIDAD,wikiLOCALIDAD,PROVINCIA,wikiPROVINCIA,CÓDIGO POSTAL,BARRIO,wikiBARRIOS,DISTRITO,wikiDISTRITO,COORDENADA-X,COORDENADA-Y,EMAIL
Junta Municipal del Distrito de Moncloa-Aravaca,http://www.wikidata.org/entity/Q56164038,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Moncloa (líneas 3, 6) Bus: A, 161, 160, 162, 62, 133, 83, 1, 132, 138, 44, 82, C2, C1 Bicimad: Estación 10 (Paseo Moret, 2)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=925a6fdb2541f010VgnVCM1000000b205a0aRCRD,MONCLOA,PLAZA,1,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28008,Argüelles,http://www.wikidata.org/entity/Q64874,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,439029,4476310,jmmoncloa@madrid.es
Junta Municipal del Distrito de Moratalaz,http://www.wikidata.org/entity/Q56191300,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Pavones (línea 9) Bus: 8, 20, 30, 32, 71, 100, 142, 144, E4",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f08a6fdb2541f010VgnVCM1000000b205a0aRCRD,FUENTE CARRANTONA,CALLE,8,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28030,Pavones,http://www.wikidata.org/entity/Q71760,Moratalaz,http://www.wikidata.org/entity/Q2076109,445952,4472195,jmmoratalaz@madrid.es
Junta Municipal del Distrito de Puente de Vallecas,http://www.wikidata.org/entity/Q56191848,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Puente de Vallecas (línea 1), Nueva Numancia (línea 1) Bus: 10, 24, 54, 57, 58, 111, 136, 310",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b4ca6fdb2541f010VgnVCM1000000b205a0aRCRD,ALBUFERA,AVENIDA,42,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28038,San Diego,http://www.wikidata.org/entity/Q11946851,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,443452,4471996,jmpvallecas@madrid.es
Junta Municipal del Distrito de Retiro,http://www.wikidata.org/entity/Q56191993,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Pacífico (líneas 1 y 6) Bus: 24, 37, 54, 57, 141",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27098aa6bd91f010VgnVCM1000000b205a0aRCRD,DAOIZ Y VELARDE,PLAZA,2,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28007,Pacífico,http://www.wikidata.org/entity/Q3773753,Retiro,http://www.wikidata.org/entity/Q2002296,442527,4472618,jmretiro@madrid.es
Junta Municipal del Distrito de Salamanca,http://www.wikidata.org/entity/Q56190957,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Velázquez (línea 4), Serrano (línea 4) Bus: 1, 9, 19, 21, 51, 53, 74 Bicimad: Estación 87 (calle Ayala, 44)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f37f0a47f441f010VgnVCM2000000c205a0aRCRD,VELAZQUEZ,CALLE,52,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28001,Recoletos,http://www.wikidata.org/entity/Q3814551,Salamanca,http://www.wikidata.org/entity/Q1773521,441999,4475412,jmsalamanca@madrid.es
Distrito De San Blas-canillejas,,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 8:30 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Las Musas (línea 7) Bus: 38, 140",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba9f0a47f441f010VgnVCM2000000c205a0aRCRD,ARCENTALES,AVENIDA,28,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28022,Rosas,http://www.wikidata.org/entity/Q18880469,San Blas,http://www.wikidata.org/entity/Q2001937,448295,4476161,jmsanblas@madrid.es
Junta Municipal del Distrito de Tetuán,http://www.wikidata.org/entity/Q56163839,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Valdeacederas (línea 1), Plaza Castilla (líneas 1, 9 y 10) Bus: 49, 66, 124",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=71cf0a47f441f010VgnVCM2000000c205a0aRCRD,BRAVO MURILLO,CALLE,357,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28020,Almenara,http://www.wikidata.org/entity/Q2265427,Tetuán,http://www.wikidata.org/entity/Q1773540,441184,4479612,jmtetuan@madrid.es
Distrito De Usera,,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Plaza Elíptica (líneas 6 y 11) Bus: 6, 60, 81, 78",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38ef0a47f441f010VgnVCM2000000c205a0aRCRD,RAFAELA YBARRA,AVENIDA,41,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28026,Pradolongo,http://www.wikidata.org/entity/Q10352360,Usera,http://www.wikidata.org/entity/Q953368,439670,4470445,jmdusera@madrid.es
Junta Municipal del Distrito de Vicálvaro,http://www.wikidata.org/entity/Q52629540,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: San Cipriano (línea 9), Vicálvaro (línea 9) Bus: 4 , E3",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe000a47f441f010VgnVCM2000000c205a0aRCRD,DON ANTONIO DE ANDRES,PLAZA,18,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28032,Casco Histórico de Vicálvaro,http://www.wikidata.org/entity/Q16544374,Vicálvaro,http://www.wikidata.org/entity/Q589403,448578,4472583,jmvicalvaro@madrid.es
Junta Municipal del Distrito de Villa de Vallecas,http://www.wikidata.org/entity/Q56191978,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Metro: Villa de Vallecas (línea 1) Bus: 54, 58, 103, 142, 143",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5300a47f441f010VgnVCM2000000c205a0aRCRD,FEDERICO GARCIA LORCA,PASEO,12,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28031,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,447248,4469998,omvivallecas@madrid.es
Junta Municipal del Distrito de Villaverde,http://www.wikidata.org/entity/Q56190652,"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local. Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros. Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros guía.",De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.,"Bus: 22, 76, 86, 130, 131 Renfe: Puente Alcocer",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7c500a47f441f010VgnVCM2000000c205a0aRCRD,ARROYO BUENO,CALLE,53,Madrid,http://www.wikidata.es/entity/Q2807,Province of Madrid,http://www.wikidata.es/entity/Q28769526,28021,"Villaverde Alto, Casco Histórico de Villaverde",http://www.wikidata.org/entity/Q390435,Villaverde,http://www.wikidata.org/entity/Q919536,439603,4466726,jmvillaverde@madrid.es
