Ao;Mes;Descripcin Centro;Organismo;Nmero Contrato;Nmero Expediente;Descripcin Contrato;Tipo Contrato;Procedimiento Adjudicacin;Artculo;Apartado;Criterios Adjudicacin;Presupuesto Total(IVA Incluido);Importe Adjudicacin (IVA Incluido);Plazo;Fecha Adjudicacin;Nombre/Razn Social;NIF/CIF Adjudicatario;Fecha Formalizacin;Acuerdo Marco;Ingreso/Coste Cero;Observaciones;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000014;EVS/2019/00062;SERVICIOS DE LIMPIEZA DE LA SEDE DE EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;Servicios;Abierto;;;Pluralidad de criterios;219036.22;179949.70;12;27/11/2019;LIMPIEZAS GREDOS, S.A.;A28895118;26/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE MORATALAZ;202000015;300/2019/01029;CABALGATA DE REYES 2020;Servicios;Abierto simplificado;;;Pluralidad de criterios;92343.15;89419.00;0.13;27/11/2019;MADRIZ SERVICIOS TECNICOS CULTURALES S.L.;B79944864;02/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000016;EVS/2019/00063;CONTRATACION DEL SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 2;Suministro;Abierto;;;Un unico criterio;3872.00;3159.55;24;23/12/2019;SEYS CAD SYSTEMS, S.L.;B86961877;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000017;EVS/2019/00063;SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 1;Suministro;Abierto;;;Un unico criterio;28435.00;25625.62;36;23/12/2019;SEYS CAD SYSTEMS, S.L.;B86961877;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000018;EVS/2019/00063;CONTRATACION DEL SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 3;Suministro;Abierto;;;Un unico criterio;605.00;582.01;12;23/12/2019;ALEDIT PROFESSIONAL SERVICES, S.L.;B87622015;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000019;EVS/2019/00063;CONTRATACION DEL SUMINISTRO DE LICENCIAS PARA GESTION (4 LOTES). LOTE 4;Suministro;Abierto;;;Un unico criterio;544.50;526.35;24;23/12/2019;ALEDIT PROFESSIONAL SERVICES, S.L.;B87622015;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000020;MDC/2019/00227;"REPRESENTACION ARTISTICA DE OBRA TEATRAL ""MAGO DE OZ"" EN CENTRO CULTURAL CONDE DUQUE";Servicios;Negociado sin publicidad;168;a) apartado 2;;41140.00;41140.00;0.73;12/12/2019;DIEGO AYALA CALVO;52990809M;16/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000021;300/2018/01331;ACTIVIDADES COMPLEMENTARIAS A LA EDUCACION EN LOS CENTROS EDUCATIVOS DEL DISTRITO DE HORTALEZA. LOTE 3   ;Servicios;Abierto;;;Pluralidad de criterios;21036.31;15248.77;9.7;05/12/2019;TRITOMA S.L.;B78342615;10/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000022;MDC/2019/00215;SUMINISTRO DE PLANOS DE EVACUACION EN BRAILLE PARA MADRID DESTINO;Suministro;Abierto simplificado sumario;;;Un unico criterio;19360.00;11645.04;12;06/11/2019;PUNTODIS ACCESIBLE SOLUTIONS IN SIGN WRITING, S.L.;B95341178;11/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000023;MDC/2019/00230;"ORGANIZACION, EJECUCION Y REPRESENTACION DE LOS OBRAS DE TEATRO DE TITERES DENTRO DE LA 2 EDICICION DEL FESTIVAL ""MADRIONETAS. EL ARTE DEL TITERE"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2;;111785.85;111785.85;0.63;05/12/2019;SERVICIOS ESPECIALIZADOS EN DISTRIBUCION ARTISTICA, S.L;B86826039;18/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000024;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES). LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;192348.38;142337.79;12;14/11/2019;SERCUS SERVICIOS CULTURALES, S.L.;B80180896;10/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000025;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES). LOTE 2;Servicios;Abierto;;;Pluralidad de criterios;14112.23;12545.28;12;22/11/2019;AJEDREZ CAPABLANCA S.L.;B84673334;19/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000026;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES). LOTE 3;Servicios;Abierto;;;Pluralidad de criterios;105116.33;92444.00;12;13/11/2019;YEIYEBA, S.L.;B81650137;05/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;COORDINACIΠGENERAL DE LA ALCALDIA;202000027;300/2019/00180;SERVICIO DE MANTENIMIENTO DE APARATOS ELEVADORES E INSTALACIONES ELECTROMECANICAS DE LOS EDIFICIOS QUE GESTIONA LA SECRETARIA GENERAL TECNICA DE LA GERENCIA DE LA CIUDAD.;Servicios;Abierto;;;Pluralidad de criterios;127224.24;65370.49;24;05/11/2019;ZARDOYA OTIS,S.A.;A28011153;28/11/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000028;300/2019/00210;CONTRATO DE SERVICIOS DENOMINADO CONTRATO PARA LA PRESTACION DEL SERVICIO DE ACTIVIDADES CULTURALES Y DE OCIO EN EL DISTRITO DE CHAMARTIN (4 LOTES);Servicios;Abierto;;;Pluralidad de criterios;39699.60;31339.00;12;22/11/2019;TRATO PRODUCCIONES ARTISTICAS SL;B86700796;19/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMART֎;202000029;300/2019/00534;SERVICIO DE ANIMACION SOCIOCULTURAL EN LOS CENTROS MUNICIPALES DE MAYORES DEL DISTRITO DE CHAMARTIN;Servicios;Abierto;;;Pluralidad de criterios;296932.22;266910.00;24;27/11/2019;ASOCIACION ESCUELA PARA EL DESARROLLO DE LA EDUCACION Y DE LO SOCIAL (EDES);G80633993;26/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000030;EMT/2019/00101;SUMINISTRO DE LOS COMPONENTES NECESARIOS PARA LA ELABORACION DE 3.000 LITROS DE MEZCLA DE ESMALTE ACRILICO AZUL RAL 5015;Suministro;Abierto;;;Un unico criterio;88935.00;71982.90;24;08/11/2019;PINTURAS DAMI SANTA POLA, S.L.U.;B54899117;23/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE HACIENDA Y PERSONAL;202000031;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES) LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;0.00;0.00;24;01/10/2019;CONURMA INGENIEROS CONSULTORES, S.L.;B81040503;05/11/2019;SI;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000032;EMT/2019/00115;MANTENIMIENTO DE MAQUINAS DE AUTOLIQUIDACION, CAMBIO Y DISPENSACION DE EFECTIVO DE LAS AGENCIAS DE RECAUDACION;Servicios;Abierto;;;Un unico criterio;270519.70;269927.83;48;12/11/2019;SUZOHAPP SPAIN, S.A.;A84752831;23/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000033;EMT/2019/00122;SUMINISTRO MEDIANTE RENTING DE UNA MAQUINA MULTIFUNCION DE ALTO VOLUMEN A4 (FOTOCOPIADORA, IMPRESORA Y ESCANER);Suministro;Abierto simplificado;;;Un unico criterio;34339.80;25375.88;60;27/11/2019;CANON ESPAA, S.A.;A28122125;23/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000034;EMT/2019/00043;MANTENIMIENTO DE LOS SISTEMAS DE PROTECCION CONTRA INCENDIOS Y DE LOS SISTEMAS DE DETECCION DE GASES Y EXTRACCION FORZADA EN LAS INSTALACIONES DE LA EMT DE MADRID;Servicios;Abierto;;;Pluralidad de criterios;777472.96;647180.12;36;27/11/2019;COMSA SERVICE FACILITY MANAGEMENT S A U;A60470127;23/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE VILLAVERDE;202000035;300/2019/01205;CABALGATAS DE REYES MAGOS VILLAVERDE OESTE Y ESTE Y CARNAVAL 2020. LOTE 3;Servicios;Abierto;;;Pluralidad de criterios;54035.57;50820.00;0.1;04/12/2019;MADRIZ SERVICIOS TECNICOS CULTURALES S.L.;B79944864;03/01/2020; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000036;MDC/2019/00193;"COORDINACION Y COMISARIADO DE LAS ACTIVIDADES LIGADAS A LAS LINEAS DE ACTUACION AUTOFABRICANTES Y LABORATORIO DE ARTE Y CUERPO (LATE) DENTRO DEL PROGRAMA ""LABORATORIO CUERPO, SALUD Y AUTONOMIA"" FINANCIADO POR LA FUNDACION DANIEL Y NINA CARASSO EN MEDIALAB-PRADO";Servicios;Negociado sin publicidad;168;a) apartado 2;;35676.51;35676.51;1.5;15/10/2019;ASOCIACION AUTOFABRICANTES;G87910758;15/10/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000037;300/2019/00033;CONTRATO PARA LA REALIZACION DE LUDOTECAS EN DOS CENTROS PUBLICOS DEL DISTRITO DE HORTALEZA DURANTE LOS PERIODOS DE VACACIONES ESCOLARES ;Servicios;Abierto;;;Pluralidad de criterios;80157.07;76527.00;12;11/12/2019;ACAYA NATURALEZA Y VIDA, S.L.;B81748808;19/12/2019; ;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE HACIENDA Y PERSONAL;202000038;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES);Servicios;Abierto;;;Pluralidad de criterios;0.00;0.00;24;01/10/2019;GESTION INTEGRAL DEL SUELO, S.L.;B81480352;05/11/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE HACIENDA Y PERSONAL;202000039;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES);Servicios;Abierto;;;Pluralidad de criterios;0.00;0.00;24;01/10/2019;UTE ESTUDIO NORNIELLA-PINEARQ-CEMOSA LOTE 1;U88391644;05/11/2019;SI;;;;;;;;;;
2020;Enero;AYUNTAMIENTO DE MADRID;REA DE GOBIERNO DE HACIENDA Y PERSONAL;202000040;135/2018/00230;ACUERDO MARCO DE SERVICIOS PARA LA CONTRATACION CENTRALIZADA DE TRABAJOS DE APOYO A LA EJECUCION DE OBRAS EN EL AYUNTAMIENTO DE MADRID Y SUS ORGANISMOS AUTONOMOS (4 LOTES). LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;0.00;0.00;24;01/10/2019;VIELCA INGENIEROS, S. A.;A98030604;05/11/2019;SI;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000041;MDC/2019/00231;"EJECUCION Y DESARROLLO DE LAS REPRESENTACIONES ARTISTICAS ""FIERS A CHEVAL"" DE LA COMPAGNIE DES QUIDAMS Y ""LA PARADE AMOUREUSE"" DE LA COMPAGNIE REMUE MENAGE,, ESPECTACULOS PASACALLES DE LA CABALGATA DE REYES MAGOS 2020";Servicios;Negociado sin publicidad;168;a) apartado 2;;46827.00;46827.00;0.46;19/12/2019;MARIA DEL CARMEN ESCARDO CARULLA;36956866Y;23/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000042;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 1;Suministro;Abierto;;;Un unico criterio;22990.00;21707.40;24;23/12/2019;DACARTEC SERVICIOS INFORMATICOS SLU;B91428607;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000043;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 2;Suministro;Abierto;;;Un unico criterio;13310.00;11762.56;24;23/12/2019;INFORMATICA EL CORTE INGLES, S.A.;A28855260;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000044;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 3;Suministro;Abierto;;;Un unico criterio;7018.00;6485.60;24;23/12/2019;INFORMATICA EL CORTE INGLES, S.A.;A28855260;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000045;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 4;Suministro;Abierto;;;Un unico criterio;15125.00;13487.87;24;23/12/2019;TECNICOS ASOCIADOS INFORMATICA, S.A.U.;A79054748;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000046;EVS/2019/00064;SUMINISTRO DE LICENCIAS DE SOFTWARE (6 LOTES). LOTE 6;Suministro;Abierto;;;Un unico criterio;13915.00;13915.00;24;23/12/2019;AEIOROS SERVICIOS, S.L;B85730166;27/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000047;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 1 SUMINISTRO DE REFRESCOS;Suministro;Abierto;;;Pluralidad de criterios;20097.00;20097.00;12;06/09/2019;COCA COLA EUROPEAN PARTNERS IBERIA, S.L.U.;B86561412;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIΠY ADJUDICACIΠPORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000048;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 2 SUMINISTRO DE CERVEZAS Y AGUA;Suministro;Abierto;;;Pluralidad de criterios;36227.40;36227.40;12;06/09/2019;MAHOU S.A.;A28078202;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIΠY ADJUDICACIΠPORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000049;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 4 SUMINISTRO DE SNACKS;Suministro;Abierto;;;Pluralidad de criterios;4400.00;4400.00;12;06/09/2019;PEPSICO FOODS, A.I.E;V01477355;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIΠY ADJUDICACIΠPORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000050;MDC/2019/00237;SUMINISTRO EN REGIMEN DE ARRENDAMIENTO DE MATERIAL DE AUDIOVISUAL, INCLUIDO SU TRANSPORTE, MONTAJE, MANTENIMIENTO Y DESMONTAJE, ASI COMO LA VERIFICACION DE SU CORRECTO FUNCIONAMIENTO Y SU MANEJO POR EL PERSONAL TECNICO, A INSTALAR CON MOTIVO DE LA ACTIVIDAD CULTURAL QUE DESARROLLE MADRID DESTINO;Suministro;Abierto simplificado;;;Un unico criterio;83490.00;83490.00;12;11/09/2019;INFINITY VISUAL, S.L.U.;B86273133;23/09/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000051;MDC/2019/00238;SUMINISTRO EN REGIMEN DE ARRENDAMIENTO DE ESCENARIOS, TORRES DE ILUMINACION, SONIDO Y AUDIOVISUALES, PLANCHADA, TARIMAS TIPO ROSCO, PLATAFORMAS PMR Y PLATAFORMAS, INCLUIDO SU TRANSPORTE, MONTAJE, MANTENIMIENTO Y DESMONTAJE, ASI COMO LA VERIFICACION DE SU CORRECTO FUNCIONAMIENTO Y SU MANEJO POR EL PERSONAL TECNICO, A INSTALAR CON MOTIVO DE LA ACTIVIDAD CULTURAL QUE DESARROLLE MADRID DESTINO;Suministro;Abierto simplificado;;;Un unico criterio;64735.00;64735.00;4.03;20/11/2019;ESTRUCTURAS EVEREST PLUS, S.L.;B19658855;25/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000052;MDC/2019/00202;CONTRATACION POR LOTES DEL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS EN EL TEATRO CIRCO PRICE. LOTE 3 SUMINISTRO DE MAIZ, ACEITE Y SAL PARA PALOMITAS;Suministro;Abierto;;;Pluralidad de criterios;5806.26;5806.26;12;06/09/2019;LIVEN, S.A.;A59033647;01/10/2019; ;;(*) : ESTE CONTRATO CUENTA CON IGUAL PRESUPUESTO DE LICITACIΠY ADJUDICACIΠPORQUE SE HA ADJUDICADO POR PRECIOS UNITARIOS.;;;;;;;;
