Obj,Organo,Procedimiento de adjudicación,Tipo de contrato,Importe de licitación,Importe de adjudicación,Identidad del adjudicatario,Ejercicio,Código Expediente,M
sistema información dependencia,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Abierto,Servicios,402200.0,290000.0,UTE-VIRTUAL-ANEUM,2017,CONMY20175300000722,
ruta 101/epes/h/2013,"EDUCACIÓN, CULTURA Y DEPORTE",Abierto,Servicios,147526.4,138384.33,ALOSA AUTOCARES Y AUTOBUSES S.L.,2017,CONLT20171800000628,
conmy 22/2016: tant tdt - transporte zonas remotas (pliego neutro),"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD",Abierto,Servicios,2216335.49,1730684.0,RETEVISION I S.A.,2017,CONMY20171700000074,
construcc. refuerzo y regular. a-1503 tramo:i llueca-cruce cv-698,"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA",Abierto,Obras,1339506.34,696945.15,UTE ILLUECA - CONST.M.LOPEZ NAVARRO,2017,CONMY20171300000163,
iam1705 asesoram.lab. perspect. genero pª favorecer inserc.mujers mundo lab,INSTITUTO ARAGONÉS DE LA MUJER,Abierto,Servicios,130200.0,90000.0,INTELECTO CONSULTORIA DE PROYECTOS,2017,CONMY20175400000083,
1703 atencion psicologica huesca a mujeres especial situacion necesidad,INSTITUTO ARAGONÉS DE LA MUJER,Abierto,Servicios,48750.0,37200.0,FUNDACION ADCARA,2017,CONMY20175400000080,
seguridad dir provincial iass huesca 2017,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,23215.82,23215.82,ILUNION SEGURIDAD S.A.,2017,CONAD20175300000583,
mantenimiento conducción-gestión y asistencia edificios interdep. zaragoza,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Servicios,341889.69,277424.36,VEOLIA SERVICIOS NORTE S.A.U.,2017,CONMY20171200000110,
conmy 11/2016: desarrollo e implementación aplicación archivo,"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD",Abierto,Servicios,102403.16,67000.0,DELOITTE CONSULTING S.L.,2017,CONMY20171700000052,
mantenimiento-conducción de gestión y asistencia de teruel y calamocha,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Servicios,97037.56,86278.12,VEOLIA SERVICIOS NORTE S.A.U.,2017,CONMY20171200000109,
conmy 13/2016: firma electrónica y validación datos,"INNOVACIÓN, INVESTIGACIÓN Y UNIVERSIDAD",Abierto,Servicios,164985.34,108835.0,IA SOFT ARAGON SL,2017,CONMY20171700000056,
transporte sanitario y de emergencias mediante helicóptero,PRESIDENCIA,Negociado,Servicios,759181.36,759181.36,BABCOCK MISSION CRITICAL SERVICES,2017,CONMY20171000000020,
servicio de seguridad sección de protección del menor,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Servicios,54614.56,54059.04,GARDA SERVICIOS DE SEGURIDAD S.A.,2017,CONAD20175300000066,
productos limpieza 2017,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Suministros,14143.74,11030.08,DISTRIBUCIONES NAVARRO-MIR S.L.,2017,CONLT20175300000799,
productos lavanderia y lavavajillas 2017,INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES,Derivado de acuerdo marco,Suministros,8658.71,5692.75,DISTRIBUCIONES NAVARRO-MIR S.L.,2017,CONLT20175300000800,
146 zb71600 at.veterin.y conservacion centro recup.fauna silvestre alfranca,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,726239.42,726239.42,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000163,
seguridad en el edificio rosa arjó,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,43163.12,42724.08,GARDA SERVICIOS DE SEGURIDAD S.A.,2017,CONAD20171800000240,
compra prendas trabajo gi santo angel custodio,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,39.39,39.39,INSERCION Y TRABAJO SL,2017,CONAD20171800000309,
145 hb72008.conservación valles occ y sj peña,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,342796.72,342796.72,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000042,
145 zb71614 caracteriz vegetación arbórea rnd galachos ebro,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,7435.39,7435.39,CENTRO INVESTIGACION Y TECNOLOGIA,2017,CONAD20171400000237,
suministro mobiliario diverso de oficina,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,4027.66,2558.49,OFITECNICA OFICINA TECNICA S.L.,2017,CONAD20175100000115,
suministro de 8 sillas oficina de empleo de binéfar,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,2280.0,1311.2,BALLAROL OFICINAS S.L.L.,2017,CONAD20175100000116,
suministro de mobiliario oficina de empleo de monzón,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,2074.04,1281.4,OFITECNICA OFICINA TECNICA S.L.,2017,CONAD20175100000117,
adquisición fotocopiadora para gabinete (anexo 680/2017),HACIENDA Y ADMINISTRACIÓN PÚBLICA,Derivado de acuerdo marco,Suministros,3953.0,3195.0,SOLITIUM S.L.,2017,CONAD20171200000080,
compra prendas de trabajo gi san lorenzo,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,31.85,31.85,CONFECCIONES OROEL S.A.,2017,CONAD20171800000392,
compra prendas de trabajo virgen de la oliva,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,933.32,933.32,EL CORTE INGLES S.A.,2017,CONAD20171800000397,
145 rb74042 mejora aplicaciones s información pn ordesa,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,19867.18,19867.18,TECNOLOGIAS Y SERVICIOS AGRARIOS SA,2017,CONAD20171400000172,
compra prendas de trabajo gi san lorenzo,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,501.81,501.81,EL CORTE INGLES S.A.,2017,CONAD20171800000391,
compra de prendas de trabajo gi san lorenzo,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,296.1,296.1,ANATOMICOS MADRID S.L.,2017,CONAD20171800000393,
compra prendas de trabajo virgen de la oliva,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,144.32,144.32,INSERCION Y TRABAJO SL,2017,CONAD20171800000399,
compra prendas trabajo guardería infantil santa maria del pilar,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,594.01,594.01,EL CORTE INGLES S.A.,2017,CONAD20171800000296,
compra prendas trabajo guardería infantil santa maria del pilar,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,1.72,1.72,CONFECCIONES OROEL S.A.,2017,CONAD20171800000297,
"reposición ropa trabajo personal sanitario ryc, 68-05/17",SANIDAD,Derivado de acuerdo marco,Suministros,127.0,127.0,EL CORTE INGLES S.A.,2017,CONAD20171600000173,
prendas de trabajo guardería infantil inmaculada concepción,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,22.16,22.16,CONFECCIONES OROEL S.A.,2017,CONAD20171800000261,
desarrollo de una aplicación móvil para el portal aragonhoy,PRESIDENCIA,Por administración,Servicios,24922.8,24922.8,ARAGONESA DE SERVICIOS TELEMATICOS,2017,CONAD20171000000147,
"soporte, mant. y desarrollo aplic. iboa",PRESIDENCIA,Negociado,Servicios,29000.0,25200.0,EUROHELP CONSULTING S.L.,2017,CONMY20171000000054,
hf 72006 cartografía mups y vias pecuarias huesca,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,36730.52,36730.52,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000025,
vigilancia ambiental planes coordinados 2017 a170001,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,142461.95,142461.95,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000060,
suministro artículos higiénicos de papel,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Suministros,30287.0,30287.0,CELQUISA S.L.LABORAL,2017,CONLT20171200000118,
suministro productos y útiles de limpieza,HACIENDA Y ADMINISTRACIÓN PÚBLICA,Abierto,Suministros,26512.6,26512.6,CELQUISA S.L.LABORAL,2017,CONLT20171200000119,
prendas de trabajo guardería infantil n.s carmen,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,1189.23,1189.23,EL CORTE INGLES S.A.,2017,CONAD20171800000266,
prendas de trabajo guardería infantil n.s. carmen,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,11.36,11.36,CONFECCIONES OROEL S.A.,2017,CONAD20171800000267,
compra prendas de trabajo guardería infantil la paz,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,129.2,129.2,INSERCION Y TRABAJO SL,2017,CONAD20171800000291,
bolsa de horas proyecto data warehouse para i.a.estadística,"ECONOMÍA, INDUSTRIA Y EMPLEO",Por administración,Servicios,12319.01,12319.01,ARAGONESA DE SERVICIOS TELEMATICOS,2017,CONAD20171500000013,
servicio de vigilancia y seguridad órganos judiciales de aragón,PRESIDENCIA,Derivado de acuerdo marco,Servicios,2501860.64,2483761.36,CIA VIGILANCIA ARAGONESA S.L.,2017,CONAD20171000000091,
compra prendas de trabajo guardería infantil la paz,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,370.9,370.9,ANATOMICOS MADRID S.L.,2017,CONAD20171800000292,
d.o. proy. obras c.p. torres de barbues h170001,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,14991.48,14991.48,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000053,
seguridad archivo hº provincial huesca 2017 (2),"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,15091.04,15091.04,CIA VIGILANCIA ARAGONESA S.L.,2017,CONAD20171800000096,
seguridad museo huesca 2017 (2),"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,22630.96,22630.96,CIA VIGILANCIA ARAGONESA S.L.,2017,CONAD20171800000097,
tf 73369 sanidad forestal en teruel,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,41897.32,41897.32,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000021,
encargo seguridad y salud obras 2017 a170003,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,62720.89,62720.89,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000058,
146 rb74011 catálogo especies amenazadas,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,293974.06,293974.06,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000067,
suministro silla de trabajo o.e. huesca,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,452.1,300.0,EL CORTE INGLES S.A.,2017,CONAD20175100000061,
145 rb74019. educ ambiental en c interpretación naturaleza aragón,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,569635.16,569635.16,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000033,
145 rb74006. planes de gestión enp aragón,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,259822.35,259822.35,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000034,
suministro tablón anuncios corcho para cpfip movera,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,230.2,49.32,TORRES EQUIPAMIENTOS DE OFICINAS,2017,CONAD20175100000135,
"impulso programas ""industria en línea""y ""servicios informormación indust"";economía, industria y empleo;negociado;servicios;52.066,11;49.500,00;https://servicios.aragon.es/pcon/pcon-public/;"";eurohelp consulting",,,,,,,2017,,
"s.l.;2017;conmy20171500000003;""
instalacion sistema videoconferencia sala goya 2;desarrollo rural y sostenibilidad;por administración;servicios;9.135,50;9.135,50;https://servicios.aragon.es/pcon/pcon-public/;"";aragonesa de servicios",,,,,,,2017,,
"telematicos;2017;conad20171400000066;""
serv. noticias prestado por aragón pres;presidencia;negociado;servicios;198.347,11;198.347,11;https://servicios.aragon.es/pcon/pcon-public/;"";agencia aragonesa de noticias s.l.;2017;conmy20171000000019;""
frutas y verduras 2º cuatrimestre;instituto aragonés de servicios sociales;abierto;suministros;4.418,95;4.129,85;https://servicios.aragon.es/pcon/pcon-public/;"";frutas hemanos yagüe muñoz sl;2017;conlt20175300000256;""
obras modificación de instalaciones baja tensión edificio cervantes huesca;hacienda y administración pública;abierto;obras;66.619,61;51.000,00;https://servicios.aragon.es/pcon/pcon-public/;"";electricidad ferysan",,,,,,,2017,,
"s.a.;2017;conmy20171200000026;""
medios vidas, tempo, acuprobe y medios específicos;sanidad;abierto;suministros;45.898,52;45.898,52;https://servicios.aragon.es/pcon/pcon-public/;"";biomerieux españa s.a.;2017;conlt20171600000247;""
medios cultivo para microbiología de aguas y alimentos;sanidad;abierto;suministros;45.991,30;40.208,25;https://servicios.aragon.es/pcon/pcon-public/;"";instrulab s.c.;2017;conlt20171600000248;""
suministro gasoleo guardería dga;educación, cultura y deporte;derivado de acuerdo marco;suministros;29.090,91;29.090,91;https://servicios.aragon.es/pcon/pcon-public/;"";repsol comercial de productos;2017;conad20171800000035;""
adquisición par de botas de seguridad;educación, cultura y deporte;derivado de acuerdo marco;suministros;92,80;74,40;https://servicios.aragon.es/pcon/pcon-public/;"";el corte ingles s.a.;2017;conad20171800000213;""
servicio de vigilancia biblioteca de aragón mayo/dic. 2017;educación, cultura y deporte;derivado de acuerdo marco;servicios;41.109,60;40.242,16;https://servicios.aragon.es/pcon/pcon-public/;"";ilunion seguridad",,,,,,,2017,,
"s.a.;2017;conad20171800000259;""
sillas oficina sp sanidad-04/17;sanidad;derivado de acuerdo marco;suministros;789,00;789,00;https://servicios.aragon.es/pcon/pcon-public/;"";ballarol oficinas s.l.l.;2017;conad20171600000151;""
prendas de trabajo guardería inmaculada concepción;educación, cultura y deporte;derivado de acuerdo marco;suministros;995,70;995,70;https://servicios.aragon.es/pcon/pcon-public/;"";el corte ingles s.a.;2017;conad20171800000260;""
prendas de trabajo guardería infantil inmaculada concepción;educación, cultura y deporte;derivado de acuerdo marco;suministros;381,65;381,65;https://servicios.aragon.es/pcon/pcon-public/;"";anatomicos madrid",,,,,,,2017,,
"s.l.;2017;conad20171800000262;""
seguridad archivo histórico de teruel 2017;educación, cultura y deporte;derivado de acuerdo marco;servicios;11.542,50;11.542,50;https://servicios.aragon.es/pcon/pcon-public/;"";ilunion seguridad s.a.;2017;conad20171800000536;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;354.000,00;354.000,00;https://servicios.aragon.es/pcon/pcon-public/;"";sanofi aventis s.a.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;89.680,00;89.680,00;https://servicios.aragon.es/pcon/pcon-public/;"";sanofi aventis s.a.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;179.400,00;179.400,00;https://servicios.aragon.es/pcon/pcon-public/;"";glaxosmithkline, s.a.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;41.925,00;41.925,00;https://servicios.aragon.es/pcon/pcon-public/;"";sanofi aventis s.a.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;10.674,00;10.674,00;https://servicios.aragon.es/pcon/pcon-public/;"";glaxosmithkline, s.a.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;49.000,00;49.000,00;https://servicios.aragon.es/pcon/pcon-public/;"";merck sharp & dohme de españa",,,,,,,2017,,
"s.a.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;117.000,00;117.000,00;https://servicios.aragon.es/pcon/pcon-public/;"";merck sharp & dohme de españa",,,,,,,2017,,
"s.a.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;173.400,00;173.400,00;https://servicios.aragon.es/pcon/pcon-public/;"";pfizer, s.l.u.;2017;conex20171600000171;""
suministro vacunas calendario tramitación emergencia;sanidad;derivado de acuerdo marco;suministros;9.500,00;9.500,00;https://servicios.aragon.es/pcon/pcon-public/;"";sanofi aventis s.a.;2017;conex20171600000171;""
suministro de pan, bolleria y galletas para la cocina hrv;servicio aragonés de salud;negociado;suministros;9.012,03;8.577,00;https://servicios.aragon.es/pcon/pcon-public/;"";panificadora castellana",,,,,,,2017,,
"s.a.;2017;conex20175200000848;""
suministro de pan, bolleria y galletas para la cocina hrv;servicio aragonés de salud;negociado;suministros;2.481,47;2.230,25;https://servicios.aragon.es/pcon/pcon-public/;"";agustin dominguez rodriguez",,,,,,,2017,,
"sl;2017;conex20175200000848;""
suministro de fiambres para la cocina del hrv;servicio aragonés de salud;negociado;suministros;5.763,60;5.663,00;https://servicios.aragon.es/pcon/pcon-public/;"";union polleros de aragon sl;2017;conex20175200000851;""
suministro de carnes y aves para la cocina del hrv;servicio aragonés de salud;negociado;suministros;23.018,10;21.843,10;https://servicios.aragon.es/pcon/pcon-public/;"";union polleros de aragon sl;2017;conex20175200000855;""
servicio de mantenimiento de instalaciones hnsg;servicio aragonés de salud;abierto;servicios;611.570,24;517.398,07;https://servicios.aragon.es/pcon/pcon-public/;"";acciona facility services s.a.;2017;conex20175200000859;""
diversos reactivos para laboratorio microbiologia;servicio aragonés de salud;negociado;suministros;57.375,00;57.375,00;https://servicios.aragon.es/pcon/pcon-public/;"";ral tecnica para el laboratorio",,,,,,,2017,,
