contract-number,award-date,expiry-date,gsin,gsin-description_en,supplier-legal-name,supplier-address-city,wikiCity-Supplier,supplier-address-prov-state,supplier-address-postal-code,supplier-address-country,organization-employee-count_en,total-contract-value,end-user-entity_en,wikiEndUserEntity,contracting-entity-office-name_en,contracting-address-city,wikiCity-EndUser,contracting-address-prov-state,contracting-address-postal-code,contracting-address-country
0D160-204805-001-PI,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,D317E,Information Products,OXFORD ANALYTICA INC.,New York City,http://www.wikidata.org/entity/Q60,New York,10174,United States of America,50 to 99 employees,42800.0,Public Safety Canada,http://www.wikidata.org/entity/Q2602726,CONTRACTING DIVISION,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0P8,Canada
0X001-182242-001-PI,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,D317E,Information Products,AERIC INC,Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K1H8M7,Canada,200 to 499 employees,57220.0,Canada School of Public Service,http://www.wikidata.org/entity/Q5029427,ADMIN SERVICES,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1N6Z2,Canada
19217-180065-001-CW,2020-03-25T00:00:00Z,2021-09-30T00:00:00Z,T014QB,Electronic Publishing,EVIDENCE SOLUTIONS LTD.,Vancouver,http://www.wikidata.org/entity/Q24639,British Columbia,V5L1Z1,Canada,50 to 99 employees,904000.0,Department of Justice,http://www.wikidata.org/entity/Q1058376,NATIONAL LITIGATION SECTOR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0H8,Canada
19217-180065-002-CW,2020-03-25T00:00:00Z,2021-09-30T00:00:00Z,T014QB,Electronic Publishing,Ricoh Canada Inc.,Mississauga,http://www.wikidata.org/entity/Q50816,Ontario,L4W5M3,Canada,500 to 999 employees,678000.0,Department of Justice,http://www.wikidata.org/entity/Q1058376,NATIONAL LITIGATION SECTOR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0H8,Canada
21120-195797-001-ZH,2020-03-26T00:00:00Z,2022-03-31T00:00:00Z,G009F,Medical-Dental Laboratory Services,DYNACARE-GAMMA LABORATORY PARTNERSHIP,Brampton,http://www.wikidata.org/entity/Q44198,Ontario,L6T5M3,Canada,1500 to 2499 employees,0.0,Provincial correctional services in Canada,http://www.wikidata.org/entity/Q7252691,CONTRACTING&MATERIEL SERVS,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0P9,Canada
21120-199697-001-EE,2020-03-31T00:00:00Z,2020-03-31T00:00:00Z,N7030,ADP Software,Advanced Chippewa Technologies Inc.,Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K2C0K1,Canada,1 to 4 employees,199744.0,Provincial correctional services in Canada,http://www.wikidata.org/entity/Q7252691,CONTRACTING&MATERIEL SERVS,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0P9,Canada
21120-203913-001-EE,2020-03-30T00:00:00Z,2021-02-28T00:00:00Z,N7030,ADP Software,CANSEL SURVEY EQUIPMENT INC.,Burnaby,http://www.wikidata.org/entity/Q244025,British Columbia,V5J5H6,Canada,200 to 499 employees,57933.0,Provincial correctional services in Canada,http://www.wikidata.org/entity/Q7252691,CONTRACTING&MATERIEL SERVS,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0P9,Canada
21120-208434-001-EE,2020-03-31T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,SAS Institute (Canada) Inc.,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M5A1K7,Canada,200 to 499 employees,123077.0,Provincial correctional services in Canada,http://www.wikidata.org/entity/Q7252691,CONTRACTING&MATERIEL SERVS,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0P9,Canada
21301-184367-001-MTA,2020-03-30T00:00:00Z,2020-05-31T00:00:00Z,N8540,Toiletry Paper Products,PROMOTION LEPINE INC,Quebec City,http://www.wikidata.org/entity/Q2145,Quebec,G1P2J1,Canada,20 to 49 employees,713926.0,Provincial correctional services in Canada,http://www.wikidata.org/entity/Q7252691,REGIONAL ADMINISTRATION,Laval,http://www.wikidata.org/entity/Q141810,Quebec,H7N1A2,Canada
21301-193225-001-MTC,2020-03-26T00:00:00Z,2020-06-30T00:00:00Z,C119F,Engineering Services - Buildings,Tetra Tech QI inc.,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H1M3M2,Canada,100 to 199 employees,76736.0,Provincial correctional services in Canada,http://www.wikidata.org/entity/Q7252691,REGIONAL ADMINISTRATION,Laval,http://www.wikidata.org/entity/Q141810,Quebec,H7N1A2,Canada
21301-199198-001-MTA,2020-03-25T00:00:00Z,2021-03-31T00:00:00Z,N8530,Personal Toiletry Articles,F.I.D. FUTUR INTERNATIONAL DIVERSIFIE INC.,Bois-des-Filion,http://www.wikidata.org/entity/Q139019,Quebec,J6Z4W4,Canada,5 to 9 employees,175122.0,Provincial correctional services in Canada,http://www.wikidata.org/entity/Q7252691,REGIONAL ADMINISTRATION,Laval,http://www.wikidata.org/entity/Q141810,Quebec,H7N1A2,Canada
23240-180758-001-XL,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Igloo Inc,Kitchener,http://www.wikidata.org/entity/Q200166,Ontario,N2G4W1,Canada,100 to 199 employees,97309.0,Natural Resources Canada,http://www.wikidata.org/entity/Q349770,CONTRACTING & PROCUREMENT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0E4,Canada
23240-200741-001-EE,2020-03-27T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Carahsoft Technology Corp.,Reston,http://www.wikidata.org/entity/Q1375280,Virginia,20190,United States of America,500 to 999 employees,84750.0,Natural Resources Canada,http://www.wikidata.org/entity/Q349770,CONTRACTING & PROCUREMENT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0E4,Canada
23240-200819-001-EE,2020-03-30T00:00:00Z,2021-03-30T00:00:00Z,N7030,ADP Software,"COMSOL, INC.",Burlington,http://www.wikidata.org/entity/Q31058,Massachusetts,1803,United States of America,100 to 199 employees,33235.0,Natural Resources Canada,http://www.wikidata.org/entity/Q349770,CONTRACTING & PROCUREMENT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0E4,Canada
23258-200758-001-EE,2020-03-27T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Safe Software Inc.,Surrey,http://www.wikidata.org/entity/Q390583,British Columbia,V3T0M1,Canada,100 to 199 employees,69879.0,Natural Resources Canada,http://www.wikidata.org/entity/Q349770,N/A,Sherbrooke,http://www.wikidata.org/entity/Q139473,Quebec,J1J2E8,Canada
24062-160144-001-XL,2020-03-27T00:00:00Z,2020-03-31T00:00:00Z,N7030,ADP Software,SAP Canada Inc.,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M5K1B7,Canada,2500 to 4999 employees,2307507.0,Treasury Board Secretariat,http://www.wikidata.org/entity/Q17133814,MAT.MGNT CTRL SUPPLY RECEIVING,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0R5,Canada
31184-174552-001-PV,2020-03-31T00:00:00Z,2022-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,NEWMAN TECHNOLOGIES INC.,Whitby,http://www.wikidata.org/entity/Q386338,Ontario,L1N9G2,Canada,1 to 4 employees,994400.0,National Research Council,http://www.wikidata.org/entity/Q1437507,ADMIN.SERVS & PROPERTY MGNT BR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0R6,Canada
31184-190035-001-QCN,2020-03-30T00:00:00Z,2021-03-30T00:00:00Z,N7030,ADP Software,DASSAULT SYSTMES CANADA INC.,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H2Y1N9,Canada,5000 employees and over,51678.0,National Research Council,http://www.wikidata.org/entity/Q1437507,ADMIN.SERVS & PROPERTY MGNT BR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0R6,Canada
31184-190040-001-EE,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,ANSYS Canada Ltd.,Waterloo,http://www.wikidata.org/entity/Q142289,Ontario,N2J4G8,Canada,50 to 99 employees,84049.0,National Research Council,http://www.wikidata.org/entity/Q1437507,ADMIN.SERVS & PROPERTY MGNT BR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0R6,Canada
31184-206028-001-EE,2020-03-27T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,ANSYS Canada Ltd.,Waterloo,http://www.wikidata.org/entity/Q142289,Ontario,N2J4G8,Canada,50 to 99 employees,112266.0,National Research Council,http://www.wikidata.org/entity/Q1437507,ADMIN.SERVS & PROPERTY MGNT BR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0R6,Canada
31184-207463-001-EE,2020-03-27T00:00:00Z,2021-03-27T00:00:00Z,N7030,ADP Software,Orangutech Inc,Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K1P5E7,Canada,10 to 19 employees,87869.0,National Research Council,http://www.wikidata.org/entity/Q1437507,ADMIN.SERVS & PROPERTY MGNT BR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0R6,Canada
31184-209287-001-EE,2020-03-31T00:00:00Z,2020-12-31T00:00:00Z,N7030,ADP Software,DASSAULT SYSTMES CANADA INC.,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H2Y1N9,Canada,5000 employees and over,78736.0,National Research Council,http://www.wikidata.org/entity/Q1437507,ADMIN.SERVS & PROPERTY MGNT BR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0R6,Canada
35035-181823-001-CY,2020-03-28T00:00:00Z,2020-09-30T00:00:00Z,T001D,Public Opinion Research - Syndicated Studies,The Earnscliffe Strategy Group Inc.,Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K1P5K6,Canada,10 to 19 employees,220350.0,Privy Council Office,http://www.wikidata.org/entity/Q24168,ADMINISTRATION DIV.,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0A3,Canada
35035-192248-001-XL,2020-03-25T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Nuix USG Inc.,Herndon,http://www.wikidata.org/entity/Q1373962,Virginia,20171,United States of America,500 to 999 employees,80607.0,Privy Council Office,http://www.wikidata.org/entity/Q24168,ADMINISTRATION DIV.,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0A3,Canada
35035-192249-001-XL,2020-03-25T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Nuix USG Inc.,Herndon,http://www.wikidata.org/entity/Q1373962,Virginia,20171,United States of America,500 to 999 employees,68316.0,Privy Council Office,http://www.wikidata.org/entity/Q24168,ADMINISTRATION DIV.,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0A3,Canada
35035-192258-001-EE,2020-03-30T00:00:00Z,2021-03-30T00:00:00Z,N7030,ADP Software,CDW Canada INC,Etobicoke,http://www.wikidata.org/entity/Q1020159,Ontario,M9C5L5,Canada,200 to 499 employees,39747.0,Privy Council Office,http://www.wikidata.org/entity/Q24168,ADMINISTRATION DIV.,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0A3,Canada
39903-150123-002-SS,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,H300C,Commercial Testing Laboratory Services,CARO Analytical Services,Richmond,http://www.wikidata.org/entity/Q139694,British Columbia,V6V2K9,Canada,50 to 99 employees,0.0,Canadian Food Inspection Agency,http://www.wikidata.org/entity/Q2826578,NATL PROCURE.&CTRCTG SERV.CTR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0Y9,Canada
39903-180172-001-SS,2020-03-25T00:00:00Z,2021-03-31T00:00:00Z,H300A,"Laboratory, Testing and Inspection Services, Except Medical-Dental",SGS Canada Inc.,Mississauga,http://www.wikidata.org/entity/Q50816,Ontario,L5T1W8,Canada,500 to 999 employees,0.0,Canadian Food Inspection Agency,http://www.wikidata.org/entity/Q2826578,NATL PROCURE.&CTRCTG SERV.CTR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0Y9,Canada
39903-180172-002-SS,2020-03-25T00:00:00Z,2021-03-31T00:00:00Z,H300A,"Laboratory, Testing and Inspection Services, Except Medical-Dental",Silliker Canada Co.,Markham,http://www.wikidata.org/entity/Q44016,Ontario,L3T1K9,Canada,50 to 99 employees,0.0,Canadian Food Inspection Agency,http://www.wikidata.org/entity/Q2826578,NATL PROCURE.&CTRCTG SERV.CTR,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0Y9,Canada
46577-202259-001-EE,2020-03-25T00:00:00Z,2020-12-15T00:00:00Z,N7030,ADP Software,MICRO FOCUS SOFTWARE SOLUTIONS CANADA CO.- SOLUTIONS LOGICIELS MICRO FOCUS CANADA CIE.,Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K2K3C9,Canada,5000 employees and over,157706.0,Canada Revenue Agency,http://www.wikidata.org/entity/Q1032002,MMD IT CONTRACTING,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0L5,Canada
47419-181782-001-PV,2020-03-30T00:00:00Z,2020-03-31T00:00:00Z,N6665,Hazard-Detecting Instruments and Apparatus,RG Technilab,Brossard,http://www.wikidata.org/entity/Q139104,Quebec,J4Y2Z2,Canada,5 to 9 employees,297700.0,Canada Border Services Agency,http://www.wikidata.org/entity/Q532090,NATL INVOICE RECEPTION UNIT,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H2Y2E7,Canada
47419-186292-002-TOR,2020-03-31T00:00:00Z,2021-03-31T00:00:00Z,G009KA,Counselling Services,The Governing Council of The Salvation Army BL,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M4X1K2,Canada,20 to 49 employees,1196025.0,Canada Border Services Agency,http://www.wikidata.org/entity/Q532090,NATL INVOICE RECEPTION UNIT,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H2Y2E7,Canada
47419-200303-001-PV,2020-03-31T00:00:00Z,2023-12-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,THERMO FISHER SCIENTIFIC (MISSISSAUGA) INC.,Mississauga,http://www.wikidata.org/entity/Q50816,Ontario,L5N8G6,Canada,20 to 49 employees,193474.0,Canada Border Services Agency,http://www.wikidata.org/entity/Q532090,NATL INVOICE RECEPTION UNIT,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H2Y2E7,Canada
47419-200738-001-XLV,2020-03-26T00:00:00Z,2020-08-07T00:00:00Z,N1940DA,Boats - Inflatable - Rigid Hull,TITAN BOATS LTD.,Sidney,http://www.wikidata.org/entity/Q390530,British Columbia,V8L5X6,Canada,20 to 49 employees,831280.0,Canada Border Services Agency,http://www.wikidata.org/entity/Q532090,CHIEF OCEAN SCIENCE&PROD.,Sidney,http://www.wikidata.org/entity/Q390530,British Columbia,V8L4B2,Canada
4M007-200238-001-XL,2020-03-31T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,"ANTHONY, MACAULEY & ASSOCIATES (VICTORIA) INC",Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K1P5H9,Canada,20 to 49 employees,32693.0,Transportation Safety Board of Canada,http://www.wikidata.org/entity/Q2928368,FINANCE&ADMIN,Gatineau,http://www.wikidata.org/entity/Q141844,Quebec,K1A1K8,Canada
51019-201002-001-CY,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,T099D,Newswire Services,Canadian Press Enterprises Inc.,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M5C2L9,Canada,200 to 499 employees,86960.0,Veterans Affairs Canada,http://www.wikidata.org/entity/Q429575,COMMUNICATIONS CHARLOTTETOWN,Charlottetown,http://www.wikidata.org/entity/Q2127,Prince Edward Island,C1A8M9,Canada
51019-209004-001-CY,2020-03-25T00:00:00Z,2021-03-31T00:00:00Z,T004JD,Press Release Distribution,CNW GROUP LTD.,Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K1P1H4,Canada,200 to 499 employees,45200.0,Veterans Affairs Canada,http://www.wikidata.org/entity/Q429575,PROC.CONTRACTING SERVS,Charlottetown,http://www.wikidata.org/entity/Q2127,Prince Edward Island,C1A8M9,Canada
5K002-191840-001-EE,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Novipro Inc,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H3B2N2,Canada,100 to 199 employees,37457.0,Canadian Grain Commission,http://www.wikidata.org/entity/Q558436,EXECUTIVE OFFICE,Winnipeg,http://www.wikidata.org/entity/Q2135,Manitoba,R3C3G8,Canada
5P041-190612-001-XL,2020-03-31T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,"Sitecore Canada, Ltd.",Toronto,http://www.wikidata.org/entity/Q172,Ontario,M5H2M5,Canada,5 to 9 employees,42800.0,Parks Canada,http://www.wikidata.org/entity/Q349487,CHIEF INFORMATION OFFICER/CIO,Gatineau,http://www.wikidata.org/entity/Q141844,Quebec,J8X0B3,Canada
5P438-180254-001-VIC,2020-03-31T00:00:00Z,2021-03-31T00:00:00Z,F059A,Other Natural Resource and Conservation Services,Secretariat of the Haida Nation,Masset,http://www.wikidata.org/entity/Q2957112,British Columbia,V0T1M0,Canada,100 to 199 employees,1724487.0,Parks Canada,http://www.wikidata.org/entity/Q349487,GWAII HAANAS NATL PARK,"Skidegate, British Columbia",http://www.wikidata.org/entity/Q4353323,British Columbia,V0T1S1,Canada
5X001-150002-001-XL,2020-03-30T00:00:00Z,2022-03-31T00:00:00Z,N7030,ADP Software,LUCIDEA TECHNOLOGIES CORP.,Richmond,http://www.wikidata.org/entity/Q139694,British Columbia,V6V2W9,Canada,50 to 99 employees,119001.0,Supreme Court of Canada,http://www.wikidata.org/entity/Q196615,N/A,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0H9,Canada
60074-191815-001-EE,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,Novipro Inc,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H3B2N2,Canada,100 to 199 employees,54821.0,Department of Finance Canada,http://www.wikidata.org/entity/Q1191438,MAT.MGNT CTRL SUP.& RECEIVING,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G5,Canada
6D023-193741-001-SS,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,R113A,Data Collection Services,Gov't of the Province of Alberta,Calgary,http://www.wikidata.org/entity/Q36312,Alberta,T2W1S7,Canada,5000 employees and over,159849.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CNTR SURV AND APPLIED RSRCH,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0K9,Canada
6D023-193741-008-SS,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,R113A,Data Collection Services,Eastern Regional Integrated Health Authority,St. Johns,http://www.wikidata.org/entity/Q2082,Newfoundland and Labrador,A1B3V6,Canada,500 to 999 employees,69262.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CNTR SURV AND APPLIED RSRCH,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0K9,Canada
6D023-193741-014-SS,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,R113A,Data Collection Services,St. Michael's Hospital,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M5B1W8,Canada,1000 to 1499 employees,114724.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CNTR SURV AND APPLIED RSRCH,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0K9,Canada
6D023-193741-015-SS,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,R113A,Data Collection Services,The Hospital for Sick Children,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M5G1X8,Canada,2500 to 4999 employees,120344.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CNTR SURV AND APPLIED RSRCH,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0K9,Canada
6D023-193741-016-SS,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,R113A,Data Collection Services,Winnipeg Regional Health Authority,Winnipeg,http://www.wikidata.org/entity/Q2135,Manitoba,R3A1S1,Canada,5000 employees and over,93427.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CNTR SURV AND APPLIED RSRCH,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0K9,Canada
6D037-151794-034-SS,2020-03-26T00:00:00Z,2020-03-31T00:00:00Z,R113A,Data Collection Services,The University of Calgary,Calgary,http://www.wikidata.org/entity/Q36312,Alberta,T2N1N4,Canada,1500 to 2499 employees,92090.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CCDIC,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0K9,Canada
6D039-163492-001-ZH,2020-03-27T00:00:00Z,2021-03-31T00:00:00Z,G009F,Medical-Dental Laboratory Services,Universit d'Ottawa,Ottawa,http://www.wikidata.org/entity/Q1930,Ontario,K1N6N5,Canada,2500 to 4999 employees,1684373.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CFEZID,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0K9,Canada
6D051-194821-001-LP,2020-03-29T00:00:00Z,2021-01-29T00:00:00Z,V401CA,Bus Passenger Service,947465 Ontario Ltd,London,http://www.wikidata.org/entity/Q92561,Ontario,N5V4L3,Canada,1000 to 1499 employees,3148224.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,OPERATIONS,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M5V3L9,Canada
6D063-173666-001-WPG,2020-03-27T00:00:00Z,2022-03-31T00:00:00Z,JX6530D,Sterilizer - Repair,GETINGE CANADA LIMITED,Mississauga,http://www.wikidata.org/entity/Q50816,Ontario,L5R3R3,Canada,20 to 49 employees,2081892.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CDN SCIENCE CTR HUM.&ANL HLTH,Winnipeg,http://www.wikidata.org/entity/Q2135,Manitoba,R3E3P6,Canada
6D063-183161-001-WPG,2020-03-30T00:00:00Z,2021-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Cedarlane Laboratories Ltd,Burlington,http://www.wikidata.org/entity/Q31058,Ontario,L7L5R2,Canada,20 to 49 employees,137760.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CDN SCIENCE CTR HUM.&ANL HLTH,Winnipeg,http://www.wikidata.org/entity/Q2135,Manitoba,R3E3P6,Canada
6D063-193082-001-WPG,2020-03-31T00:00:00Z,2024-03-31T00:00:00Z,N6640,Laboratory Equipment and Supplies,Becton Dickinson Canada Inc.,Mississauga,http://www.wikidata.org/entity/Q50816,Ontario,L5N0B3,Canada,20 to 49 employees,1363930.0,Public Health Agency of Canada,http://www.wikidata.org/entity/Q2826604,CDN SCIENCE CTR HUM.&ANL HLTH,Winnipeg,http://www.wikidata.org/entity/Q2135,Manitoba,R3E3P6,Canada
