Gastos,Centro,Descripcion Centro,Seccion,Descripcion Seccion,Programa,Descripcion Programa,Capitulo,Descripcion Capitulo,Descripcion Economico,C_DISPUESTO,OBL_RECONOC
23,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,COMPLEMENTO DE DESTINO,35787.67,35787.67
24,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,COMPLEMENTO ESPECÍFICO,76296.3,76296.3
25,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,OTROS COMPLEMENTOS,4091.66,4091.66
26,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,PRODUCTIVIDAD,20204.32,20204.32
27,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,SEGURIDAD SOCIAL,64355.53,64355.53
28,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,OTRAS CUOTAS,2087.62,2087.62
29,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,32849.3,32849.3
30,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"REUNIONES, CONFERENCIAS Y CURSOS",0,0
31,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,669.16,669.16
32,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,DEL PERSONAL NO DIRECTIVO,0,0
33,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,GASTOS DE VIAJE  MIEMBROS DE LOS ORG. DE GOBIERNO,1213.36,1213.36
34,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,GASTOS DE VIAJE DEL PERSONAL NO DIRECTIVO,0,0
35,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,6,INVERSIONES REALES,"PATRIMONIO HISTÓRICO, ARTÍSTICO Y CULTURAL",0,0
36,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO A1,185292.5,185292.5
37,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO A2,39995.34,39995.34
38,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C1,237997.68,237997.68
39,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C2,466213.32,466213.32
40,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO E,59034.15,59034.15
41,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,TRIENIOS,215327.35,215327.35
42,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,COMPLEMENTO DE DESTINO,640269.9,640269.9
43,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,COMPLEMENTO ESPECÍFICO,1596721.24,1596721.24
44,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,OTROS COMPLEMENTOS,101568.79,101568.79
45,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,36322.43,36322.43
46,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,OTRAS REMUNERACIONES,24980.9,24980.9
47,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,PRODUCTIVIDAD,203053.01,203053.01
48,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,SEGURIDAD SOCIAL,987062.94,987062.94
49,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,1,GASTOS DE PERSONAL,OTRAS CUOTAS,138163.75,138163.75
50,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"ARRENDAMIENTOS DE MAQUINARIA, INSTALAC. Y UTILLAJE",1887.6,1887.6
51,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,REP.MANT. Y CONSERV. EDIFICIOS Y OTRAS CONSTRUC.,48213.76,48213.76
52,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"REP.MANT.Y CONSERV. MAQUINARIA, INSTAL. Y UTILLAJE",15780.47,15780.28
53,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"REP., MANT. Y CONSERV. DE MOBILIARIO",1187.44,1187.4
54,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,8622.61,8622.61
55,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1638.63,1638.63
56,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,MATERIAL INFORMÁTICO NO INVENTARIABLE,11850.85,11850.85
57,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,VESTUARIO,10507.76,10507.76
58,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,OTROS SUMINISTROS,14399,14399
59,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,OTRAS GASTOS EN COMUNICACIONES,0,0
60,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,PUBLICIDAD Y PROPAGANDA,0,0
61,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,PUBLICACIÓN EN DIARIOS OFICIALES,0,0
62,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"REUNIONES, CONFERENCIAS Y CURSOS",33430.32,11975.04
63,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,LIMPIEZA Y ASEO,172105.58,172105.56
64,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,ESTUDIOS Y TRABAJOS TÉCNICOS,48368.78,29325.27
65,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,OTROS TRABAJOS REALIZADOS POR OTRAS EMP. Y PROF.,2191.05,2191.05
66,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,DEL PERSONAL DIRECTIVO,0,0
67,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,GASTOS DE VIAJE DEL PERSONAL DIRECTIVO,0,0
68,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,OTRAS INDEMNIZACIONES,80,80
69,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,6,INVERSIONES REALES,ÚTILES Y HERRAMIENTAS,1275,1275
70,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,6,INVERSIONES REALES,MOBILIARIO Y EQUIPOS DE OFICINA,5454.89,5454.89
71,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,6,INVERSIONES REALES,OTRO MOBILIARIO Y ENSERES,3148.46,3148.46
72,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,6,INVERSIONES REALES,EQUIPOS PARA PROCESO DE DATOS,0,0
73,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91230,SECRETARÍA GENERAL DEL PLENO,6,INVERSIONES REALES,EQUIPOS DE COMUNICACIÓN (REFORMA Y REPOSICIÓN),70082.67,70082.67
74,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,2030827.4,2030827.4
75,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,OTRAS REMUNERACIONES,31513.1,31513.1
76,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,6.58,6.58
77,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,851422.55,851422.55
78,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,RETRIBUCIONES COMPLEMENTARIAS,1966820.83,1966820.83
79,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,OTRAS REMUNERACIONES,0.46,0.46
80,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO A1,259997.58,259997.58
81,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO A2,50318.11,50318.11
82,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C1,93398.22,93398.22
83,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C2,49551.11,49551.11
84,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,TRIENIOS,144923.22,144923.22
85,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,COMPLEMENTO DE DESTINO,372903.38,372903.38
86,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,COMPLEMENTO ESPECÍFICO,996728.14,996728.14
87,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,OTROS COMPLEMENTOS,32733.87,32733.87
88,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,24425.17,24425.17
89,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,OTRAS REMUNERACIONES,41346.06,41346.06
90,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,PRODUCTIVIDAD,275862.09,275862.09
91,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,GRATIFICACIONES POR SERVICIOS EXTRAORDINARIOS,427.5,427.5
92,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,SEGURIDAD SOCIAL,1700961.63,1700961.63
93,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,OTRAS CUOTAS,51829.27,51829.27
94,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"ARRENDAMIENTOS DE MAQUINARIA, INSTALAC. Y UTILLAJE",1887.6,1887.6
95,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,REP.MANT. Y CONSERV. EDIFICIOS Y OTRAS CONSTRUC.,26594.24,26594.15
96,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"REP.MANT.Y CONSERV. MAQUINARIA, INSTAL. Y UTILLAJE",8993.34,8993.12
97,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,7528.58,7528.58
98,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",5068.95,5068.95
99,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,MATERIAL INFORMÁTICO NO INVENTARIABLE,11485.36,11485.36
100,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,OTROS SUMINISTROS,2926.02,2926.02
101,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,LIMPIEZA Y ASEO,92767.94,92767.94
102,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,4,TRANSFERENCIAS CORRIENTES,DOTACIÓN GRUPOS POLÍTICOS MUNICIPALES,481360.12,481360.12
103,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,6,INVERSIONES REALES,MOBILIARIO Y EQUIPOS DE OFICINA,13015.91,13015.91
104,1,AYUNTAMIENTO DE MADRID,2,PRESIDENCIA DEL PLENO,91240,GRUPOS POLÍTICOS MUNICIPALES,6,INVERSIONES REALES,OTRO MOBILIARIO Y ENSERES,3440.31,3440.31
105,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,RETRIBUCIONES BÁSICAS,91033.14,91033.14
106,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO A1,15596.72,15596.72
107,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C1,0,0
108,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,SUELDOS DEL GRUPO C2,15898.87,15898.87
109,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,TRIENIOS,9349.09,9349.09
110,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,COMPLEMENTO DE DESTINO,22349.79,22349.79
111,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,COMPLEMENTO ESPECÍFICO,52149.66,52149.66
112,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,OTROS COMPLEMENTOS,3025.99,3025.99
113,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,PRODUCTIVIDAD,10624.48,10624.48
114,1,AYUNTAMIENTO DE MADRID,3,OF. MPAL. CONTRA FRAUDE Y CORRUPCIÓN,92222,OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN,1,GASTOS DE PERSONAL,SEGURIDAD SOCIAL,39720.95,39720.95
