Àmbit subjectiu,Òrgan de contractació,Codi d'expedient,id,Objecte del contracte,Descripció de la prestació,Tipus de contracte,Pressupost de licitació (sense IVA),Data de publicació,Empresa adjudicatària,Import d'adjudicació (sense IVA),Enllaç a la publicació,Codi CPV,Data d'adjudicació
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),"Serveis de direcció i gestió de la unitat Margarita Xirgu, del centre residencial Llars Mundet de Barcelona, per atendre persones grans que no poden retornar al seu domicili a causa de la COVID-19",0017,"9.2-Publicació massiva de contractes tramitats per emergència, de subministraments i serveis diversos d'àmbit social en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.","Publicació massiva de contractes tramitats per emergència, de subministraments i serveis diversos d'àmbit social en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-06-18T00:00:00Z,FUNDACIÓ S21 CONS. SALUT I ATENCIÓ SOCIAL CAT.,218000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64600124&lawType=3,71241000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1002,0018,MESA A MEDIDA BLANCA,Subministrament d'equipament i mobiliari mèdic i no mèdic - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-06-09T00:00:00Z,"CARPINTERIA J. JIMENEZ GALLEGOS, SL",4744.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63770254&lawType=3,33000000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,287/2020,0019,Submnistrament i col·locació de revestiment a la zona d'urgències de l'Hospital del Mar,Publicació massiva de contractes tramitats per emergència d'obres relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de maig).,Obres,0,2020-06-30T00:00:00Z,"MCD GRUP, S.A.",7921.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64922885&lawType=3,45453100,2020-06-22T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,136/2020,0020,"Servei de neteja a lHotel PULLMAN SKIPPER BARCELONA (ubicat a lAvinguda Litoral, 10 de Barcelona), necessari per donar allotjament als professionals de lHospital del Mar que amb motiude la seva actuació relacionada amb la pandèmia del COVID-19 per tal que no shagin de desplaçar al seu domicili","Publicació massiva de la contractació mitjançant procediment d'emergència d'obres, subministraments i serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon als mesos de març i abril).",Serveis,2237949.59,2020-06-03T00:00:00Z,"EHD CONSULTORIA EUROPA, S.L.",39170.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63458702&lawType=3,33100000,2020-05-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,167/2020,0021,1 Esterilitzador Sterrad 100 NX ALLCLEAR- 2 portes (4 cicles),"Publicació massiva de la contractació mitjançant procediment d'emergència d'obres, subministraments i serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon als mesos de març i abril).",Subministraments,2237949.59,2020-06-03T00:00:00Z,"ADVANCED STERILIZATION PRODUCTS ESPAÑA, S.L.",66000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63458702&lawType=3,33100000,2020-05-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1081,0022,Material Fungible Sanitari,Subministrament de material fungible sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-01T00:00:00Z,"ESTEVE ORTOPEDIA A MIDA, S.L.",1380,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65019716&lawType=3,33140000,2020-04-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,341/2020,0023,Servei dadequació del HIS per gestionar làrea ambulatòria i evitar lacumulació de pacients a les sales despera del Consorci Mar Parc de Salut de Barcelona,Publicació massiva de contractes tramitats per emergència de serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de juny).,Serveis,0,2020-07-13T00:00:00Z,"INNOVAR CML TECNOLOGÍAS INFORMÁTICAS 2008, S.L.",107729,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65733542&lawType=3,44211300,2020-07-10T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,198/2020,0024,20 Mampares,"Publicació massiva de la contractació mitjançant procediment d'emergència d'obres, subministraments i serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon als mesos de març i abril).",Subministraments,2237949.59,2020-06-03T00:00:00Z,"TACKLEN MEDICAL TECHNOLOGY, S.L.",7020,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63458702&lawType=3,33100000,2020-05-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CO/AH01/1101199674/20/CMUI,0025,Obra de adequació de la instal·lació de climatització de dos habitacions de broncoscòpia a la planta 7 del Hospital General dins del Pla de contingència de l' epidèmia SARS-CoV-2 de l'Hospital Universitari Vall d'Hebron.,Obra de adequació de la instal·lació de climatització de dos habitacions de broncoscòpia a la planta 7 del Hospital General dins del Pla de contingència de l' epidèmia SARS-CoV-2 de l'Hospital Universitari Vall d'Hebron.,Subministraments,9280.97,2020-06-02T00:00:00Z,IMECSA,9280.97,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63399844&lawType=3,45259900,2020-05-19T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1043,0026,"Catèters, sondes i altre material fungible sanitari","Subministrament de catèters, sondes i altre material fungibe sanitari - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-06-09T00:00:00Z,CARDINAL HEALTH SPAIN 511,6825.43,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64001795&lawType=3,33141200,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101195753/20/CMUI,0027,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT RX PORTATIL,Contractació emergència subministrament rx portatil,Subministraments,434500,2020-05-21T00:00:00Z,GESTIONES COMERCIALES EDSA SL,434500,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62651293&lawType=3,33100000,2020-03-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1043,0028,"Catèters, sondes i altre material fungible sanitari","Subministrament de catèters, sondes i altre material fungibe sanitari - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-06-09T00:00:00Z,TACKLEN MEDICAL TECHNOLOGY SLN,560,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64001795&lawType=3,33141200,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1104,0029,SUBMINISTRAMENT DE MATERIAL DE DESINFECCIÓ SANITARIA,Subministrament de material fungible sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,TEXTIL PLANAS OLIVERAS SA,1143.72,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328502&lawType=3,33140000,2020-05-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament de la Vicepresidència i d'Economia i Hisenda,EC 2020 273,0030,"EC 2020 273 Subministrament i col·locació de mampares protectores i senyalística de prevenció en tots els centres de treball adscrits al Departament de la Vicepresidència i d'Economia i Hisenda necessaris per a la reobertura d'aquests centres, com a mesures de prevenció i protecció envers l'exposició del seu personal al COVID-19","Subministrament i col·locació de mampares protectores i senyalística de prevenció en tots els centres de treball adscrits al Departament de la Vicepresidència i d'Economia i Hisenda necessaris per a la reobertura d'aquests centres, com a mesures de prevenció i protecció envers l'exposició del seu personal al COVID-19",Subministraments,110427.31,2020-05-28T00:00:00Z,"TAS IMATGE I COMUNICACIÓ, S.L.",110427.31,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63226628&lawType=3,39200000,2020-04-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH02/1101194155/20/CMUI,0031,"SUBMINISTRAMENT MATERIAL LABORATORI, REACTIU PER A PCR EN TEMPS REAL, PER L'HOSPITAL UNIVERSITARI DE BELLVITGE","Subministrament Material Laboratori, Reactiu per a PCR en temps real, per a l'Hospital Universitari de Bellvitge",Subministraments,16169.4,2020-05-14T00:00:00Z,LIFE TECHNOLOGIES SA,16169.4,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62424701&lawType=3,33696200,2020-03-19T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Sistema d'Emergències Mèdiques SA (SEMSA),CE138/2020,0032,COMPRA EMERGÈNCIA 138: Subministrament de catèters de diferents mides,Subministrament de catèters de diferents mides,Subministraments,10296,2020-06-10T00:00:00Z,"B. BRAUN MEDICAL, S.A.",10296,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63372682&lawType=3,33140000,2020-05-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MS COMANDES ESPECIALS,0033,CESTA MODULAR ABS BASE CERRADA REF 46005,"Subministrament de material sanitari relatiu a comandes especials, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,BERMEJO CALVO EDGAR,7178.85,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64025844&lawType=3,33100000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,"Departament de Treball, Afers Socials i Famílies",E-21-2020-1,0034,"Contracte d'emergència per a l'ampliació dels serveis logístics de recepció, gestió i distribució de material sanitari de prevenció per als equipaments residencials de la Xarxa de serveis socials de Catalunya. (E-21-2020-1)","Contracte d'emergència per a l'ampliació dels serveis logístics de recepció, gestió i distribució de material sanitari de prevenció per als equipaments residencials de la Xarxa de serveis socials de Catalunya.",Serveis,276648.62,2020-06-25T00:00:00Z,"DYNAMIC EXPRESS COURIER, SL",276648.62,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64654136&lawType=3,64121200,2020-06-12T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1043,0035,"Catèters, sondes i altre material fungible sanitari","Subministrament de catèters, sondes i altre material fungibe sanitari - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-06-09T00:00:00Z,"SUMINISTROS HOSPITALARIOS, S.A.",527.01,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64001795&lawType=3,33141200,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),contr/2020/000000052,0036,RESOURCE INSTANT PROTEIN 400G (6 FRASCOS,"Subministrament de material de farmàcia per al servei de farmàcia  de l'IAS, per atendre l'emergència de la COVID_19 JUNY 2020",Subministraments,8548.74,2020-07-24T00:00:00Z,"NESTLE ESPAÑA, S. A.",122.23,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66398092&lawType=3,33610000,2020-07-23T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1002,0037,MAMPARA SEPARADORA PIE 180X180 REF.58881,Subministrament d'equipament i mobiliari mèdic i no mèdic - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-06-09T00:00:00Z,"DOUBLET IBERICA, S.A.",19063.74,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63770254&lawType=3,33000000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-851,0038,"Servei de neteja interior i desinfecció dels vehicles adscrits a la Regió Policial Metropolitana Barcelona, per al període del 14 de març al 30 de juny de 2020","Servei de neteja interior i desinfecció dels vehicles adscrits a la Regió Policial Metropolitana Barcelona, per al període del 14 de març al 30 de juny de 2020",Serveis,5857,2020-07-30T00:00:00Z,ALFREDO MARTÍNEZ NAVARRA,5857,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66643013&lawType=3,50110000,2020-07-23T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),005A-UCI-CEM,0039,Pintat de parets i sostres,Execució dels treballs i la compra d'equipament per a habilitar una àrea de tractament de 16 llits de pacients crítics a les dependències de la Biblioteca de l'Hospital Universitari Germans Trias i Pujol,Subministraments,223948.21,2020-06-09T00:00:00Z,PINTURAS JAF SL,5553.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64003739&lawType=3,33100000,2020-03-23T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH06/1101200504/20/CMUI,0040,COVID 19 - Subministrament de dues termodesinfectadores ubicades a la unitat d'esterilització de l'àrea quirúrgica HUAV,Subministrament de dues termodesinfectadores ubicades a la unitat d'esterilització de l'àrea quirúrgica Hospital Universitari Arnau de Vilanova de Lleida,Subministraments,190242.48,2020-05-22T00:00:00Z,"ANTONIO MATACHANA,S.A.",190242.48,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62856006&lawType=3,33191000,2020-05-21T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),4.1-Allotjament de professionals,0041,Allotjament de professionals sanitaris en le instal.lacions de l'Hotel Palau de Girona,"Publicació massiva de contractes tramitats per emergència, dels serveis d'allotjament de professionals  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-05-20T00:00:00Z,"HOTEL PALACE GIRONA, S.L",85184.26,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62073594&lawType=3,55110000,2020-05-20T00:00:00Z
